t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 3, 150, 1, 151, 591, 150, 499, 150, 265, 150, 546, 
10, 150, 3, 150, 1, 150, 590, 150, 504, 150, 267, 150, 553, 
15, 149, 1, 150, 3, 149, 597, 150, 506, 150, 266, 151, 555, 
20, 149, 2, 150, 0, 150, 598, 149, 505, 149, 267, 150, 548, 
25, 150, 6, 150, 0, 150, 596, 149, 504, 150, 268, 150, 548, 
30, 150, 6, 150, 0, 150, 598, 150, 504, 150, 267, 150, 547, 
35, 149, 4, 149, 1, 150, 600, 150, 509, 150, 265, 149, 548, 
40, 149, 3, 149, 1, 150, 596, 150, 509, 150, 267, 150, 550, 
45, 150, 1, 150, 3, 150, 601, 149, 509, 150, 266, 150, 546, 
50, 150, 6, 150, 0, 150, 598, 150, 504, 150, 266, 150, 548, 
55, 150, 5, 150, 0, 150, 598, 150, 504, 150, 268, 149, 551, 
60, 149, 5, 149, 0, 150, 597, 150, 504, 150, 268, 148, 544, 
65, 149, 1, 149, 3, 149, 597, 149, 505, 149, 268, 150, 547, 
70, 150, 6, 150, 0, 150, 577, 150, 485, 150, 519, 150, 530, 
75, 150, 4, 150, 1, 150, 555, 150, 471, 150, 509, 149, 505, 
80, 150, 1, 150, 3, 150, 539, 150, 463, 150, 497, 150, 488, 
85, 150, 6, 149, 3, 150, 500, 149, 428, 150, 464, 149, 454, 
90, 150, 6, 150, 0, 150, 475, 150, 402, 150, 435, 149, 427, 
95, 150, 6, 150, 0, 150, 459, 150, 393, 150, 413, 150, 418, 
100, 150, 5, 150, 1, 150, 455, 150, 389, 150, 414, 149, 418, 
105, 149, 6, 149, 3, 150, 457, 150, 392, 150, 418, 150, 417, 
110, 150, 6, 149, 0, 150, 453, 150, 389, 150, 423, 149, 419, 
115, 149, 3, 150, 1, 150, 455, 150, 392, 150, 424, 149, 419, 
120, 149, 5, 149, 1, 150, 454, 150, 388, 148, 426, 149, 417, 
125, 149, 6, 150, 3, 149, 455, 150, 391, 150, 432, 150, 422, 
130, 149, 6, 149, 3, 150, 457, 150, 390, 150, 439, 149, 421, 
135, 150, 4, 150, 0, 150, 460, 150, 389, 150, 440, 149, 423, 
140, 149, 6, 149, 3, 151, 465, 150, 390, 150, 444, 150, 429, 
145, 149, 6, 149, 3, 150, 464, 150, 391, 150, 449, 150, 428, 
150, 150, 1, 150, 0, 149, 464, 150, 390, 150, 450, 150, 432, 
155, 149, 6, 150, 0, 150, 467, 149, 387, 150, 453, 150, 432, 
160, 149, 5, 149, 1, 150, 469, 150, 390, 149, 457, 150, 431, 
165, 150, 4, 150, 0, 150, 472, 150, 389, 150, 458, 148, 430, 
170, 150, 6, 150, 0, 150, 471, 150, 390, 150, 458, 149, 436, 
175, 149, 6, 150, 0, 150, 471, 150, 390, 150, 460, 150, 436, 
180, 150, 4, 150, 0, 150, 472, 149, 393, 150, 460, 149, 437, 
185, 150, 1, 149, 3, 149, 474, 150, 394, 150, 459, 150, 438, 
190, 149, 1, 150, 3, 150, 475, 150, 396, 150, 460, 150, 436, 
195, 150, 5, 150, 0, 150, 473, 150, 393, 150, 458, 149, 436, 
200, 150, 4, 150, 0, 149, 470, 150, 394, 150, 457, 149, 439, 
205, 150, 1, 150, 3, 149, 470, 150, 397, 150, 456, 149, 434, 
210, 149, 1, 150, 3, 150, 469, 149, 398, 150, 457, 150, 435, 
215, 150, 2, 149, 0, 150, 472, 150, 395, 150, 456, 149, 436, 
220, 149, 6, 150, 3, 148, 465, 150, 397, 150, 454, 149, 433, 
225, 150, 5, 150, 0, 150, 471, 149, 396, 150, 454, 150, 432, 
230, 149, 6, 149, 3, 150, 469, 150, 398, 150, 453, 150, 432, 
235, 150, 1, 150, 3, 150, 469, 149, 399, 150, 453, 150, 430, 
240, 150, 5, 149, 1, 150, 470, 149, 398, 150, 451, 149, 430, 
245, 150, 4, 150, 1, 150, 469, 150, 399, 150, 453, 149, 425, 
250, 149, 2, 149, 1, 149, 469, 150, 397, 150, 451, 149, 427, 
255, 150, 1, 150, 3, 149, 467, 150, 401, 150, 452, 149, 426, 
260, 150, 2, 149, 1, 150, 467, 150, 398, 150, 451, 150, 426, 
265, 150, 2, 149, 1, 149, 468, 149, 396, 150, 451, 149, 424, 
270, 149, 6, 150, 0, 150, 466, 149, 396, 150, 450, 150, 423, 
275, 149, 6, 150, 3, 149, 465, 149, 398, 150, 448, 150, 422, 
280, 149, 4, 150, 1, 150, 468, 149, 397, 150, 448, 150, 420, 
285, 150, 5, 149, 0, 149, 465, 150, 396, 150, 446, 149, 420, 
290, 150, 3, 150, 0, 149, 466, 150, 397, 150, 447, 149, 417, 
295, 149, 1, 150, 3, 150, 465, 150, 399, 150, 447, 149, 417, 
300, 149, 5, 150, 0, 150, 463, 150, 394, 150, 446, 149, 414, 
305, 150, 6, 150, 2, 149, 463, 150, 394, 150, 446, 149, 417, 
310, 150, 3, 150, 1, 150, 462, 150, 397, 150, 444, 149, 415, 
315, 149, 6, 150, 1, 149, 461, 150, 394, 150, 442, 150, 413, 
320, 150, 2, 150, 2, 149, 461, 150, 396, 150, 440, 150, 414, 
325, 150, 6, 149, 1, 150, 464, 150, 393, 150, 439, 149, 410, 
330, 149, 3, 150, 0, 150, 461, 150, 395, 150, 439, 150, 410, 
