t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 381, 150, 380, 150, 419, 149, 348, 150, 378, 150, 375, 
10, 150, 384, 150, 382, 149, 423, 149, 347, 150, 379, 149, 376, 
15, 150, 381, 150, 385, 149, 423, 150, 349, 150, 380, 149, 376, 
20, 150, 387, 150, 387, 150, 425, 150, 352, 150, 380, 149, 376, 
25, 150, 385, 150, 385, 150, 427, 150, 353, 150, 379, 150, 374, 
30, 150, 386, 150, 388, 150, 427, 150, 351, 150, 380, 149, 374, 
35, 150, 384, 150, 387, 150, 425, 150, 346, 150, 378, 149, 374, 
40, 150, 386, 150, 386, 150, 425, 149, 349, 150, 378, 149, 375, 
45, 150, 381, 150, 386, 150, 424, 150, 349, 150, 376, 149, 371, 
50, 150, 380, 150, 386, 150, 423, 150, 348, 150, 376, 149, 370, 
55, 150, 379, 150, 380, 149, 421, 149, 347, 150, 375, 150, 368, 
60, 149, 380, 150, 378, 150, 423, 150, 347, 150, 373, 150, 366, 
65, 150, 380, 150, 380, 150, 420, 150, 347, 150, 373, 149, 369, 
70, 150, 378, 150, 377, 150, 418, 150, 344, 150, 372, 150, 365, 
75, 149, 375, 150, 378, 150, 417, 150, 344, 150, 371, 149, 365, 
80, 150, 377, 150, 379, 150, 416, 150, 338, 150, 371, 149, 364, 
85, 150, 375, 150, 376, 150, 415, 150, 339, 150, 370, 149, 363, 
90, 150, 374, 150, 376, 150, 414, 150, 338, 150, 369, 150, 364, 
95, 150, 376, 150, 376, 149, 411, 150, 337, 150, 367, 149, 362, 
100, 150, 373, 150, 375, 150, 411, 150, 336, 150, 366, 150, 363, 
105, 150, 374, 150, 372, 150, 411, 149, 335, 150, 367, 150, 361, 
110, 150, 374, 150, 372, 150, 410, 150, 334, 150, 366, 150, 361, 
115, 150, 373, 150, 371, 150, 409, 150, 336, 150, 366, 150, 363, 
120, 150, 373, 150, 372, 149, 409, 150, 335, 150, 364, 149, 362, 
125, 150, 371, 150, 370, 150, 408, 150, 336, 150, 366, 149, 363, 
130, 150, 375, 150, 372, 150, 408, 150, 337, 150, 365, 150, 362, 
135, 150, 373, 150, 372, 150, 407, 150, 336, 150, 365, 150, 361, 
140, 150, 376, 150, 372, 150, 408, 149, 337, 150, 367, 150, 362, 
145, 150, 372, 150, 370, 150, 408, 150, 338, 150, 366, 150, 362, 
150, 150, 374, 150, 372, 150, 408, 150, 334, 150, 366, 149, 361, 
155, 150, 376, 150, 371, 150, 407, 150, 335, 150, 368, 149, 361, 
160, 150, 376, 150, 373, 150, 408, 150, 336, 150, 367, 149, 361, 
165, 150, 374, 150, 370, 150, 408, 150, 337, 150, 367, 150, 364, 
170, 149, 375, 150, 372, 150, 408, 150, 340, 150, 367, 149, 362, 
175, 150, 377, 150, 373, 150, 408, 150, 339, 150, 369, 150, 363, 
180, 150, 374, 150, 373, 150, 408, 149, 338, 150, 369, 149, 361, 
185, 150, 374, 150, 373, 150, 408, 149, 338, 150, 370, 150, 361, 
190, 150, 376, 150, 371, 150, 408, 150, 336, 150, 368, 149, 362, 
195, 150, 377, 150, 370, 150, 407, 150, 337, 150, 370, 149, 364, 
200, 149, 373, 150, 368, 150, 409, 150, 340, 150, 369, 150, 363, 
205, 150, 375, 150, 369, 150, 407, 149, 337, 150, 369, 150, 362, 
210, 150, 375, 149, 369, 149, 406, 150, 338, 150, 370, 150, 365, 
215, 150, 375, 150, 368, 150, 406, 150, 337, 150, 369, 149, 362, 
220, 150, 375, 150, 369, 150, 405, 150, 336, 150, 368, 150, 364, 
225, 150, 373, 150, 366, 150, 404, 150, 340, 150, 370, 150, 364, 
230, 150, 372, 150, 364, 149, 403, 149, 340, 150, 367, 150, 365, 
235, 150, 367, 150, 364, 150, 404, 149, 340, 150, 368, 150, 363, 
240, 150, 371, 150, 365, 150, 402, 150, 339, 150, 366, 149, 362, 
245, 150, 369, 150, 362, 150, 400, 150, 333, 150, 365, 149, 361, 
250, 150, 368, 150, 360, 150, 398, 150, 333, 150, 365, 149, 362, 
255, 149, 366, 150, 358, 150, 398, 149, 339, 150, 368, 150, 361, 
260, 150, 365, 150, 357, 150, 397, 149, 338, 150, 364, 149, 362, 
265, 150, 366, 149, 356, 150, 395, 150, 335, 150, 364, 149, 360, 
270, 149, 359, 150, 359, 150, 396, 150, 336, 150, 363, 149, 362, 
275, 149, 361, 150, 355, 150, 394, 149, 331, 150, 362, 150, 362, 
280, 150, 360, 150, 355, 150, 394, 150, 332, 149, 362, 149, 359, 
285, 150, 359, 150, 354, 150, 390, 149, 335, 150, 363, 149, 359, 
290, 150, 362, 150, 352, 150, 390, 150, 334, 150, 361, 149, 360, 
295, 150, 363, 150, 351, 150, 389, 150, 332, 150, 361, 150, 357, 
300, 150, 362, 150, 350, 150, 388, 150, 334, 150, 362, 150, 355, 
305, 150, 361, 150, 351, 150, 387, 150, 332, 150, 362, 150, 355, 
310, 150, 359, 150, 352, 150, 385, 150, 333, 150, 360, 150, 355, 
315, 150, 360, 150, 349, 150, 384, 150, 332, 150, 360, 149, 354, 
320, 150, 359, 150, 350, 150, 383, 150, 331, 150, 362, 149, 354, 
325, 150, 354, 150, 349, 150, 384, 150, 330, 150, 360, 149, 354, 
330, 150, 357, 150, 349, 150, 381, 150, 327, 150, 360, 149, 352, 
