t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 429, 150, 432, 150, 476, 150, 403, 150, 443, 149, 442, 
10, 150, 435, 150, 436, 149, 481, 150, 405, 150, 445, 149, 443, 
15, 150, 437, 150, 437, 150, 480, 150, 406, 150, 445, 150, 443, 
20, 150, 439, 150, 437, 148, 478, 150, 406, 150, 446, 150, 443, 
25, 150, 439, 150, 438, 150, 490, 150, 404, 150, 447, 149, 445, 
30, 150, 438, 150, 442, 150, 484, 150, 408, 150, 445, 150, 442, 
35, 150, 437, 150, 440, 150, 485, 150, 404, 149, 444, 149, 440, 
40, 150, 436, 150, 439, 150, 479, 150, 403, 150, 443, 149, 443, 
45, 150, 434, 150, 437, 150, 477, 150, 400, 150, 444, 150, 439, 
50, 150, 434, 150, 436, 150, 478, 150, 403, 150, 440, 149, 437, 
55, 150, 431, 150, 437, 149, 477, 150, 400, 150, 435, 149, 437, 
60, 150, 432, 150, 436, 150, 474, 150, 398, 150, 438, 149, 436, 
65, 150, 431, 150, 434, 150, 480, 150, 396, 150, 438, 149, 433, 
70, 150, 430, 150, 434, 150, 470, 150, 396, 150, 434, 150, 437, 
75, 150, 428, 150, 432, 149, 473, 150, 395, 150, 432, 149, 432, 
80, 150, 430, 150, 432, 150, 469, 149, 394, 150, 431, 150, 435, 
85, 150, 427, 150, 431, 150, 473, 150, 396, 150, 433, 150, 434, 
90, 150, 427, 150, 430, 150, 471, 150, 391, 150, 431, 149, 435, 
95, 150, 425, 150, 429, 150, 470, 150, 392, 150, 430, 150, 434, 
100, 150, 425, 150, 429, 149, 469, 150, 394, 150, 429, 149, 433, 
105, 150, 424, 150, 428, 150, 470, 150, 393, 150, 430, 149, 433, 
110, 150, 423, 150, 428, 150, 467, 150, 391, 150, 428, 150, 433, 
115, 150, 422, 150, 427, 150, 470, 149, 390, 150, 426, 149, 430, 
120, 150, 421, 150, 426, 150, 467, 149, 393, 150, 427, 149, 431, 
125, 149, 421, 150, 427, 150, 465, 150, 390, 150, 427, 150, 431, 
130, 150, 422, 150, 426, 150, 467, 149, 390, 150, 427, 149, 431, 
135, 150, 423, 150, 426, 149, 468, 150, 388, 149, 427, 149, 428, 
140, 150, 421, 150, 426, 150, 467, 150, 389, 150, 421, 150, 429, 
145, 150, 420, 150, 425, 150, 469, 150, 388, 150, 426, 149, 429, 
150, 150, 418, 150, 426, 149, 469, 150, 389, 150, 426, 150, 427, 
155, 150, 419, 150, 424, 150, 469, 150, 390, 150, 424, 150, 427, 
160, 150, 420, 150, 425, 150, 469, 150, 388, 150, 421, 150, 427, 
165, 150, 418, 150, 425, 150, 465, 149, 388, 150, 424, 149, 427, 
170, 150, 418, 150, 424, 150, 469, 150, 390, 150, 423, 150, 427, 
175, 149, 416, 150, 423, 149, 469, 150, 387, 150, 424, 149, 428, 
180, 150, 416, 150, 423, 149, 469, 150, 388, 150, 423, 149, 425, 
185, 150, 418, 150, 425, 149, 468, 150, 387, 150, 425, 149, 426, 
190, 150, 415, 150, 423, 150, 467, 150, 389, 150, 426, 150, 427, 
195, 150, 417, 150, 424, 150, 465, 150, 391, 150, 423, 150, 426, 
200, 150, 416, 150, 423, 150, 468, 150, 390, 150, 423, 149, 425, 
205, 150, 415, 150, 423, 150, 467, 149, 390, 150, 426, 149, 425, 
210, 150, 417, 150, 420, 150, 465, 150, 392, 150, 426, 150, 426, 
215, 150, 415, 150, 422, 150, 469, 150, 388, 150, 426, 149, 423, 
220, 150, 415, 150, 421, 150, 462, 150, 388, 150, 425, 150, 425, 
225, 150, 416, 150, 420, 150, 461, 150, 388, 150, 423, 149, 425, 
230, 150, 416, 150, 418, 150, 460, 150, 387, 150, 425, 149, 424, 
235, 150, 414, 150, 419, 150, 465, 150, 390, 150, 425, 149, 423, 
240, 150, 415, 150, 418, 150, 459, 150, 388, 150, 424, 149, 424, 
245, 150, 414, 150, 417, 150, 463, 149, 391, 150, 422, 150, 423, 
250, 150, 413, 150, 417, 150, 461, 150, 394, 150, 424, 149, 424, 
255, 150, 411, 150, 416, 150, 463, 150, 392, 150, 423, 150, 423, 
260, 150, 412, 150, 415, 150, 460, 150, 389, 150, 423, 150, 423, 
265, 150, 410, 150, 413, 149, 460, 150, 387, 150, 423, 149, 422, 
270, 150, 411, 150, 414, 150, 460, 150, 389, 150, 423, 150, 422, 
275, 150, 411, 150, 413, 149, 459, 150, 390, 150, 421, 150, 421, 
280, 150, 409, 150, 411, 149, 455, 150, 386, 150, 421, 149, 422, 
285, 150, 410, 150, 411, 150, 457, 150, 386, 150, 420, 149, 421, 
290, 150, 409, 150, 410, 150, 454, 150, 389, 150, 422, 149, 420, 
295, 150, 410, 150, 409, 150, 455, 150, 390, 150, 422, 150, 417, 
300, 150, 408, 150, 408, 150, 454, 150, 387, 150, 418, 150, 419, 
305, 150, 406, 149, 407, 150, 454, 150, 387, 150, 418, 149, 418, 
310, 150, 406, 150, 406, 149, 451, 150, 386, 150, 416, 149, 417, 
315, 149, 404, 150, 405, 150, 453, 150, 385, 150, 415, 150, 415, 
320, 150, 404, 150, 405, 150, 449, 149, 386, 150, 421, 150, 417, 
325, 150, 403, 150, 404, 150, 452, 150, 383, 150, 419, 149, 414, 
330, 150, 402, 150, 405, 150, 447, 150, 383, 150, 417, 149, 414, 
