t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 443, 150, 446, 149, 447, 149, 449, 150, 447, 150, 445, 
10, 149, 443, 150, 446, 149, 447, 150, 449, 149, 446, 150, 445, 
15, 149, 444, 150, 446, 149, 447, 150, 449, 149, 446, 150, 446, 
20, 150, 444, 150, 446, 149, 447, 149, 450, 150, 446, 149, 446, 
25, 149, 444, 150, 446, 149, 448, 149, 450, 150, 447, 149, 446, 
30, 149, 444, 150, 445, 149, 448, 150, 450, 149, 446, 150, 446, 
35, 149, 445, 150, 445, 149, 448, 149, 450, 150, 446, 150, 447, 
40, 149, 444, 149, 446, 149, 448, 150, 450, 149, 446, 150, 447, 
45, 149, 444, 150, 446, 149, 448, 149, 449, 149, 445, 150, 446, 
50, 149, 444, 150, 445, 149, 447, 149, 448, 150, 444, 150, 445, 
55, 149, 443, 150, 445, 149, 446, 149, 447, 149, 443, 149, 444, 
60, 149, 442, 150, 443, 149, 444, 149, 445, 150, 442, 150, 442, 
65, 149, 442, 150, 442, 150, 443, 150, 444, 150, 441, 150, 441, 
70, 149, 440, 150, 441, 149, 441, 149, 442, 149, 440, 149, 438, 
75, 150, 439, 149, 439, 149, 440, 149, 439, 150, 440, 149, 436, 
80, 150, 438, 149, 438, 149, 438, 149, 438, 150, 439, 149, 435, 
85, 149, 436, 149, 438, 150, 437, 150, 437, 149, 438, 150, 433, 
90, 150, 435, 149, 436, 149, 436, 149, 434, 149, 437, 150, 432, 
95, 150, 433, 150, 436, 150, 435, 150, 433, 149, 436, 149, 431, 
100, 149, 432, 149, 433, 149, 433, 149, 431, 149, 434, 150, 430, 
105, 149, 431, 150, 433, 149, 432, 149, 430, 150, 433, 149, 429, 
110, 149, 430, 150, 432, 149, 432, 150, 429, 149, 432, 149, 428, 
115, 149, 429, 150, 431, 150, 431, 150, 428, 149, 431, 149, 427, 
120, 149, 429, 149, 431, 149, 430, 149, 426, 149, 430, 150, 426, 
125, 149, 428, 150, 431, 149, 430, 150, 425, 150, 428, 149, 426, 
130, 149, 428, 150, 430, 149, 430, 149, 424, 150, 428, 150, 426, 
135, 149, 427, 150, 431, 149, 430, 149, 424, 150, 427, 150, 426, 
140, 149, 427, 150, 431, 150, 430, 149, 423, 149, 426, 150, 426, 
145, 150, 428, 150, 431, 149, 430, 150, 422, 149, 425, 149, 426, 
150, 149, 427, 150, 431, 149, 430, 149, 421, 149, 425, 149, 426, 
155, 149, 428, 150, 431, 149, 431, 150, 421, 150, 424, 149, 426, 
160, 149, 428, 150, 432, 149, 431, 149, 421, 149, 424, 150, 427, 
165, 149, 428, 149, 432, 149, 431, 149, 420, 149, 424, 150, 427, 
170, 149, 428, 149, 432, 149, 432, 150, 420, 150, 424, 149, 427, 
175, 149, 429, 150, 433, 149, 433, 149, 420, 150, 424, 149, 428, 
180, 149, 429, 150, 433, 149, 433, 150, 421, 149, 424, 150, 428, 
185, 149, 430, 150, 434, 149, 433, 150, 421, 150, 424, 150, 429, 
190, 149, 430, 149, 434, 149, 434, 149, 421, 149, 424, 150, 429, 
195, 149, 431, 150, 435, 149, 434, 149, 422, 150, 424, 150, 429, 
200, 149, 431, 150, 435, 149, 434, 149, 422, 150, 424, 150, 430, 
205, 150, 431, 150, 436, 149, 435, 149, 423, 149, 424, 150, 431, 
210, 149, 432, 149, 436, 149, 435, 150, 423, 150, 425, 150, 431, 
215, 149, 432, 150, 436, 149, 436, 150, 424, 150, 425, 150, 432, 
220, 150, 433, 150, 437, 150, 436, 149, 424, 150, 425, 150, 432, 
225, 150, 433, 150, 437, 150, 436, 149, 423, 150, 425, 149, 432, 
230, 149, 433, 150, 438, 149, 437, 149, 424, 149, 425, 150, 433, 
235, 149, 434, 149, 438, 149, 437, 149, 423, 150, 426, 150, 434, 
240, 149, 434, 150, 438, 149, 437, 149, 423, 150, 426, 150, 434, 
245, 149, 434, 150, 439, 149, 437, 149, 423, 149, 426, 150, 434, 
250, 149, 434, 150, 439, 150, 438, 150, 422, 150, 426, 150, 434, 
255, 149, 434, 149, 439, 149, 438, 149, 422, 150, 426, 150, 434, 
260, 149, 435, 150, 439, 149, 439, 150, 422, 150, 427, 149, 434, 
265, 149, 435, 150, 439, 150, 439, 149, 422, 150, 427, 150, 435, 
270, 149, 435, 150, 439, 149, 439, 149, 422, 150, 427, 150, 435, 
275, 149, 435, 150, 439, 149, 439, 149, 422, 149, 427, 150, 436, 
280, 150, 436, 150, 439, 150, 440, 149, 421, 149, 428, 150, 436, 
285, 150, 436, 149, 439, 149, 439, 150, 422, 150, 428, 150, 436, 
290, 149, 436, 149, 439, 149, 440, 150, 422, 149, 428, 150, 436, 
295, 149, 436, 150, 439, 150, 440, 149, 421, 149, 428, 150, 437, 
300, 149, 436, 150, 440, 150, 440, 149, 420, 149, 428, 149, 436, 
305, 150, 436, 150, 439, 149, 440, 150, 420, 150, 428, 150, 437, 
310, 150, 436, 149, 439, 149, 440, 150, 417, 149, 428, 149, 436, 
315, 150, 436, 149, 439, 149, 440, 149, 414, 149, 428, 150, 437, 
320, 149, 436, 150, 440, 149, 440, 149, 412, 150, 428, 150, 437, 
325, 149, 436, 149, 439, 149, 440, 149, 413, 150, 428, 149, 436, 
330, 149, 436, 150, 440, 150, 440, 149, 411, 150, 428, 150, 437, 
