t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 429, 150, 430, 149, 405, 150, 428, 149, 423, 149, 425, 
10, 149, 429, 150, 430, 150, 404, 150, 429, 149, 422, 149, 424, 
15, 149, 429, 150, 430, 149, 404, 149, 429, 150, 422, 149, 425, 
20, 149, 429, 150, 430, 149, 405, 149, 430, 150, 422, 149, 424, 
25, 149, 429, 150, 429, 149, 405, 149, 430, 149, 421, 150, 425, 
30, 149, 430, 150, 429, 149, 405, 149, 430, 149, 421, 150, 425, 
35, 149, 429, 150, 429, 150, 405, 150, 430, 150, 421, 150, 424, 
40, 149, 429, 150, 428, 149, 404, 149, 430, 150, 419, 150, 423, 
45, 149, 428, 150, 427, 149, 403, 149, 429, 149, 418, 150, 422, 
50, 149, 426, 150, 425, 149, 401, 149, 428, 149, 417, 149, 420, 
55, 149, 425, 150, 423, 149, 399, 149, 427, 149, 415, 150, 419, 
60, 149, 423, 150, 421, 150, 398, 150, 426, 149, 414, 150, 418, 
65, 149, 422, 150, 419, 149, 396, 150, 425, 150, 414, 150, 416, 
70, 149, 421, 150, 417, 149, 394, 149, 424, 150, 414, 149, 414, 
75, 149, 419, 150, 415, 149, 392, 149, 423, 150, 413, 150, 412, 
80, 149, 418, 150, 414, 150, 391, 150, 422, 150, 414, 149, 411, 
85, 150, 417, 150, 412, 149, 389, 149, 421, 150, 414, 150, 409, 
90, 149, 416, 150, 411, 149, 387, 149, 420, 149, 414, 150, 407, 
95, 149, 415, 150, 410, 150, 386, 149, 418, 150, 414, 149, 406, 
100, 149, 414, 150, 409, 149, 385, 149, 417, 150, 413, 150, 405, 
105, 149, 414, 150, 409, 150, 385, 149, 416, 150, 413, 150, 405, 
110, 149, 413, 150, 409, 149, 384, 149, 415, 150, 413, 150, 404, 
115, 149, 413, 150, 408, 149, 384, 150, 414, 149, 413, 150, 403, 
120, 149, 413, 150, 408, 149, 384, 150, 413, 150, 412, 150, 403, 
125, 149, 413, 150, 408, 149, 384, 150, 412, 149, 412, 150, 403, 
130, 149, 412, 150, 408, 149, 384, 149, 412, 149, 411, 150, 403, 
135, 149, 413, 150, 409, 150, 385, 150, 412, 149, 411, 150, 402, 
140, 150, 413, 150, 409, 149, 385, 150, 412, 150, 410, 149, 403, 
145, 149, 413, 150, 410, 149, 385, 149, 411, 149, 410, 150, 403, 
150, 149, 413, 150, 410, 150, 386, 150, 412, 150, 410, 150, 404, 
155, 149, 414, 150, 411, 149, 386, 150, 412, 149, 410, 150, 404, 
160, 150, 414, 150, 411, 149, 387, 149, 412, 150, 409, 150, 404, 
165, 150, 415, 150, 412, 149, 388, 150, 412, 150, 409, 150, 405, 
170, 149, 415, 150, 413, 149, 388, 149, 413, 149, 409, 149, 405, 
175, 149, 416, 150, 413, 150, 389, 150, 413, 150, 409, 150, 406, 
180, 149, 416, 150, 414, 150, 390, 149, 413, 150, 409, 150, 406, 
185, 149, 417, 150, 415, 149, 390, 149, 413, 150, 409, 150, 406, 
190, 149, 418, 150, 415, 149, 391, 149, 414, 150, 409, 150, 407, 
195, 149, 418, 150, 416, 149, 392, 150, 415, 150, 409, 149, 407, 
200, 149, 419, 150, 417, 150, 393, 150, 415, 150, 410, 150, 408, 
205, 149, 419, 150, 418, 149, 393, 149, 416, 150, 410, 150, 409, 
210, 149, 420, 150, 418, 149, 394, 149, 417, 150, 410, 150, 409, 
215, 149, 420, 150, 419, 149, 395, 149, 417, 149, 410, 150, 410, 
220, 149, 421, 150, 420, 149, 396, 150, 418, 149, 409, 150, 411, 
225, 149, 421, 150, 420, 149, 397, 149, 419, 150, 409, 150, 412, 
230, 149, 422, 150, 421, 149, 397, 150, 420, 149, 409, 150, 412, 
235, 149, 422, 150, 422, 149, 397, 149, 421, 150, 409, 150, 413, 
240, 149, 423, 150, 423, 149, 398, 150, 422, 150, 409, 150, 414, 
245, 150, 424, 150, 423, 149, 399, 150, 422, 150, 409, 150, 415, 
250, 149, 424, 150, 425, 149, 399, 150, 424, 150, 409, 150, 415, 
255, 149, 425, 149, 425, 149, 400, 150, 424, 150, 409, 150, 416, 
260, 149, 425, 150, 427, 149, 401, 150, 426, 149, 410, 150, 417, 
265, 149, 426, 150, 427, 149, 401, 149, 426, 150, 410, 149, 417, 
270, 149, 427, 150, 428, 149, 402, 150, 427, 150, 410, 150, 418, 
275, 149, 428, 150, 429, 149, 403, 150, 428, 150, 410, 149, 419, 
280, 149, 428, 150, 430, 149, 404, 150, 429, 150, 410, 150, 419, 
285, 149, 429, 150, 431, 149, 405, 149, 430, 150, 410, 149, 419, 
290, 149, 429, 150, 432, 149, 405, 149, 431, 149, 411, 150, 420, 
295, 149, 430, 150, 433, 149, 406, 150, 432, 150, 411, 150, 421, 
300, 149, 431, 150, 434, 149, 407, 150, 432, 149, 411, 149, 421, 
305, 149, 431, 150, 435, 149, 407, 149, 433, 150, 411, 150, 422, 
310, 149, 432, 150, 435, 150, 408, 149, 434, 150, 410, 149, 423, 
315, 149, 432, 150, 436, 150, 409, 149, 435, 150, 410, 150, 423, 
320, 149, 433, 149, 436, 150, 409, 149, 435, 149, 410, 149, 423, 
325, 149, 434, 150, 437, 149, 410, 150, 436, 149, 410, 150, 423, 
330, 149, 434, 150, 437, 149, 411, 150, 437, 150, 410, 149, 423, 
