t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 429, 150, 437, 149, 434, 149, 434, 150, 427, 150, 433, 
10, 149, 429, 150, 437, 150, 434, 150, 434, 149, 426, 149, 433, 
15, 149, 429, 150, 436, 150, 434, 150, 434, 150, 427, 150, 433, 
20, 149, 429, 149, 435, 149, 434, 150, 434, 149, 426, 150, 433, 
25, 149, 429, 150, 435, 149, 433, 149, 433, 150, 426, 150, 432, 
30, 149, 429, 149, 434, 149, 433, 149, 433, 149, 426, 150, 433, 
35, 149, 430, 149, 434, 150, 434, 149, 434, 150, 427, 149, 433, 
40, 149, 429, 149, 432, 149, 432, 149, 433, 150, 426, 149, 432, 
45, 149, 429, 150, 432, 149, 432, 150, 434, 150, 427, 150, 433, 
50, 149, 427, 150, 430, 150, 430, 149, 432, 150, 426, 150, 431, 
55, 149, 426, 150, 429, 149, 428, 150, 432, 150, 426, 150, 430, 
60, 149, 425, 150, 427, 149, 426, 149, 431, 150, 426, 149, 429, 
65, 149, 423, 150, 426, 150, 424, 149, 430, 150, 425, 150, 428, 
70, 149, 422, 149, 423, 149, 422, 149, 428, 150, 425, 150, 427, 
75, 149, 421, 150, 422, 149, 420, 149, 427, 149, 424, 150, 425, 
80, 149, 420, 150, 421, 149, 419, 150, 426, 149, 423, 150, 425, 
85, 149, 419, 149, 419, 150, 417, 149, 424, 149, 422, 150, 424, 
90, 149, 418, 150, 418, 149, 416, 149, 423, 149, 421, 150, 423, 
95, 149, 418, 149, 417, 149, 415, 150, 422, 150, 420, 149, 422, 
100, 149, 417, 149, 417, 149, 414, 150, 422, 150, 418, 149, 421, 
105, 149, 417, 150, 417, 149, 414, 150, 421, 149, 417, 150, 420, 
110, 149, 416, 149, 416, 150, 413, 150, 421, 150, 416, 150, 419, 
115, 150, 415, 150, 416, 150, 413, 149, 420, 150, 415, 149, 417, 
120, 149, 414, 149, 416, 149, 412, 150, 420, 150, 415, 149, 416, 
125, 149, 413, 149, 416, 149, 412, 149, 420, 149, 414, 150, 416, 
130, 149, 412, 150, 416, 149, 412, 149, 419, 149, 413, 150, 415, 
135, 149, 412, 150, 417, 149, 412, 149, 419, 149, 413, 150, 415, 
140, 149, 412, 150, 417, 150, 412, 149, 419, 149, 413, 150, 414, 
145, 149, 412, 150, 417, 150, 413, 150, 419, 150, 413, 150, 414, 
150, 149, 412, 150, 418, 150, 413, 149, 419, 150, 412, 150, 414, 
155, 149, 412, 150, 418, 149, 413, 150, 419, 150, 412, 149, 414, 
160, 149, 412, 150, 419, 149, 413, 150, 419, 150, 412, 150, 415, 
165, 149, 412, 150, 419, 149, 413, 149, 419, 150, 412, 150, 415, 
170, 149, 412, 150, 419, 149, 413, 149, 419, 150, 412, 150, 415, 
175, 150, 412, 150, 420, 150, 414, 150, 420, 149, 412, 150, 415, 
180, 150, 412, 150, 420, 149, 414, 149, 421, 150, 412, 150, 416, 
185, 149, 412, 150, 421, 150, 415, 149, 421, 149, 412, 150, 417, 
190, 149, 412, 150, 421, 149, 415, 149, 421, 150, 412, 150, 417, 
195, 150, 413, 150, 421, 150, 416, 150, 422, 149, 412, 150, 418, 
200, 149, 413, 150, 422, 150, 416, 149, 422, 150, 412, 150, 419, 
205, 149, 413, 150, 422, 149, 417, 149, 423, 149, 412, 150, 419, 
210, 149, 413, 150, 422, 150, 418, 149, 423, 150, 413, 150, 420, 
215, 150, 414, 150, 423, 150, 419, 149, 423, 150, 413, 150, 421, 
220, 150, 414, 149, 422, 149, 419, 149, 423, 150, 413, 150, 422, 
225, 149, 414, 150, 422, 150, 420, 149, 423, 150, 413, 150, 423, 
230, 150, 414, 150, 422, 149, 421, 149, 424, 150, 413, 149, 423, 
235, 149, 415, 150, 423, 150, 421, 149, 424, 149, 413, 150, 424, 
240, 149, 414, 150, 423, 149, 422, 149, 424, 149, 413, 149, 425, 
245, 150, 415, 150, 423, 149, 423, 150, 425, 149, 413, 150, 426, 
250, 149, 415, 149, 423, 150, 424, 149, 425, 149, 413, 150, 427, 
255, 149, 415, 150, 424, 149, 424, 150, 425, 149, 413, 150, 428, 
260, 149, 415, 150, 424, 149, 425, 149, 426, 150, 413, 149, 429, 
265, 149, 415, 150, 424, 149, 426, 149, 426, 149, 413, 149, 430, 
270, 150, 416, 150, 425, 150, 427, 149, 427, 149, 413, 150, 432, 
275, 149, 416, 150, 426, 149, 428, 149, 427, 150, 413, 149, 433, 
280, 150, 416, 150, 426, 149, 427, 150, 428, 150, 413, 150, 435, 
285, 149, 416, 150, 426, 150, 426, 149, 428, 149, 413, 150, 436, 
290, 150, 417, 150, 427, 149, 426, 149, 428, 150, 414, 150, 435, 
295, 149, 417, 150, 428, 149, 426, 149, 429, 149, 413, 149, 434, 
300, 149, 417, 149, 428, 149, 425, 149, 429, 150, 414, 150, 432, 
305, 150, 418, 150, 429, 150, 426, 149, 430, 150, 414, 150, 431, 
310, 149, 418, 150, 429, 149, 426, 150, 431, 149, 414, 149, 431, 
315, 150, 418, 150, 429, 149, 426, 149, 431, 150, 415, 150, 430, 
320, 149, 418, 149, 429, 149, 426, 149, 432, 149, 414, 150, 430, 
325, 150, 419, 150, 429, 149, 427, 150, 433, 150, 414, 150, 430, 
330, 149, 420, 150, 430, 149, 427, 150, 433, 149, 414, 149, 430, 
