t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 458, 150, 447, 149, 447, 149, 452, 149, 450, 150, 450, 
10, 149, 461, 150, 447, 149, 447, 149, 452, 149, 452, 150, 450, 
15, 149, 461, 150, 446, 149, 447, 149, 452, 150, 451, 150, 450, 
20, 149, 460, 150, 445, 149, 446, 149, 451, 149, 450, 150, 449, 
25, 149, 460, 150, 444, 150, 446, 149, 451, 150, 450, 150, 449, 
30, 149, 459, 149, 443, 149, 445, 150, 450, 150, 450, 150, 448, 
35, 149, 459, 150, 443, 149, 444, 149, 450, 149, 449, 150, 448, 
40, 149, 459, 150, 443, 149, 443, 149, 450, 150, 449, 150, 447, 
45, 149, 458, 150, 443, 150, 442, 149, 449, 149, 449, 150, 446, 
50, 149, 444, 150, 457, 150, 441, 149, 448, 150, 449, 150, 445, 
55, 149, 444, 150, 457, 149, 439, 150, 447, 150, 448, 150, 444, 
60, 149, 443, 150, 458, 149, 439, 150, 446, 149, 448, 150, 444, 
65, 149, 443, 150, 458, 150, 439, 149, 445, 150, 448, 150, 444, 
70, 149, 442, 150, 458, 149, 439, 150, 445, 150, 447, 150, 444, 
75, 149, 441, 150, 459, 149, 439, 149, 444, 149, 446, 149, 445, 
80, 149, 441, 150, 460, 149, 440, 149, 444, 150, 445, 149, 446, 
85, 149, 440, 150, 461, 150, 441, 149, 444, 150, 444, 150, 447, 
90, 149, 440, 150, 463, 150, 443, 149, 445, 150, 444, 149, 448, 
95, 149, 440, 150, 450, 149, 458, 150, 445, 149, 443, 150, 450, 
100, 149, 440, 150, 452, 150, 460, 149, 446, 149, 443, 150, 452, 
105, 149, 440, 150, 454, 150, 463, 150, 447, 150, 443, 150, 455, 
110, 149, 441, 149, 455, 150, 465, 149, 448, 150, 443, 150, 457, 
115, 149, 441, 150, 457, 150, 467, 150, 450, 150, 444, 150, 459, 
120, 149, 442, 150, 459, 149, 469, 150, 452, 149, 444, 150, 462, 
125, 149, 443, 150, 460, 150, 473, 149, 454, 150, 445, 150, 464, 
130, 149, 444, 149, 462, 149, 474, 149, 456, 150, 447, 150, 467, 
135, 149, 446, 150, 464, 149, 474, 149, 458, 149, 448, 150, 470, 
140, 149, 447, 150, 467, 150, 466, 150, 461, 150, 450, 150, 486, 
145, 149, 449, 149, 468, 149, 467, 149, 463, 150, 451, 150, 489, 
150, 149, 451, 149, 471, 149, 469, 150, 466, 149, 453, 150, 492, 
155, 149, 453, 150, 473, 149, 472, 149, 468, 150, 455, 150, 494, 
160, 150, 455, 150, 475, 149, 474, 150, 470, 150, 457, 149, 497, 
165, 150, 457, 150, 478, 149, 476, 150, 473, 149, 459, 150, 499, 
170, 149, 459, 149, 480, 150, 479, 150, 475, 150, 461, 150, 502, 
175, 149, 460, 150, 483, 149, 481, 149, 478, 150, 464, 150, 504, 
180, 149, 462, 150, 485, 149, 483, 149, 480, 150, 466, 149, 506, 
185, 149, 465, 150, 488, 150, 485, 150, 482, 150, 468, 150, 509, 
190, 149, 467, 150, 490, 150, 487, 150, 498, 150, 470, 150, 498, 
195, 149, 469, 150, 493, 150, 489, 149, 500, 150, 472, 150, 500, 
200, 149, 471, 150, 496, 150, 491, 150, 489, 150, 474, 150, 517, 
205, 149, 473, 150, 498, 150, 493, 149, 505, 150, 476, 150, 506, 
210, 150, 475, 150, 501, 149, 494, 150, 507, 149, 478, 150, 508, 
215, 149, 477, 149, 504, 149, 496, 149, 509, 150, 480, 150, 511, 
220, 149, 479, 150, 506, 149, 498, 149, 511, 150, 482, 150, 513, 
225, 149, 481, 150, 509, 149, 500, 149, 513, 149, 483, 150, 515, 
230, 149, 483, 150, 511, 149, 501, 149, 515, 150, 485, 150, 517, 
235, 149, 485, 150, 513, 150, 503, 150, 503, 149, 500, 150, 518, 
240, 149, 487, 149, 515, 150, 505, 149, 504, 149, 502, 150, 520, 
245, 149, 489, 149, 517, 150, 507, 149, 506, 150, 504, 149, 522, 
250, 149, 491, 150, 520, 149, 508, 150, 509, 149, 506, 150, 524, 
255, 149, 492, 149, 522, 149, 509, 149, 510, 149, 507, 150, 525, 
260, 149, 494, 150, 524, 149, 511, 149, 512, 150, 509, 150, 526, 
265, 149, 496, 150, 526, 149, 512, 150, 514, 150, 510, 150, 528, 
270, 149, 498, 150, 528, 149, 514, 149, 515, 150, 511, 150, 529, 
275, 149, 499, 150, 530, 149, 516, 150, 517, 150, 512, 149, 530, 
280, 149, 500, 150, 531, 149, 516, 149, 518, 150, 499, 150, 531, 
285, 149, 501, 150, 532, 149, 517, 149, 520, 150, 500, 149, 531, 
290, 149, 502, 150, 533, 149, 519, 149, 521, 150, 500, 150, 532, 
295, 149, 503, 150, 534, 150, 521, 149, 522, 150, 502, 149, 532, 
300, 149, 504, 150, 535, 149, 521, 150, 523, 149, 502, 149, 532, 
305, 149, 504, 150, 536, 149, 523, 149, 524, 149, 504, 150, 533, 
310, 149, 505, 150, 538, 149, 525, 149, 525, 150, 505, 150, 534, 
315, 149, 506, 150, 539, 149, 525, 150, 526, 150, 506, 150, 534, 
320, 149, 508, 150, 539, 149, 525, 149, 527, 150, 506, 149, 535, 
325, 149, 509, 150, 540, 149, 527, 149, 528, 149, 507, 149, 535, 
330, 149, 510, 150, 541, 150, 529, 149, 529, 149, 508, 150, 536, 
