t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 374, 150, 394, 150, 424, 150, 359, 150, 388, 149, 397, 
10, 150, 375, 150, 397, 150, 427, 150, 362, 150, 392, 149, 401, 
15, 150, 378, 150, 401, 150, 430, 150, 361, 150, 391, 150, 401, 
20, 150, 382, 150, 402, 150, 430, 150, 363, 150, 392, 150, 399, 
25, 150, 380, 150, 401, 150, 429, 150, 361, 150, 392, 150, 401, 
30, 150, 382, 150, 402, 149, 431, 150, 361, 150, 393, 149, 403, 
35, 150, 383, 150, 401, 150, 431, 150, 365, 150, 392, 149, 404, 
40, 150, 381, 150, 405, 150, 432, 150, 361, 150, 392, 150, 400, 
45, 150, 378, 150, 402, 150, 432, 150, 365, 150, 392, 150, 402, 
50, 150, 383, 150, 400, 150, 430, 150, 364, 150, 392, 149, 399, 
55, 150, 380, 150, 400, 150, 430, 149, 362, 150, 393, 149, 397, 
60, 150, 378, 150, 397, 149, 429, 149, 361, 150, 391, 150, 400, 
65, 150, 379, 150, 397, 150, 428, 150, 362, 150, 391, 149, 396, 
70, 150, 378, 150, 399, 150, 426, 150, 358, 150, 391, 150, 395, 
75, 150, 376, 150, 398, 150, 426, 150, 358, 150, 390, 149, 393, 
80, 149, 376, 150, 394, 150, 425, 150, 355, 150, 387, 149, 393, 
85, 150, 374, 150, 396, 149, 423, 150, 353, 150, 386, 149, 393, 
90, 150, 371, 150, 396, 150, 423, 150, 353, 150, 384, 149, 390, 
95, 150, 373, 150, 392, 149, 421, 150, 353, 150, 381, 150, 393, 
100, 150, 372, 150, 394, 149, 422, 150, 355, 150, 383, 150, 390, 
105, 150, 370, 150, 394, 150, 420, 150, 352, 150, 381, 149, 392, 
110, 150, 373, 150, 391, 150, 420, 150, 349, 150, 379, 149, 390, 
115, 150, 373, 150, 393, 150, 419, 150, 350, 150, 380, 150, 390, 
120, 150, 369, 150, 389, 150, 417, 150, 352, 150, 379, 149, 387, 
125, 150, 367, 150, 390, 150, 417, 150, 349, 150, 380, 149, 388, 
130, 150, 366, 150, 389, 150, 416, 150, 349, 149, 377, 150, 389, 
135, 150, 369, 150, 389, 150, 415, 150, 351, 150, 379, 150, 389, 
140, 150, 369, 150, 392, 150, 414, 149, 348, 150, 379, 149, 386, 
145, 150, 370, 150, 389, 149, 413, 150, 347, 150, 379, 149, 386, 
150, 150, 364, 150, 393, 150, 412, 150, 350, 150, 379, 149, 386, 
155, 150, 366, 150, 388, 150, 412, 150, 349, 150, 380, 150, 387, 
160, 150, 366, 150, 389, 150, 413, 150, 349, 150, 380, 150, 384, 
165, 150, 364, 150, 389, 149, 412, 150, 351, 150, 379, 149, 384, 
170, 150, 365, 150, 389, 150, 412, 150, 350, 150, 380, 149, 384, 
175, 150, 365, 150, 388, 150, 412, 150, 350, 150, 379, 149, 384, 
180, 150, 361, 150, 387, 150, 411, 149, 353, 148, 375, 149, 385, 
185, 150, 365, 150, 387, 150, 411, 150, 352, 151, 384, 150, 388, 
190, 150, 363, 150, 385, 150, 411, 150, 352, 150, 378, 150, 389, 
195, 150, 362, 150, 386, 150, 412, 150, 352, 150, 382, 150, 386, 
200, 150, 359, 150, 386, 150, 411, 150, 353, 150, 380, 150, 388, 
205, 150, 361, 150, 382, 150, 411, 150, 353, 151, 382, 150, 389, 
210, 150, 359, 150, 382, 150, 411, 149, 355, 150, 379, 149, 388, 
215, 150, 362, 150, 382, 150, 411, 150, 352, 150, 380, 149, 387, 
220, 150, 359, 150, 380, 150, 411, 150, 354, 150, 380, 149, 388, 
225, 150, 364, 150, 382, 150, 412, 150, 355, 151, 383, 149, 388, 
230, 150, 363, 150, 381, 150, 411, 150, 353, 150, 379, 149, 388, 
235, 150, 358, 150, 380, 150, 411, 150, 357, 150, 379, 150, 389, 
240, 150, 362, 150, 376, 150, 410, 150, 352, 150, 378, 150, 387, 
245, 150, 361, 150, 376, 150, 411, 150, 355, 150, 378, 150, 387, 
250, 150, 357, 150, 375, 150, 411, 150, 355, 150, 376, 150, 385, 
255, 150, 360, 150, 372, 150, 408, 150, 354, 150, 376, 150, 383, 
260, 150, 361, 150, 373, 150, 408, 150, 352, 150, 379, 150, 385, 
265, 149, 356, 150, 371, 149, 408, 150, 355, 150, 375, 150, 383, 
270, 150, 356, 150, 373, 150, 408, 150, 354, 150, 376, 150, 383, 
275, 150, 358, 150, 369, 149, 406, 150, 355, 150, 375, 150, 382, 
280, 150, 359, 150, 368, 150, 406, 150, 351, 150, 375, 150, 382, 
285, 150, 357, 150, 367, 150, 405, 150, 354, 150, 372, 149, 379, 
290, 150, 358, 150, 369, 149, 404, 150, 352, 150, 371, 150, 378, 
295, 150, 356, 150, 366, 149, 404, 150, 353, 150, 372, 149, 377, 
300, 150, 352, 150, 366, 150, 403, 150, 353, 150, 370, 150, 377, 
305, 150, 356, 150, 364, 150, 403, 150, 351, 150, 371, 149, 377, 
310, 150, 354, 150, 362, 149, 402, 150, 352, 150, 369, 149, 375, 
315, 150, 355, 150, 365, 150, 402, 149, 351, 150, 369, 150, 374, 
320, 150, 352, 150, 363, 149, 398, 150, 350, 150, 367, 149, 372, 
325, 150, 353, 150, 360, 150, 400, 150, 353, 150, 368, 150, 370, 
330, 150, 349, 150, 358, 150, 400, 150, 349, 150, 366, 149, 370, 
