t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 397, 150, 390, 149, 402, 150, 393, 149, 386, 150, 392, 
10, 150, 397, 150, 389, 149, 402, 149, 393, 149, 385, 150, 392, 
15, 150, 397, 149, 389, 149, 402, 150, 393, 150, 385, 150, 392, 
20, 149, 396, 150, 389, 149, 401, 150, 393, 149, 385, 150, 392, 
25, 149, 396, 150, 388, 150, 401, 150, 392, 150, 385, 150, 392, 
30, 150, 396, 150, 388, 149, 400, 150, 391, 149, 385, 149, 391, 
35, 149, 396, 150, 388, 149, 400, 149, 391, 150, 385, 149, 391, 
40, 149, 396, 149, 388, 149, 399, 149, 391, 150, 385, 150, 391, 
45, 149, 394, 150, 389, 149, 397, 149, 389, 149, 384, 150, 389, 
50, 149, 393, 150, 391, 149, 397, 149, 389, 149, 384, 150, 389, 
55, 149, 392, 150, 389, 150, 396, 149, 387, 150, 383, 149, 388, 
60, 149, 391, 150, 387, 149, 394, 149, 387, 150, 383, 150, 388, 
65, 149, 391, 149, 384, 149, 393, 149, 386, 150, 383, 150, 387, 
70, 149, 390, 150, 383, 150, 392, 150, 385, 150, 383, 149, 386, 
75, 150, 390, 150, 382, 150, 391, 150, 384, 149, 382, 150, 386, 
80, 149, 389, 150, 380, 149, 389, 149, 383, 149, 381, 150, 385, 
85, 149, 388, 150, 379, 149, 388, 150, 382, 150, 380, 150, 384, 
90, 150, 387, 149, 378, 149, 387, 150, 382, 149, 379, 150, 384, 
95, 149, 386, 150, 377, 150, 386, 149, 381, 149, 378, 150, 383, 
100, 150, 385, 149, 376, 149, 385, 149, 380, 150, 378, 150, 382, 
105, 150, 384, 149, 376, 149, 385, 150, 379, 150, 377, 150, 381, 
110, 149, 383, 150, 375, 149, 384, 149, 379, 150, 376, 149, 380, 
115, 150, 383, 150, 375, 150, 383, 150, 378, 150, 375, 150, 379, 
120, 149, 382, 150, 374, 149, 383, 150, 378, 149, 375, 150, 378, 
125, 149, 381, 149, 374, 150, 383, 149, 377, 150, 374, 150, 377, 
130, 149, 381, 149, 373, 150, 383, 150, 377, 150, 374, 150, 376, 
135, 149, 380, 150, 374, 150, 383, 149, 377, 149, 373, 149, 376, 
140, 150, 381, 150, 374, 150, 383, 150, 378, 149, 373, 150, 376, 
145, 149, 380, 150, 374, 149, 383, 149, 378, 149, 373, 150, 376, 
150, 149, 380, 150, 373, 150, 384, 149, 378, 150, 373, 149, 376, 
155, 150, 381, 150, 374, 149, 384, 149, 379, 150, 373, 149, 376, 
160, 149, 381, 149, 373, 150, 384, 150, 379, 149, 373, 149, 377, 
165, 149, 381, 150, 373, 149, 385, 149, 379, 149, 373, 149, 377, 
170, 150, 381, 149, 373, 150, 386, 150, 380, 149, 374, 150, 377, 
175, 149, 381, 150, 374, 149, 386, 149, 381, 149, 374, 149, 378, 
180, 149, 382, 149, 374, 150, 387, 149, 381, 150, 375, 150, 379, 
185, 149, 382, 150, 375, 150, 388, 149, 382, 149, 375, 150, 379, 
190, 149, 382, 150, 376, 150, 388, 150, 382, 149, 375, 150, 380, 
195, 149, 382, 149, 375, 149, 389, 150, 383, 150, 375, 150, 380, 
200, 149, 383, 149, 376, 149, 389, 149, 383, 150, 375, 149, 380, 
205, 149, 383, 149, 376, 149, 390, 149, 384, 149, 376, 150, 381, 
210, 149, 383, 150, 377, 150, 390, 150, 384, 150, 376, 150, 381, 
215, 149, 383, 149, 378, 149, 390, 150, 385, 150, 376, 150, 381, 
220, 149, 383, 149, 378, 149, 391, 150, 385, 149, 376, 149, 381, 
225, 149, 383, 150, 379, 149, 391, 150, 385, 149, 376, 150, 381, 
230, 149, 383, 150, 379, 149, 391, 149, 385, 150, 376, 149, 381, 
235, 150, 383, 150, 379, 149, 392, 150, 386, 150, 376, 150, 382, 
240, 149, 383, 150, 379, 150, 392, 150, 386, 150, 376, 150, 382, 
245, 149, 383, 149, 380, 150, 393, 150, 386, 150, 376, 150, 382, 
250, 149, 383, 150, 380, 149, 393, 150, 386, 149, 375, 150, 382, 
255, 150, 383, 150, 380, 150, 393, 150, 386, 150, 375, 149, 382, 
260, 150, 383, 150, 380, 149, 393, 150, 386, 149, 375, 150, 382, 
265, 150, 383, 150, 380, 150, 394, 149, 386, 150, 375, 150, 382, 
270, 150, 383, 150, 380, 149, 394, 150, 386, 149, 375, 150, 382, 
275, 149, 383, 150, 381, 149, 394, 149, 386, 150, 375, 150, 382, 
280, 149, 383, 150, 380, 149, 394, 149, 386, 149, 375, 150, 382, 
285, 150, 383, 150, 381, 150, 395, 149, 386, 150, 375, 149, 382, 
290, 149, 383, 150, 381, 149, 395, 149, 387, 150, 375, 149, 383, 
295, 150, 383, 150, 381, 150, 395, 150, 387, 149, 374, 150, 383, 
300, 149, 383, 150, 381, 149, 395, 149, 386, 150, 375, 149, 383, 
305, 150, 383, 150, 380, 149, 395, 149, 386, 150, 375, 150, 383, 
310, 149, 383, 150, 380, 149, 395, 150, 386, 150, 375, 149, 383, 
315, 149, 383, 150, 380, 149, 395, 150, 386, 149, 374, 150, 383, 
320, 149, 383, 149, 380, 149, 395, 149, 386, 150, 374, 150, 383, 
325, 149, 383, 150, 380, 149, 395, 149, 386, 150, 374, 150, 383, 
330, 149, 383, 150, 380, 149, 395, 149, 386, 150, 374, 150, 383, 
