t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 434, 150, 431, 149, 434, 150, 439, 149, 435, 150, 433, 
10, 149, 433, 150, 431, 150, 434, 149, 439, 150, 435, 149, 432, 
15, 149, 433, 150, 430, 150, 434, 149, 438, 149, 434, 149, 432, 
20, 149, 432, 150, 430, 150, 433, 150, 438, 150, 434, 150, 432, 
25, 149, 432, 150, 429, 149, 433, 149, 437, 149, 433, 150, 431, 
30, 150, 433, 150, 428, 149, 432, 149, 437, 149, 433, 150, 431, 
35, 149, 432, 150, 427, 149, 431, 150, 436, 149, 433, 150, 430, 
40, 149, 431, 150, 426, 149, 429, 149, 434, 150, 432, 149, 429, 
45, 150, 427, 150, 423, 149, 426, 149, 431, 149, 428, 149, 426, 
50, 149, 423, 150, 418, 149, 422, 150, 427, 149, 425, 150, 421, 
55, 150, 419, 150, 413, 149, 418, 149, 424, 150, 422, 150, 417, 
60, 149, 416, 150, 411, 150, 416, 150, 421, 149, 419, 150, 415, 
65, 149, 414, 150, 410, 149, 414, 149, 421, 149, 418, 150, 414, 
70, 149, 414, 150, 409, 149, 414, 150, 420, 150, 418, 150, 414, 
75, 149, 413, 150, 408, 149, 413, 150, 419, 150, 418, 150, 413, 
80, 149, 412, 150, 407, 149, 412, 149, 419, 149, 417, 149, 412, 
85, 149, 411, 150, 406, 150, 412, 150, 418, 149, 417, 149, 411, 
90, 149, 410, 150, 405, 149, 411, 150, 417, 150, 416, 150, 410, 
95, 149, 409, 150, 403, 150, 410, 149, 415, 149, 415, 149, 409, 
100, 149, 407, 149, 402, 149, 408, 150, 414, 149, 414, 150, 408, 
105, 149, 406, 149, 401, 150, 407, 149, 412, 149, 413, 149, 406, 
110, 149, 406, 150, 400, 149, 406, 149, 410, 150, 411, 150, 405, 
115, 149, 405, 150, 400, 149, 405, 149, 409, 149, 410, 150, 404, 
120, 149, 404, 150, 399, 149, 404, 149, 408, 150, 410, 150, 403, 
125, 150, 404, 150, 399, 149, 403, 150, 407, 150, 411, 149, 402, 
130, 150, 404, 150, 400, 150, 402, 149, 406, 150, 412, 150, 402, 
135, 149, 404, 150, 400, 150, 402, 150, 406, 150, 412, 150, 402, 
140, 150, 404, 149, 400, 149, 402, 150, 407, 149, 412, 149, 402, 
145, 149, 404, 150, 401, 149, 402, 149, 407, 150, 412, 150, 403, 
150, 149, 405, 150, 401, 149, 402, 150, 408, 149, 412, 149, 403, 
155, 149, 405, 150, 402, 150, 402, 150, 408, 149, 412, 150, 403, 
160, 149, 406, 150, 402, 149, 402, 149, 409, 150, 412, 150, 403, 
165, 149, 406, 150, 402, 149, 403, 149, 409, 150, 412, 149, 403, 
170, 149, 406, 150, 402, 149, 403, 149, 410, 149, 412, 150, 403, 
175, 149, 407, 150, 403, 149, 403, 149, 410, 150, 412, 150, 403, 
180, 149, 407, 150, 403, 150, 404, 149, 410, 149, 412, 150, 403, 
185, 149, 407, 149, 403, 149, 404, 149, 410, 150, 412, 150, 403, 
190, 149, 408, 149, 403, 149, 404, 150, 410, 149, 412, 150, 403, 
195, 149, 408, 150, 404, 150, 405, 150, 410, 150, 412, 149, 403, 
200, 149, 408, 150, 404, 149, 405, 149, 410, 150, 413, 150, 403, 
205, 149, 409, 150, 404, 149, 405, 149, 410, 149, 412, 149, 403, 
210, 150, 409, 150, 404, 149, 405, 149, 410, 150, 412, 150, 403, 
215, 149, 409, 150, 405, 150, 405, 149, 410, 150, 413, 149, 403, 
220, 150, 410, 150, 405, 149, 406, 149, 410, 149, 413, 150, 404, 
225, 149, 410, 150, 405, 149, 406, 149, 410, 150, 413, 150, 403, 
230, 149, 410, 150, 406, 149, 406, 150, 410, 150, 413, 150, 404, 
235, 149, 411, 150, 406, 149, 406, 149, 410, 150, 413, 150, 404, 
240, 149, 411, 150, 406, 149, 407, 150, 410, 149, 413, 149, 404, 
245, 149, 411, 150, 406, 149, 407, 150, 410, 149, 413, 150, 404, 
250, 149, 411, 150, 407, 149, 407, 149, 410, 149, 413, 150, 404, 
255, 149, 411, 150, 407, 149, 407, 149, 410, 149, 412, 150, 404, 
260, 149, 411, 150, 407, 149, 407, 149, 410, 149, 412, 150, 404, 
265, 149, 411, 150, 407, 149, 407, 150, 410, 149, 412, 150, 404, 
270, 150, 412, 150, 408, 149, 407, 149, 410, 149, 412, 150, 404, 
275, 149, 412, 150, 408, 149, 407, 149, 410, 149, 412, 150, 404, 
280, 149, 412, 150, 408, 149, 407, 150, 411, 149, 412, 150, 404, 
285, 149, 412, 150, 408, 149, 408, 149, 410, 150, 412, 150, 404, 
290, 149, 412, 150, 408, 150, 408, 150, 410, 150, 412, 150, 404, 
295, 149, 412, 150, 408, 149, 408, 149, 410, 149, 411, 149, 404, 
300, 149, 412, 150, 408, 149, 408, 149, 410, 150, 411, 150, 404, 
305, 149, 412, 150, 408, 149, 408, 149, 410, 149, 411, 149, 404, 
310, 149, 412, 150, 408, 150, 408, 149, 410, 149, 411, 150, 404, 
315, 150, 412, 150, 408, 149, 408, 150, 410, 149, 411, 150, 404, 
320, 150, 412, 150, 408, 149, 408, 149, 409, 150, 411, 150, 404, 
325, 149, 411, 150, 408, 149, 408, 150, 410, 149, 410, 149, 404, 
330, 149, 411, 150, 409, 149, 408, 150, 409, 150, 410, 150, 404, 
