t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 459, 150, 455, 149, 450, 149, 449, 149, 454, 150, 457, 
10, 149, 458, 150, 455, 150, 451, 150, 449, 149, 454, 149, 457, 
15, 149, 458, 150, 455, 149, 450, 149, 449, 149, 454, 150, 457, 
20, 149, 458, 150, 455, 149, 450, 149, 449, 150, 454, 149, 456, 
25, 149, 458, 150, 454, 149, 450, 149, 448, 149, 454, 150, 456, 
30, 150, 458, 150, 453, 149, 449, 149, 448, 150, 454, 150, 456, 
35, 149, 457, 150, 453, 149, 448, 150, 447, 150, 454, 149, 455, 
40, 149, 455, 150, 450, 150, 446, 149, 445, 150, 452, 149, 453, 
45, 149, 453, 150, 447, 149, 443, 149, 443, 149, 449, 150, 451, 
50, 149, 449, 150, 444, 149, 441, 150, 440, 150, 446, 149, 447, 
55, 149, 447, 150, 441, 149, 438, 149, 437, 149, 443, 150, 444, 
60, 149, 445, 150, 439, 149, 436, 149, 435, 150, 442, 150, 441, 
65, 149, 444, 149, 439, 150, 436, 149, 434, 149, 441, 150, 441, 
70, 149, 444, 150, 438, 150, 435, 149, 433, 149, 441, 150, 441, 
75, 149, 443, 150, 438, 150, 435, 149, 433, 149, 441, 150, 441, 
80, 149, 442, 150, 438, 149, 434, 149, 432, 150, 441, 150, 441, 
85, 149, 441, 150, 437, 150, 433, 150, 431, 150, 441, 150, 440, 
90, 149, 440, 149, 436, 149, 433, 149, 430, 150, 440, 150, 439, 
95, 150, 439, 149, 434, 150, 432, 149, 429, 150, 440, 150, 438, 
100, 149, 437, 150, 433, 149, 431, 149, 428, 149, 439, 150, 438, 
105, 149, 436, 150, 431, 149, 430, 149, 427, 149, 438, 150, 436, 
110, 150, 435, 150, 430, 149, 428, 150, 426, 149, 437, 150, 435, 
115, 150, 434, 150, 429, 150, 428, 149, 424, 150, 436, 150, 434, 
120, 149, 433, 150, 428, 149, 426, 149, 423, 149, 434, 150, 432, 
125, 149, 432, 150, 427, 149, 425, 150, 422, 149, 433, 150, 432, 
130, 150, 432, 150, 426, 149, 425, 149, 421, 150, 432, 150, 431, 
135, 149, 431, 150, 426, 149, 424, 149, 421, 150, 431, 150, 430, 
140, 149, 431, 150, 426, 149, 423, 149, 420, 149, 431, 150, 430, 
145, 149, 430, 149, 426, 149, 423, 149, 420, 150, 431, 150, 429, 
150, 149, 430, 150, 426, 149, 423, 150, 420, 150, 431, 149, 429, 
155, 149, 430, 150, 426, 149, 423, 150, 420, 149, 431, 150, 429, 
160, 149, 430, 149, 427, 149, 422, 149, 419, 150, 431, 150, 429, 
165, 149, 430, 150, 427, 149, 422, 150, 420, 150, 431, 149, 429, 
170, 149, 431, 149, 427, 149, 422, 150, 420, 149, 431, 150, 430, 
175, 149, 431, 149, 427, 149, 422, 150, 420, 150, 431, 149, 429, 
180, 149, 431, 150, 428, 149, 422, 149, 420, 149, 431, 150, 430, 
185, 149, 431, 150, 428, 149, 422, 149, 421, 150, 431, 150, 430, 
190, 149, 432, 150, 428, 149, 422, 149, 421, 149, 431, 150, 430, 
195, 149, 432, 150, 428, 150, 422, 149, 421, 149, 431, 150, 430, 
200, 149, 432, 150, 428, 149, 422, 149, 421, 150, 431, 150, 430, 
205, 150, 433, 150, 428, 149, 422, 149, 422, 149, 431, 150, 430, 
210, 149, 433, 150, 428, 149, 422, 150, 422, 149, 431, 150, 430, 
215, 149, 433, 150, 428, 149, 422, 150, 422, 150, 431, 149, 430, 
220, 149, 434, 150, 428, 149, 422, 149, 422, 150, 431, 150, 430, 
225, 149, 433, 150, 427, 149, 422, 149, 422, 150, 431, 150, 430, 
230, 149, 434, 150, 427, 149, 422, 149, 421, 150, 431, 150, 430, 
235, 149, 434, 150, 427, 149, 422, 150, 422, 150, 431, 149, 429, 
240, 149, 434, 150, 427, 149, 422, 150, 422, 149, 431, 150, 429, 
245, 149, 434, 149, 427, 149, 422, 149, 422, 150, 431, 150, 429, 
250, 149, 434, 150, 427, 149, 422, 149, 421, 150, 431, 150, 429, 
255, 149, 434, 150, 427, 150, 422, 149, 421, 149, 431, 150, 429, 
260, 149, 434, 150, 427, 149, 422, 149, 421, 149, 431, 150, 429, 
265, 149, 434, 150, 427, 149, 422, 149, 421, 150, 431, 149, 428, 
270, 149, 434, 150, 427, 149, 422, 150, 421, 150, 431, 150, 428, 
275, 149, 435, 150, 427, 149, 422, 149, 421, 149, 431, 150, 428, 
280, 149, 435, 150, 427, 149, 422, 150, 421, 149, 431, 150, 428, 
285, 149, 435, 150, 427, 150, 423, 149, 421, 150, 431, 149, 427, 
290, 149, 434, 149, 425, 149, 422, 149, 421, 149, 430, 149, 427, 
295, 149, 435, 149, 426, 150, 423, 149, 421, 150, 430, 150, 427, 
300, 149, 435, 149, 424, 150, 422, 149, 421, 150, 430, 150, 427, 
305, 149, 435, 150, 428, 150, 423, 149, 421, 150, 430, 150, 427, 
310, 149, 434, 149, 426, 150, 422, 150, 420, 150, 430, 149, 426, 
315, 149, 434, 149, 426, 149, 422, 150, 421, 149, 429, 150, 426, 
320, 149, 434, 150, 427, 150, 422, 149, 420, 150, 430, 149, 426, 
325, 149, 434, 150, 427, 150, 422, 149, 420, 150, 429, 150, 426, 
330, 149, 433, 149, 427, 150, 422, 150, 421, 150, 429, 149, 426, 
