t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 416, 150, 420, 150, 415, 150, 421, 150, 418, 150, 417, 
10, 149, 416, 149, 420, 150, 415, 149, 421, 150, 418, 149, 416, 
15, 150, 416, 150, 420, 150, 415, 150, 420, 149, 417, 150, 416, 
20, 149, 415, 150, 420, 149, 414, 149, 420, 149, 417, 150, 416, 
25, 149, 415, 149, 419, 150, 414, 150, 419, 150, 417, 150, 415, 
30, 149, 415, 149, 418, 149, 413, 149, 419, 149, 417, 149, 415, 
35, 149, 415, 150, 418, 150, 413, 149, 418, 149, 417, 150, 414, 
40, 149, 413, 150, 416, 150, 410, 149, 417, 150, 416, 150, 413, 
45, 150, 412, 149, 415, 150, 408, 150, 415, 149, 414, 150, 412, 
50, 149, 410, 150, 413, 150, 407, 149, 414, 149, 413, 149, 410, 
55, 150, 408, 150, 411, 149, 405, 149, 413, 149, 411, 150, 408, 
60, 149, 408, 150, 411, 150, 404, 150, 412, 149, 410, 150, 408, 
65, 150, 407, 149, 410, 150, 403, 149, 412, 150, 410, 150, 407, 
70, 150, 407, 150, 410, 150, 403, 149, 411, 150, 410, 149, 407, 
75, 149, 406, 150, 409, 149, 402, 149, 410, 149, 409, 150, 406, 
80, 150, 405, 149, 408, 150, 401, 149, 410, 150, 409, 150, 406, 
85, 149, 404, 150, 407, 150, 400, 149, 409, 149, 409, 150, 405, 
90, 149, 403, 150, 406, 149, 399, 149, 408, 150, 408, 149, 405, 
95, 150, 402, 149, 404, 149, 398, 150, 407, 150, 407, 150, 405, 
100, 150, 401, 149, 403, 150, 397, 149, 405, 149, 406, 149, 405, 
105, 150, 400, 149, 402, 149, 396, 150, 405, 150, 406, 150, 406, 
110, 150, 400, 150, 402, 150, 394, 150, 404, 149, 404, 150, 406, 
115, 149, 400, 150, 402, 150, 394, 149, 403, 150, 404, 149, 405, 
120, 149, 399, 150, 402, 150, 393, 149, 403, 149, 404, 150, 405, 
125, 150, 399, 149, 402, 149, 392, 149, 403, 150, 404, 150, 405, 
130, 149, 399, 150, 402, 150, 391, 150, 404, 150, 404, 149, 405, 
135, 150, 399, 149, 402, 150, 390, 149, 404, 150, 404, 150, 404, 
140, 149, 399, 149, 401, 150, 390, 150, 405, 149, 404, 150, 404, 
145, 149, 399, 149, 401, 149, 390, 150, 405, 150, 404, 149, 404, 
150, 149, 398, 149, 401, 150, 389, 149, 405, 150, 404, 149, 403, 
155, 150, 398, 150, 402, 149, 389, 149, 405, 150, 404, 149, 403, 
160, 149, 398, 150, 401, 149, 389, 149, 405, 150, 404, 150, 404, 
165, 150, 398, 149, 400, 150, 389, 149, 405, 149, 404, 149, 403, 
170, 149, 398, 150, 401, 150, 389, 150, 405, 150, 404, 149, 403, 
175, 150, 398, 149, 399, 149, 389, 150, 405, 150, 404, 149, 403, 
180, 149, 398, 149, 401, 149, 389, 150, 405, 150, 403, 150, 403, 
185, 149, 398, 150, 401, 150, 389, 149, 405, 150, 403, 150, 403, 
190, 149, 398, 150, 400, 150, 389, 150, 404, 150, 403, 150, 403, 
195, 149, 397, 149, 400, 149, 389, 149, 404, 150, 403, 149, 402, 
200, 149, 397, 149, 400, 149, 389, 150, 404, 150, 403, 150, 402, 
205, 149, 398, 150, 401, 150, 389, 149, 404, 149, 402, 150, 402, 
210, 150, 398, 150, 401, 149, 389, 150, 404, 149, 402, 150, 401, 
215, 149, 397, 149, 400, 149, 389, 149, 404, 150, 402, 150, 401, 
220, 149, 397, 149, 398, 150, 390, 149, 404, 150, 402, 150, 401, 
225, 149, 397, 150, 400, 149, 390, 150, 404, 150, 401, 149, 400, 
230, 149, 397, 149, 400, 149, 390, 150, 404, 149, 401, 150, 400, 
235, 149, 397, 150, 400, 149, 390, 150, 404, 150, 401, 150, 400, 
240, 149, 397, 150, 400, 149, 391, 149, 404, 150, 401, 150, 399, 
245, 149, 397, 150, 399, 150, 391, 150, 404, 149, 401, 150, 399, 
250, 149, 397, 150, 400, 150, 391, 150, 404, 149, 400, 150, 399, 
255, 149, 397, 150, 399, 149, 391, 149, 403, 149, 400, 150, 399, 
260, 149, 396, 150, 400, 149, 391, 149, 403, 150, 400, 150, 398, 
265, 149, 397, 150, 400, 149, 392, 149, 403, 150, 400, 150, 398, 
270, 149, 397, 150, 400, 149, 392, 150, 403, 150, 400, 150, 398, 
275, 149, 396, 150, 400, 150, 392, 150, 403, 149, 400, 150, 398, 
280, 149, 397, 150, 399, 149, 392, 150, 403, 149, 400, 150, 397, 
285, 149, 396, 150, 399, 149, 392, 150, 403, 150, 400, 150, 397, 
290, 149, 396, 150, 399, 150, 392, 149, 403, 150, 399, 149, 397, 
295, 150, 397, 150, 399, 149, 392, 149, 403, 149, 399, 150, 396, 
300, 149, 396, 150, 399, 149, 393, 149, 403, 150, 399, 150, 396, 
305, 150, 397, 150, 399, 149, 393, 149, 402, 150, 399, 150, 396, 
310, 149, 396, 150, 399, 149, 393, 150, 402, 150, 399, 150, 396, 
315, 149, 397, 150, 399, 149, 393, 150, 402, 150, 399, 149, 395, 
320, 150, 396, 150, 399, 149, 393, 149, 402, 150, 399, 150, 395, 
325, 150, 396, 150, 399, 149, 393, 149, 402, 150, 398, 150, 395, 
330, 150, 396, 150, 398, 149, 393, 149, 402, 149, 398, 150, 395, 
