t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 415, 150, 421, 149, 420, 149, 423, 149, 418, 150, 427, 
10, 149, 415, 150, 421, 149, 420, 149, 422, 150, 418, 150, 427, 
15, 149, 415, 150, 421, 150, 420, 149, 422, 150, 417, 150, 427, 
20, 149, 415, 150, 420, 149, 420, 149, 421, 150, 417, 150, 427, 
25, 150, 415, 150, 420, 150, 420, 150, 421, 149, 417, 149, 427, 
30, 149, 415, 150, 420, 149, 420, 149, 421, 150, 417, 149, 426, 
35, 149, 414, 150, 419, 150, 419, 149, 420, 149, 417, 150, 426, 
40, 149, 412, 149, 416, 149, 417, 149, 419, 150, 416, 149, 425, 
45, 149, 410, 150, 414, 150, 415, 149, 417, 150, 414, 150, 423, 
50, 149, 409, 150, 412, 150, 413, 149, 415, 150, 413, 149, 422, 
55, 149, 407, 150, 411, 150, 412, 149, 414, 150, 411, 150, 421, 
60, 149, 407, 150, 410, 149, 411, 149, 413, 149, 410, 150, 420, 
65, 149, 406, 150, 410, 149, 410, 149, 412, 150, 410, 150, 420, 
70, 149, 406, 149, 409, 149, 410, 149, 412, 150, 410, 149, 419, 
75, 150, 406, 150, 409, 150, 409, 149, 411, 150, 410, 149, 418, 
80, 149, 406, 149, 408, 150, 408, 150, 410, 150, 410, 150, 417, 
85, 149, 406, 149, 407, 149, 407, 150, 410, 150, 411, 150, 416, 
90, 150, 407, 150, 407, 149, 406, 149, 411, 150, 412, 150, 416, 
95, 149, 407, 150, 406, 149, 405, 149, 412, 150, 412, 150, 415, 
100, 150, 408, 150, 406, 149, 404, 150, 413, 150, 413, 150, 414, 
105, 149, 408, 149, 405, 149, 404, 150, 415, 150, 414, 150, 413, 
110, 150, 408, 149, 406, 149, 404, 149, 417, 149, 414, 150, 413, 
115, 150, 409, 149, 407, 150, 405, 150, 418, 149, 415, 150, 412, 
120, 149, 409, 150, 409, 150, 406, 149, 419, 149, 415, 150, 413, 
125, 149, 410, 149, 409, 150, 407, 149, 420, 150, 416, 150, 413, 
130, 149, 410, 150, 410, 149, 408, 150, 421, 149, 416, 149, 414, 
135, 149, 411, 150, 410, 149, 408, 150, 422, 150, 417, 149, 414, 
140, 150, 412, 149, 411, 150, 409, 149, 422, 150, 417, 149, 415, 
145, 149, 412, 150, 411, 149, 409, 149, 422, 150, 417, 150, 416, 
150, 149, 412, 150, 412, 150, 409, 150, 422, 149, 417, 150, 416, 
155, 150, 412, 149, 411, 150, 409, 149, 422, 150, 417, 149, 417, 
160, 150, 412, 149, 411, 149, 409, 149, 422, 149, 416, 150, 417, 
165, 149, 412, 149, 411, 149, 409, 150, 422, 150, 416, 149, 417, 
170, 150, 412, 150, 412, 149, 409, 150, 421, 150, 416, 150, 418, 
175, 150, 412, 150, 412, 149, 409, 149, 421, 149, 416, 150, 418, 
180, 149, 412, 149, 411, 149, 409, 150, 421, 150, 416, 150, 419, 
185, 149, 412, 149, 412, 149, 409, 149, 420, 150, 416, 150, 419, 
190, 149, 411, 150, 413, 150, 409, 149, 420, 150, 415, 150, 419, 
195, 150, 411, 149, 412, 150, 409, 150, 419, 149, 415, 149, 419, 
200, 149, 410, 149, 412, 150, 409, 150, 419, 150, 414, 150, 419, 
205, 150, 410, 150, 413, 149, 409, 149, 418, 149, 414, 149, 419, 
210, 150, 410, 150, 413, 149, 409, 150, 418, 150, 414, 150, 419, 
215, 150, 409, 150, 413, 150, 409, 150, 418, 149, 414, 149, 419, 
220, 150, 409, 150, 412, 149, 409, 149, 417, 150, 413, 150, 419, 
225, 149, 409, 150, 413, 149, 409, 149, 417, 150, 413, 149, 419, 
230, 150, 408, 150, 413, 150, 409, 150, 417, 150, 413, 150, 419, 
235, 149, 408, 150, 412, 150, 409, 150, 416, 150, 413, 150, 419, 
240, 150, 408, 150, 413, 149, 408, 150, 416, 150, 412, 149, 418, 
245, 149, 407, 150, 412, 149, 408, 150, 416, 149, 412, 150, 418, 
250, 149, 407, 150, 412, 149, 408, 150, 415, 150, 411, 149, 418, 
255, 150, 407, 150, 412, 149, 408, 149, 415, 150, 411, 150, 419, 
260, 149, 406, 150, 412, 149, 408, 149, 414, 150, 411, 150, 418, 
265, 149, 406, 150, 412, 149, 408, 149, 414, 149, 410, 150, 418, 
270, 149, 405, 150, 412, 149, 408, 149, 413, 150, 410, 150, 417, 
275, 150, 405, 150, 411, 149, 407, 150, 413, 150, 410, 150, 417, 
280, 149, 404, 150, 411, 149, 407, 150, 413, 149, 410, 149, 416, 
285, 150, 404, 150, 411, 149, 407, 149, 412, 149, 410, 150, 416, 
290, 150, 404, 150, 411, 150, 407, 149, 412, 150, 410, 150, 416, 
295, 149, 403, 150, 411, 149, 407, 150, 412, 149, 409, 150, 416, 
300, 149, 403, 150, 411, 149, 406, 150, 412, 150, 409, 149, 415, 
305, 150, 403, 150, 410, 149, 406, 149, 411, 150, 409, 150, 415, 
310, 149, 402, 150, 410, 149, 406, 149, 411, 149, 409, 150, 415, 
315, 149, 402, 150, 410, 149, 405, 150, 411, 149, 408, 150, 414, 
320, 149, 402, 150, 410, 149, 405, 150, 411, 150, 408, 149, 414, 
325, 149, 402, 150, 410, 149, 405, 149, 410, 149, 408, 150, 414, 
330, 149, 402, 150, 409, 149, 404, 150, 410, 150, 408, 150, 413, 
