t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 447, 150, 440, 149, 451, 150, 441, 149, 444, 150, 448, 
10, 149, 447, 149, 439, 149, 450, 149, 442, 150, 445, 150, 449, 
15, 149, 446, 150, 439, 149, 448, 149, 442, 150, 445, 150, 449, 
20, 150, 445, 150, 439, 149, 446, 149, 442, 150, 445, 150, 448, 
25, 149, 445, 150, 439, 149, 445, 149, 442, 150, 445, 150, 448, 
30, 149, 444, 150, 439, 149, 445, 149, 442, 150, 443, 150, 448, 
35, 149, 444, 150, 438, 149, 445, 150, 441, 150, 442, 149, 447, 
40, 149, 444, 150, 438, 149, 444, 150, 441, 150, 442, 149, 447, 
45, 149, 444, 149, 437, 150, 443, 150, 440, 149, 441, 150, 447, 
50, 149, 444, 150, 437, 149, 443, 149, 439, 150, 441, 149, 446, 
55, 149, 443, 150, 436, 149, 441, 149, 438, 150, 440, 150, 444, 
60, 149, 441, 150, 434, 149, 439, 150, 437, 149, 439, 150, 442, 
65, 149, 439, 150, 432, 149, 437, 150, 435, 150, 437, 150, 440, 
70, 149, 437, 150, 431, 149, 436, 149, 434, 149, 434, 149, 438, 
75, 149, 435, 150, 431, 149, 434, 150, 432, 150, 432, 150, 436, 
80, 149, 434, 150, 431, 149, 433, 150, 431, 149, 430, 149, 435, 
85, 149, 435, 150, 430, 149, 433, 150, 430, 149, 430, 149, 435, 
90, 149, 434, 150, 430, 149, 432, 150, 429, 150, 431, 150, 434, 
95, 149, 434, 149, 429, 149, 430, 149, 427, 150, 430, 150, 434, 
100, 149, 434, 150, 428, 149, 429, 149, 426, 150, 429, 150, 433, 
105, 149, 435, 149, 427, 149, 429, 150, 425, 149, 429, 150, 432, 
110, 149, 436, 149, 425, 149, 428, 149, 424, 150, 428, 150, 431, 
115, 149, 438, 150, 425, 149, 428, 149, 423, 150, 428, 150, 430, 
120, 149, 439, 150, 423, 149, 428, 149, 422, 150, 428, 150, 430, 
125, 149, 441, 150, 423, 149, 427, 150, 422, 149, 427, 150, 430, 
130, 149, 442, 150, 422, 150, 427, 150, 422, 150, 427, 150, 429, 
135, 149, 443, 150, 422, 149, 427, 149, 422, 149, 427, 149, 429, 
140, 149, 444, 150, 421, 149, 426, 149, 423, 149, 427, 149, 429, 
145, 149, 445, 150, 421, 150, 427, 150, 423, 149, 427, 149, 429, 
150, 149, 446, 150, 421, 149, 426, 149, 424, 149, 427, 150, 429, 
155, 149, 446, 150, 421, 149, 426, 150, 425, 150, 427, 149, 429, 
160, 149, 446, 150, 421, 149, 427, 149, 425, 149, 427, 150, 429, 
165, 149, 447, 150, 422, 150, 427, 149, 425, 150, 427, 150, 430, 
170, 149, 447, 150, 422, 149, 427, 149, 425, 150, 428, 150, 430, 
175, 149, 447, 149, 422, 149, 428, 149, 426, 150, 428, 149, 430, 
180, 149, 447, 150, 423, 149, 428, 149, 426, 150, 428, 149, 430, 
185, 149, 447, 149, 423, 149, 428, 149, 426, 150, 428, 150, 430, 
190, 149, 446, 149, 423, 149, 429, 149, 426, 150, 428, 149, 431, 
195, 149, 447, 150, 424, 149, 429, 150, 427, 150, 428, 149, 431, 
200, 149, 446, 149, 423, 150, 430, 149, 427, 150, 429, 149, 432, 
205, 149, 446, 150, 425, 149, 430, 150, 427, 149, 429, 149, 432, 
210, 149, 446, 150, 425, 150, 431, 149, 427, 149, 429, 150, 433, 
215, 149, 446, 149, 424, 150, 431, 150, 427, 150, 429, 150, 433, 
220, 149, 446, 149, 424, 150, 432, 149, 427, 150, 429, 150, 434, 
225, 149, 445, 149, 426, 150, 432, 149, 428, 149, 429, 149, 434, 
230, 149, 445, 149, 425, 150, 432, 149, 428, 150, 430, 149, 434, 
235, 149, 445, 149, 425, 149, 432, 149, 428, 150, 430, 150, 434, 
240, 149, 445, 150, 426, 149, 433, 149, 428, 149, 429, 149, 434, 
245, 149, 445, 150, 426, 150, 433, 150, 428, 150, 430, 150, 434, 
250, 149, 445, 150, 427, 149, 433, 149, 428, 149, 430, 150, 434, 
255, 149, 444, 150, 427, 149, 433, 149, 428, 149, 429, 149, 435, 
260, 149, 444, 149, 426, 149, 433, 149, 427, 150, 430, 150, 435, 
265, 149, 444, 150, 427, 150, 434, 149, 427, 149, 429, 149, 435, 
270, 150, 444, 150, 427, 149, 433, 150, 427, 149, 429, 150, 435, 
275, 149, 443, 150, 427, 149, 433, 149, 427, 150, 429, 150, 435, 
280, 149, 443, 150, 427, 149, 434, 150, 427, 150, 429, 150, 435, 
285, 150, 443, 150, 427, 149, 434, 150, 427, 150, 429, 150, 435, 
290, 150, 442, 150, 427, 149, 433, 150, 427, 149, 428, 150, 435, 
295, 149, 442, 149, 426, 149, 433, 150, 427, 150, 429, 150, 435, 
300, 150, 442, 150, 427, 149, 433, 150, 426, 149, 428, 150, 435, 
305, 149, 442, 149, 426, 149, 434, 150, 426, 150, 428, 150, 435, 
310, 149, 441, 149, 426, 149, 434, 149, 426, 149, 428, 150, 435, 
315, 149, 441, 150, 426, 149, 433, 149, 426, 150, 428, 150, 434, 
320, 149, 441, 150, 427, 149, 433, 149, 425, 150, 427, 150, 435, 
325, 149, 441, 150, 426, 150, 433, 150, 425, 150, 427, 150, 435, 
330, 149, 441, 150, 426, 149, 433, 149, 425, 149, 427, 149, 434, 
