t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 239, 149, 244, 149, 0, 150, 469, 149, 466, 149, 469, 
10, 149, 240, 150, 245, 149, 0, 149, 469, 149, 466, 149, 469, 
15, 149, 240, 150, 246, 149, 0, 149, 469, 150, 466, 150, 469, 
20, 149, 240, 150, 245, 147, 0, 149, 469, 150, 466, 150, 469, 
25, 149, 240, 149, 245, 150, 0, 149, 469, 150, 467, 150, 469, 
30, 149, 240, 150, 246, 150, 0, 149, 469, 149, 466, 149, 469, 
35, 149, 240, 150, 246, 150, 0, 150, 470, 149, 466, 150, 469, 
40, 149, 240, 150, 246, 149, 0, 150, 470, 150, 467, 150, 470, 
45, 149, 241, 149, 245, 150, 0, 150, 470, 149, 467, 149, 470, 
50, 149, 241, 150, 246, 150, 0, 149, 470, 150, 467, 150, 470, 
55, 149, 241, 150, 246, 149, 0, 149, 470, 150, 467, 150, 470, 
60, 149, 241, 149, 246, 150, 0, 149, 470, 149, 467, 150, 470, 
65, 149, 241, 150, 246, 151, 0, 149, 470, 150, 467, 149, 470, 
70, 149, 240, 150, 246, 150, 0, 149, 470, 149, 467, 150, 470, 
75, 149, 240, 150, 246, 149, 0, 150, 469, 150, 467, 149, 470, 
80, 149, 240, 150, 246, 147, 0, 149, 468, 149, 467, 150, 470, 
85, 149, 241, 150, 246, 150, 0, 150, 467, 150, 467, 150, 469, 
90, 149, 241, 150, 245, 149, 0, 149, 466, 150, 467, 149, 467, 
95, 149, 236, 149, 471, 149, 234, 150, 464, 150, 466, 150, 465, 
100, 149, 229, 150, 469, 149, 232, 149, 455, 150, 459, 149, 457, 
105, 149, 223, 150, 465, 150, 228, 149, 448, 150, 453, 149, 449, 
110, 149, 219, 150, 462, 149, 226, 150, 445, 149, 451, 150, 446, 
115, 149, 456, 149, 454, 149, 461, 150, 440, 149, 447, 149, 440, 
120, 149, 453, 150, 447, 150, 458, 150, 433, 150, 442, 149, 431, 
125, 149, 452, 150, 439, 150, 456, 149, 428, 149, 439, 150, 425, 
130, 149, 453, 150, 441, 149, 456, 150, 428, 150, 441, 150, 424, 
135, 149, 458, 150, 442, 149, 458, 150, 429, 149, 445, 150, 428, 
140, 149, 464, 150, 446, 149, 462, 149, 431, 149, 451, 149, 433, 
145, 149, 469, 149, 451, 150, 467, 149, 433, 149, 455, 149, 438, 
150, 149, 473, 149, 459, 149, 472, 149, 433, 150, 458, 150, 442, 
155, 149, 475, 150, 468, 149, 475, 149, 434, 149, 459, 149, 445, 
160, 149, 475, 150, 476, 149, 478, 149, 433, 149, 459, 150, 447, 
165, 149, 475, 149, 481, 149, 480, 149, 433, 150, 458, 150, 447, 
170, 149, 475, 149, 487, 149, 481, 150, 433, 149, 455, 150, 448, 
175, 149, 474, 150, 492, 150, 482, 149, 433, 149, 454, 150, 448, 
180, 149, 474, 149, 494, 150, 482, 149, 432, 149, 451, 150, 447, 
185, 149, 473, 149, 495, 149, 482, 150, 432, 150, 451, 149, 446, 
190, 149, 473, 150, 496, 150, 482, 149, 432, 149, 449, 149, 446, 
195, 149, 472, 150, 496, 150, 481, 150, 431, 149, 447, 149, 446, 
200, 149, 472, 150, 494, 150, 481, 149, 431, 150, 447, 150, 445, 
205, 149, 472, 150, 493, 149, 480, 149, 431, 149, 446, 149, 444, 
210, 149, 472, 149, 490, 150, 478, 150, 430, 149, 445, 149, 443, 
215, 149, 471, 149, 488, 149, 476, 150, 430, 150, 445, 150, 443, 
220, 149, 470, 150, 487, 149, 474, 149, 430, 150, 444, 150, 442, 
225, 150, 470, 149, 485, 149, 472, 150, 429, 149, 444, 150, 442, 
230, 149, 468, 150, 484, 149, 470, 149, 429, 150, 443, 150, 441, 
235, 150, 467, 150, 483, 149, 469, 150, 429, 149, 442, 149, 441, 
240, 149, 466, 150, 482, 149, 468, 149, 429, 150, 442, 150, 440, 
245, 149, 466, 150, 481, 149, 466, 150, 429, 149, 442, 150, 440, 
250, 149, 465, 150, 480, 149, 466, 149, 428, 149, 441, 150, 440, 
255, 150, 465, 149, 478, 149, 465, 149, 428, 149, 440, 149, 440, 
260, 150, 464, 150, 478, 150, 464, 149, 428, 149, 441, 150, 440, 
265, 149, 464, 150, 477, 150, 464, 150, 428, 150, 441, 150, 440, 
270, 149, 464, 149, 476, 150, 463, 149, 427, 149, 440, 149, 439, 
275, 149, 464, 149, 475, 149, 463, 149, 427, 150, 440, 150, 440, 
280, 149, 463, 150, 475, 149, 462, 149, 427, 150, 439, 149, 439, 
285, 149, 463, 149, 471, 149, 462, 150, 427, 150, 439, 150, 439, 
290, 149, 463, 149, 472, 150, 462, 149, 427, 150, 439, 149, 439, 
295, 149, 463, 149, 469, 149, 461, 149, 427, 150, 439, 150, 439, 
300, 149, 463, 149, 467, 150, 462, 149, 427, 150, 438, 149, 438, 
305, 149, 463, 150, 468, 149, 461, 149, 427, 150, 438, 150, 439, 
310, 149, 463, 149, 467, 150, 461, 149, 426, 150, 437, 149, 438, 
315, 150, 463, 150, 467, 149, 461, 149, 426, 149, 437, 149, 438, 
320, 149, 463, 150, 468, 150, 460, 150, 426, 150, 437, 149, 438, 
325, 149, 463, 150, 464, 150, 460, 149, 426, 150, 437, 150, 438, 
330, 149, 463, 150, 466, 149, 461, 149, 426, 150, 437, 150, 438, 
