t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 441, 150, 441, 149, 446, 149, 443, 149, 444, 149, 448, 
10, 149, 441, 150, 442, 149, 446, 149, 443, 150, 445, 150, 449, 
15, 150, 441, 149, 440, 149, 446, 150, 444, 150, 444, 150, 449, 
20, 149, 441, 149, 440, 149, 446, 149, 444, 149, 444, 150, 449, 
25, 149, 440, 150, 441, 149, 446, 149, 443, 150, 444, 149, 448, 
30, 149, 440, 150, 440, 149, 446, 150, 443, 149, 444, 149, 448, 
35, 149, 440, 150, 440, 150, 446, 149, 443, 150, 444, 149, 449, 
40, 149, 440, 150, 440, 149, 446, 149, 443, 149, 444, 150, 449, 
45, 149, 437, 150, 438, 149, 443, 149, 440, 150, 442, 149, 446, 
50, 150, 434, 149, 433, 149, 439, 149, 437, 150, 438, 149, 441, 
55, 149, 431, 150, 431, 150, 437, 150, 434, 150, 435, 150, 439, 
60, 150, 429, 150, 430, 149, 434, 150, 433, 149, 433, 149, 436, 
65, 150, 428, 150, 430, 150, 433, 149, 432, 150, 433, 150, 435, 
70, 149, 427, 150, 429, 149, 432, 149, 431, 150, 433, 150, 435, 
75, 149, 428, 150, 428, 149, 432, 149, 431, 149, 433, 150, 435, 
80, 149, 427, 150, 428, 150, 432, 149, 430, 149, 433, 150, 435, 
85, 150, 427, 150, 427, 150, 431, 149, 428, 149, 432, 150, 434, 
90, 149, 426, 150, 426, 150, 430, 150, 427, 149, 432, 150, 433, 
95, 149, 425, 150, 425, 150, 429, 149, 425, 149, 432, 150, 431, 
100, 149, 424, 150, 424, 149, 427, 150, 423, 150, 430, 150, 429, 
105, 150, 422, 150, 422, 150, 425, 149, 421, 149, 429, 150, 427, 
110, 149, 421, 150, 420, 149, 424, 150, 420, 149, 427, 150, 425, 
115, 150, 419, 150, 419, 149, 422, 149, 418, 150, 426, 150, 424, 
120, 149, 418, 150, 417, 149, 422, 150, 417, 149, 424, 150, 423, 
125, 150, 417, 150, 416, 149, 421, 149, 416, 150, 423, 150, 422, 
130, 150, 416, 150, 415, 149, 420, 150, 416, 149, 422, 150, 421, 
135, 149, 416, 150, 415, 149, 420, 150, 416, 149, 421, 150, 421, 
140, 150, 416, 150, 414, 149, 420, 150, 415, 150, 420, 150, 421, 
145, 149, 416, 150, 414, 149, 419, 150, 414, 150, 420, 150, 421, 
150, 149, 416, 150, 414, 149, 420, 150, 414, 150, 420, 150, 421, 
155, 149, 416, 150, 413, 149, 419, 149, 414, 150, 419, 150, 421, 
160, 149, 416, 150, 413, 149, 420, 150, 415, 149, 419, 149, 422, 
165, 149, 417, 150, 413, 149, 420, 150, 414, 150, 419, 150, 422, 
170, 149, 417, 150, 413, 149, 420, 150, 414, 149, 419, 150, 422, 
175, 149, 417, 150, 413, 149, 420, 149, 415, 149, 419, 150, 423, 
180, 149, 417, 150, 413, 149, 420, 150, 415, 150, 419, 150, 423, 
185, 149, 417, 150, 414, 149, 420, 149, 415, 150, 419, 150, 423, 
190, 149, 418, 150, 414, 149, 421, 149, 415, 150, 420, 150, 423, 
195, 149, 418, 150, 414, 149, 421, 149, 416, 150, 420, 150, 424, 
200, 149, 418, 150, 414, 149, 421, 150, 416, 149, 420, 149, 424, 
205, 149, 418, 150, 414, 150, 421, 149, 416, 149, 419, 149, 424, 
210, 149, 419, 150, 414, 149, 422, 149, 416, 149, 420, 149, 424, 
215, 149, 419, 150, 415, 149, 422, 150, 417, 149, 420, 150, 424, 
220, 149, 419, 150, 415, 149, 422, 149, 417, 150, 420, 150, 424, 
225, 149, 419, 150, 415, 149, 422, 149, 417, 150, 420, 150, 424, 
230, 149, 419, 150, 415, 149, 422, 150, 417, 150, 420, 149, 423, 
235, 149, 419, 150, 415, 149, 422, 149, 417, 150, 420, 149, 424, 
240, 149, 419, 150, 416, 150, 422, 149, 417, 150, 420, 149, 424, 
245, 149, 419, 150, 416, 149, 422, 149, 417, 150, 420, 150, 424, 
250, 149, 419, 150, 416, 149, 422, 149, 417, 150, 420, 149, 423, 
255, 149, 419, 150, 416, 149, 422, 150, 418, 150, 420, 149, 423, 
260, 149, 419, 150, 416, 149, 423, 149, 418, 149, 420, 150, 423, 
265, 149, 419, 150, 417, 149, 422, 150, 418, 150, 420, 150, 423, 
270, 149, 419, 150, 416, 149, 422, 150, 418, 149, 420, 150, 423, 
275, 149, 419, 150, 417, 149, 422, 149, 418, 149, 420, 149, 423, 
280, 149, 419, 150, 416, 149, 422, 149, 418, 149, 420, 150, 423, 
285, 149, 419, 150, 417, 149, 422, 150, 418, 150, 420, 150, 423, 
290, 149, 420, 150, 417, 149, 423, 149, 418, 150, 420, 150, 423, 
295, 149, 419, 150, 416, 150, 423, 149, 418, 150, 420, 150, 423, 
300, 149, 420, 149, 416, 149, 423, 150, 418, 149, 420, 150, 423, 
305, 149, 419, 150, 417, 149, 422, 149, 418, 150, 420, 150, 422, 
310, 149, 420, 150, 417, 150, 423, 149, 418, 149, 419, 150, 422, 
315, 149, 420, 150, 416, 149, 423, 149, 418, 150, 420, 150, 422, 
320, 149, 419, 150, 417, 149, 423, 150, 418, 149, 419, 150, 422, 
325, 149, 419, 150, 416, 149, 423, 149, 417, 149, 419, 150, 422, 
330, 149, 420, 150, 416, 149, 422, 149, 417, 149, 419, 150, 422, 
