t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 387, 150, 386, 150, 386, 150, 395, 150, 389, 150, 387, 
10, 149, 386, 149, 385, 149, 386, 149, 394, 150, 389, 149, 386, 
15, 149, 386, 150, 385, 149, 385, 149, 393, 149, 388, 150, 386, 
20, 149, 385, 150, 385, 149, 384, 149, 393, 149, 388, 150, 386, 
25, 149, 385, 150, 384, 150, 384, 149, 392, 150, 388, 150, 385, 
30, 149, 385, 150, 384, 149, 384, 149, 392, 150, 388, 149, 384, 
35, 149, 385, 150, 383, 149, 383, 149, 391, 150, 388, 150, 384, 
40, 149, 384, 150, 382, 149, 383, 149, 391, 150, 387, 150, 384, 
45, 149, 382, 150, 380, 149, 381, 149, 389, 150, 386, 150, 382, 
50, 149, 382, 149, 378, 149, 380, 150, 389, 150, 385, 149, 381, 
55, 149, 382, 150, 378, 149, 379, 149, 388, 149, 385, 149, 381, 
60, 149, 380, 149, 377, 149, 378, 150, 388, 150, 384, 150, 380, 
65, 149, 379, 150, 376, 149, 377, 150, 386, 150, 382, 149, 377, 
70, 149, 378, 150, 375, 149, 376, 149, 385, 150, 381, 150, 377, 
75, 149, 378, 150, 375, 149, 376, 149, 385, 150, 381, 150, 376, 
80, 149, 378, 149, 374, 149, 376, 149, 384, 150, 381, 149, 376, 
85, 149, 378, 149, 374, 150, 376, 149, 384, 149, 380, 150, 376, 
90, 149, 378, 150, 376, 149, 375, 150, 383, 150, 380, 149, 376, 
95, 149, 378, 149, 378, 149, 375, 150, 383, 149, 381, 150, 376, 
100, 149, 382, 150, 383, 150, 377, 149, 383, 150, 385, 150, 378, 
105, 149, 388, 149, 388, 150, 379, 149, 383, 149, 388, 150, 380, 
110, 149, 394, 150, 391, 149, 380, 149, 383, 149, 391, 149, 381, 
115, 149, 398, 150, 392, 149, 381, 149, 383, 150, 392, 149, 381, 
120, 149, 400, 150, 392, 149, 382, 149, 382, 149, 392, 150, 381, 
125, 149, 401, 150, 391, 149, 382, 149, 382, 150, 392, 149, 381, 
130, 149, 401, 149, 390, 149, 382, 149, 381, 150, 392, 150, 381, 
135, 149, 400, 149, 388, 150, 381, 149, 381, 149, 392, 150, 379, 
140, 149, 399, 150, 387, 149, 380, 150, 380, 150, 392, 150, 379, 
145, 149, 397, 149, 385, 149, 379, 149, 379, 150, 391, 149, 378, 
150, 149, 395, 150, 385, 149, 378, 150, 378, 150, 390, 149, 377, 
155, 149, 394, 149, 383, 149, 377, 150, 377, 149, 389, 150, 376, 
160, 149, 393, 150, 383, 149, 376, 150, 377, 150, 388, 149, 375, 
165, 149, 392, 150, 383, 149, 375, 149, 376, 150, 388, 150, 375, 
170, 149, 390, 150, 381, 150, 374, 149, 376, 150, 386, 149, 374, 
175, 149, 390, 149, 380, 149, 373, 150, 375, 149, 385, 150, 374, 
180, 149, 388, 149, 379, 150, 372, 150, 375, 150, 384, 150, 373, 
185, 149, 387, 149, 377, 150, 371, 149, 374, 150, 384, 150, 372, 
190, 149, 386, 150, 377, 149, 370, 149, 373, 149, 382, 150, 372, 
195, 149, 385, 150, 376, 150, 370, 149, 373, 149, 382, 149, 371, 
200, 149, 384, 150, 375, 149, 369, 150, 372, 150, 381, 149, 370, 
205, 149, 383, 149, 372, 149, 368, 150, 372, 150, 380, 150, 369, 
210, 149, 382, 150, 373, 149, 368, 150, 371, 150, 379, 150, 369, 
215, 149, 382, 150, 372, 150, 367, 149, 371, 149, 378, 150, 368, 
220, 149, 381, 150, 371, 149, 366, 149, 370, 149, 378, 150, 367, 
225, 149, 380, 150, 370, 150, 366, 150, 370, 150, 377, 149, 367, 
230, 149, 380, 150, 370, 149, 366, 149, 369, 149, 376, 150, 366, 
235, 149, 379, 150, 369, 149, 365, 149, 369, 150, 376, 150, 366, 
240, 149, 379, 150, 368, 149, 364, 149, 369, 150, 375, 150, 365, 
245, 149, 378, 149, 368, 149, 364, 149, 368, 149, 375, 150, 365, 
250, 149, 378, 150, 368, 150, 364, 149, 368, 150, 374, 150, 364, 
255, 149, 377, 149, 367, 149, 363, 149, 367, 149, 374, 150, 364, 
260, 149, 377, 150, 366, 149, 363, 149, 367, 150, 373, 150, 363, 
265, 149, 376, 150, 366, 149, 362, 149, 367, 150, 373, 149, 363, 
270, 149, 376, 150, 366, 149, 362, 149, 366, 150, 372, 150, 362, 
275, 149, 375, 150, 365, 150, 362, 150, 366, 149, 371, 150, 362, 
280, 149, 375, 150, 365, 149, 362, 149, 366, 149, 371, 150, 362, 
285, 149, 375, 150, 364, 150, 361, 149, 366, 149, 370, 150, 361, 
290, 149, 374, 150, 364, 150, 361, 150, 365, 149, 370, 149, 361, 
295, 149, 374, 149, 363, 149, 361, 149, 365, 150, 370, 149, 360, 
300, 149, 374, 150, 363, 150, 361, 149, 365, 149, 369, 150, 360, 
305, 149, 373, 150, 363, 149, 360, 150, 364, 150, 369, 150, 360, 
310, 149, 373, 150, 362, 149, 360, 149, 364, 150, 369, 150, 359, 
315, 149, 373, 149, 362, 149, 360, 149, 364, 150, 368, 150, 359, 
320, 149, 372, 149, 362, 149, 360, 150, 364, 150, 368, 150, 359, 
325, 150, 372, 149, 361, 149, 360, 150, 364, 150, 368, 150, 358, 
330, 149, 372, 150, 361, 150, 359, 150, 363, 150, 367, 149, 358, 
