t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 407, 150, 409, 150, 407, 149, 406, 149, 405, 150, 408, 
10, 149, 407, 150, 409, 149, 406, 150, 406, 149, 405, 150, 407, 
15, 149, 407, 149, 409, 149, 405, 149, 406, 150, 405, 150, 408, 
20, 149, 406, 150, 409, 149, 406, 149, 405, 150, 404, 150, 407, 
25, 149, 406, 150, 408, 149, 405, 149, 405, 150, 404, 150, 407, 
30, 149, 406, 150, 408, 149, 405, 150, 405, 150, 404, 150, 407, 
35, 149, 405, 149, 407, 150, 404, 149, 403, 150, 402, 149, 405, 
40, 149, 404, 150, 406, 149, 403, 149, 402, 150, 401, 149, 404, 
45, 149, 403, 150, 404, 150, 401, 149, 401, 150, 400, 150, 402, 
50, 150, 401, 150, 402, 149, 400, 149, 399, 149, 397, 149, 400, 
55, 149, 400, 150, 401, 150, 400, 149, 399, 150, 397, 150, 401, 
60, 149, 400, 150, 401, 149, 399, 150, 399, 150, 398, 150, 401, 
65, 149, 400, 150, 401, 149, 399, 150, 399, 150, 398, 150, 400, 
70, 149, 400, 150, 401, 149, 399, 149, 399, 150, 398, 150, 401, 
75, 149, 400, 149, 401, 149, 400, 149, 399, 150, 398, 149, 400, 
80, 149, 400, 150, 401, 149, 400, 149, 399, 150, 398, 150, 401, 
85, 149, 401, 150, 401, 150, 400, 149, 399, 149, 398, 150, 401, 
90, 149, 400, 149, 401, 150, 400, 149, 399, 150, 398, 150, 401, 
95, 149, 399, 150, 401, 149, 400, 149, 400, 150, 398, 150, 401, 
100, 149, 397, 150, 401, 150, 400, 149, 400, 149, 397, 150, 401, 
105, 149, 396, 150, 401, 150, 400, 149, 399, 150, 397, 150, 401, 
110, 149, 396, 150, 401, 149, 400, 149, 399, 150, 397, 150, 402, 
115, 149, 396, 149, 400, 150, 399, 150, 398, 150, 397, 150, 403, 
120, 149, 397, 149, 401, 150, 399, 150, 398, 149, 397, 150, 404, 
125, 149, 398, 150, 401, 149, 398, 149, 397, 150, 396, 150, 404, 
130, 149, 398, 149, 400, 149, 398, 150, 396, 150, 396, 150, 404, 
135, 149, 398, 150, 399, 150, 398, 149, 395, 149, 395, 150, 403, 
140, 149, 398, 150, 399, 150, 397, 149, 394, 149, 395, 150, 403, 
145, 149, 398, 150, 397, 149, 396, 150, 393, 150, 395, 149, 401, 
150, 149, 397, 150, 396, 150, 395, 149, 392, 149, 394, 150, 400, 
155, 149, 397, 149, 394, 150, 394, 149, 390, 149, 394, 150, 399, 
160, 149, 396, 149, 393, 150, 393, 149, 389, 150, 393, 150, 397, 
165, 149, 395, 150, 393, 150, 392, 149, 387, 150, 393, 150, 395, 
170, 149, 395, 150, 392, 149, 392, 149, 385, 149, 391, 150, 393, 
175, 149, 394, 150, 391, 150, 392, 149, 384, 150, 391, 150, 392, 
180, 149, 393, 150, 390, 149, 391, 149, 383, 149, 390, 149, 391, 
185, 149, 393, 150, 389, 149, 390, 149, 382, 150, 389, 150, 390, 
190, 149, 392, 150, 389, 149, 390, 149, 381, 150, 388, 150, 389, 
195, 149, 391, 150, 389, 149, 389, 149, 380, 150, 387, 149, 388, 
200, 149, 391, 150, 388, 150, 389, 149, 380, 149, 386, 150, 387, 
205, 149, 390, 149, 387, 150, 389, 149, 379, 149, 386, 150, 386, 
210, 149, 390, 149, 387, 149, 388, 149, 378, 149, 385, 150, 385, 
215, 149, 389, 150, 387, 149, 388, 150, 377, 150, 385, 150, 384, 
220, 149, 389, 150, 386, 149, 387, 149, 377, 150, 384, 150, 383, 
225, 149, 389, 150, 386, 149, 387, 149, 376, 150, 384, 149, 382, 
230, 149, 388, 150, 386, 149, 387, 149, 376, 150, 383, 150, 381, 
235, 149, 388, 150, 385, 150, 387, 149, 375, 150, 383, 149, 381, 
240, 149, 388, 150, 385, 150, 386, 149, 375, 149, 382, 150, 380, 
245, 150, 388, 150, 385, 149, 386, 149, 374, 150, 382, 150, 379, 
250, 149, 388, 150, 385, 149, 385, 149, 374, 150, 382, 150, 379, 
255, 149, 387, 149, 384, 149, 385, 149, 373, 150, 381, 150, 378, 
260, 149, 387, 150, 384, 149, 385, 149, 373, 150, 381, 150, 378, 
265, 149, 387, 149, 383, 149, 384, 149, 373, 149, 380, 150, 377, 
270, 149, 387, 150, 383, 150, 385, 149, 372, 150, 380, 149, 376, 
275, 149, 386, 150, 383, 150, 384, 150, 372, 150, 380, 149, 376, 
280, 149, 386, 150, 383, 149, 383, 150, 372, 150, 379, 150, 375, 
285, 149, 386, 150, 382, 150, 383, 150, 372, 150, 379, 150, 375, 
290, 149, 386, 150, 382, 149, 383, 149, 371, 149, 378, 149, 374, 
295, 149, 386, 150, 382, 149, 382, 150, 371, 150, 378, 150, 373, 
300, 149, 386, 150, 382, 149, 382, 149, 370, 150, 377, 149, 373, 
305, 149, 386, 149, 381, 150, 382, 150, 370, 150, 377, 150, 372, 
310, 149, 385, 150, 381, 149, 381, 149, 370, 149, 377, 150, 372, 
315, 149, 385, 150, 381, 149, 380, 149, 370, 149, 376, 149, 371, 
320, 149, 385, 150, 381, 149, 381, 150, 370, 149, 376, 150, 370, 
325, 149, 385, 150, 380, 150, 381, 149, 369, 149, 376, 150, 370, 
330, 149, 384, 150, 380, 149, 379, 150, 369, 149, 375, 150, 369, 
