t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 398, 150, 402, 150, 402, 150, 402, 149, 397, 150, 409, 
10, 149, 398, 149, 402, 150, 401, 149, 402, 149, 398, 150, 409, 
15, 149, 398, 149, 402, 149, 401, 149, 402, 150, 397, 149, 409, 
20, 149, 398, 150, 402, 149, 401, 149, 401, 150, 397, 149, 408, 
25, 149, 398, 150, 401, 149, 401, 149, 401, 149, 397, 150, 409, 
30, 149, 398, 150, 401, 149, 400, 149, 401, 150, 397, 150, 408, 
35, 149, 397, 150, 400, 149, 400, 149, 401, 150, 396, 150, 408, 
40, 149, 396, 150, 398, 150, 399, 149, 399, 150, 394, 149, 406, 
45, 149, 395, 150, 396, 149, 398, 149, 400, 149, 394, 149, 405, 
50, 149, 394, 150, 393, 150, 399, 149, 397, 150, 392, 149, 405, 
55, 149, 393, 150, 391, 149, 397, 150, 394, 149, 391, 150, 404, 
60, 149, 394, 150, 390, 149, 398, 149, 394, 150, 391, 150, 403, 
65, 149, 395, 150, 391, 150, 397, 149, 394, 149, 391, 150, 403, 
70, 149, 394, 150, 391, 149, 396, 149, 395, 150, 391, 149, 404, 
75, 149, 394, 150, 391, 150, 397, 150, 395, 150, 391, 150, 405, 
80, 149, 394, 150, 391, 150, 397, 149, 396, 149, 390, 150, 406, 
85, 149, 394, 150, 391, 150, 396, 149, 396, 150, 391, 149, 406, 
90, 149, 394, 149, 391, 149, 396, 149, 397, 149, 391, 150, 406, 
95, 149, 393, 149, 390, 150, 396, 149, 397, 150, 391, 149, 406, 
100, 149, 393, 149, 390, 150, 395, 149, 397, 149, 391, 150, 406, 
105, 149, 394, 150, 390, 150, 395, 149, 397, 150, 391, 149, 405, 
110, 149, 395, 149, 389, 149, 395, 149, 397, 150, 391, 149, 405, 
115, 149, 395, 149, 390, 149, 394, 150, 396, 150, 391, 149, 404, 
120, 149, 395, 150, 391, 150, 394, 149, 396, 149, 390, 150, 403, 
125, 149, 394, 149, 390, 150, 393, 149, 395, 149, 390, 150, 403, 
130, 149, 394, 150, 391, 149, 392, 149, 394, 150, 390, 149, 402, 
135, 149, 392, 150, 391, 150, 392, 149, 394, 149, 389, 150, 402, 
140, 149, 391, 150, 390, 149, 391, 149, 393, 150, 389, 149, 401, 
145, 149, 390, 150, 390, 149, 389, 149, 392, 149, 388, 150, 400, 
150, 149, 389, 150, 389, 150, 389, 150, 391, 150, 387, 150, 399, 
155, 149, 389, 150, 389, 150, 389, 150, 389, 149, 385, 150, 398, 
160, 149, 388, 150, 388, 149, 387, 149, 388, 150, 384, 150, 397, 
165, 149, 388, 150, 387, 149, 386, 149, 388, 149, 383, 150, 397, 
170, 149, 387, 149, 386, 149, 386, 149, 387, 149, 383, 149, 396, 
175, 149, 387, 150, 386, 150, 385, 149, 386, 150, 382, 150, 395, 
180, 149, 386, 150, 385, 150, 385, 149, 386, 150, 381, 150, 395, 
185, 150, 386, 150, 384, 149, 384, 149, 385, 150, 381, 150, 394, 
190, 149, 386, 150, 384, 149, 384, 149, 385, 149, 381, 149, 393, 
195, 149, 385, 149, 384, 150, 384, 150, 384, 149, 380, 150, 393, 
200, 149, 385, 150, 383, 150, 383, 149, 384, 150, 380, 150, 392, 
205, 149, 385, 150, 383, 149, 383, 149, 383, 150, 380, 150, 391, 
210, 149, 384, 150, 382, 149, 383, 149, 383, 149, 379, 150, 391, 
215, 149, 384, 150, 382, 149, 382, 150, 383, 150, 379, 149, 390, 
220, 149, 384, 150, 382, 150, 383, 149, 383, 150, 379, 149, 390, 
225, 149, 384, 150, 382, 149, 382, 150, 383, 149, 379, 150, 390, 
230, 149, 383, 150, 381, 150, 382, 149, 382, 150, 379, 150, 389, 
235, 149, 383, 150, 381, 150, 382, 149, 382, 150, 378, 149, 388, 
240, 149, 383, 149, 380, 149, 382, 150, 382, 150, 378, 150, 388, 
245, 149, 383, 150, 381, 149, 382, 150, 381, 149, 377, 150, 387, 
250, 149, 383, 149, 380, 149, 382, 150, 381, 150, 377, 150, 387, 
255, 149, 382, 150, 380, 149, 382, 149, 381, 150, 377, 150, 386, 
260, 149, 382, 150, 380, 150, 382, 149, 380, 150, 377, 150, 386, 
265, 149, 382, 149, 379, 149, 382, 150, 380, 149, 377, 150, 386, 
270, 149, 382, 150, 379, 150, 382, 149, 380, 150, 377, 150, 385, 
275, 149, 382, 150, 379, 150, 382, 149, 380, 150, 376, 150, 385, 
280, 149, 382, 149, 379, 149, 382, 149, 380, 149, 376, 149, 384, 
285, 149, 382, 150, 379, 149, 382, 149, 379, 150, 376, 149, 384, 
290, 149, 382, 150, 379, 150, 382, 149, 379, 149, 376, 150, 383, 
295, 149, 382, 150, 378, 149, 381, 150, 379, 150, 376, 150, 383, 
300, 149, 382, 150, 378, 150, 382, 149, 379, 150, 376, 150, 382, 
305, 149, 381, 150, 378, 150, 382, 150, 379, 149, 375, 150, 382, 
310, 149, 381, 150, 378, 149, 381, 149, 379, 149, 375, 149, 382, 
315, 149, 381, 150, 378, 149, 381, 149, 378, 150, 375, 150, 381, 
320, 149, 381, 150, 378, 150, 381, 149, 378, 149, 375, 150, 381, 
325, 149, 381, 150, 377, 150, 381, 149, 378, 149, 375, 149, 381, 
330, 149, 381, 150, 377, 150, 381, 150, 378, 149, 375, 150, 380, 
