t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 384, 150, 397, 150, 423, 150, 355, 150, 386, 149, 391, 
10, 150, 389, 150, 401, 150, 426, 150, 357, 149, 387, 149, 393, 
15, 150, 392, 150, 400, 149, 428, 150, 359, 150, 389, 149, 392, 
20, 150, 392, 150, 399, 149, 429, 150, 357, 150, 390, 149, 392, 
25, 150, 393, 150, 402, 149, 430, 149, 358, 149, 389, 149, 392, 
30, 150, 394, 149, 404, 150, 430, 150, 361, 149, 390, 149, 394, 
35, 150, 393, 150, 403, 150, 431, 150, 360, 150, 390, 150, 392, 
40, 150, 397, 150, 404, 149, 431, 150, 360, 150, 391, 149, 393, 
45, 150, 392, 150, 405, 150, 431, 150, 361, 150, 389, 150, 393, 
50, 149, 388, 150, 396, 150, 427, 150, 353, 150, 387, 150, 386, 
55, 150, 386, 150, 394, 149, 422, 149, 350, 149, 383, 149, 386, 
60, 150, 381, 150, 389, 150, 419, 150, 350, 150, 382, 150, 382, 
65, 150, 371, 150, 383, 150, 411, 150, 342, 150, 375, 149, 377, 
70, 150, 370, 150, 381, 150, 408, 150, 339, 150, 372, 149, 374, 
75, 150, 367, 150, 377, 150, 403, 149, 338, 150, 369, 150, 368, 
80, 150, 366, 150, 374, 149, 401, 150, 334, 150, 369, 150, 368, 
85, 150, 365, 150, 374, 149, 400, 150, 334, 150, 367, 149, 366, 
90, 150, 364, 149, 371, 150, 399, 149, 335, 150, 369, 149, 367, 
95, 150, 362, 150, 372, 150, 399, 149, 332, 150, 367, 150, 368, 
100, 150, 363, 150, 368, 149, 397, 149, 330, 150, 367, 149, 364, 
105, 150, 363, 150, 371, 150, 395, 150, 330, 150, 367, 149, 366, 
110, 150, 359, 150, 370, 150, 395, 150, 328, 150, 365, 150, 363, 
115, 150, 360, 150, 371, 150, 393, 150, 329, 150, 365, 149, 363, 
120, 150, 357, 150, 368, 150, 394, 150, 330, 150, 366, 150, 363, 
125, 150, 360, 150, 369, 150, 392, 149, 327, 150, 367, 149, 360, 
130, 150, 359, 150, 369, 150, 392, 150, 329, 150, 364, 149, 361, 
135, 150, 357, 150, 366, 150, 391, 150, 331, 149, 365, 150, 362, 
140, 150, 353, 150, 368, 150, 391, 150, 328, 150, 367, 149, 361, 
145, 150, 359, 150, 368, 149, 391, 150, 327, 150, 366, 149, 362, 
150, 150, 359, 150, 368, 150, 392, 149, 330, 150, 365, 150, 360, 
155, 150, 356, 149, 365, 150, 391, 150, 331, 149, 365, 149, 360, 
160, 150, 353, 150, 367, 150, 390, 150, 329, 150, 363, 149, 362, 
165, 150, 354, 150, 369, 150, 390, 149, 328, 150, 363, 149, 360, 
170, 149, 352, 150, 368, 150, 390, 150, 328, 150, 363, 150, 362, 
175, 150, 353, 150, 366, 150, 389, 150, 330, 150, 363, 149, 359, 
180, 150, 355, 150, 366, 150, 389, 150, 330, 150, 363, 150, 362, 
185, 150, 353, 150, 365, 149, 389, 150, 327, 150, 363, 150, 360, 
190, 150, 350, 150, 368, 149, 388, 150, 329, 149, 364, 149, 362, 
195, 150, 352, 150, 365, 150, 389, 149, 329, 150, 364, 149, 362, 
200, 150, 354, 150, 367, 150, 389, 149, 326, 150, 363, 150, 362, 
205, 150, 353, 150, 368, 149, 388, 150, 326, 150, 364, 150, 362, 
210, 150, 352, 150, 368, 150, 388, 150, 329, 150, 363, 150, 363, 
215, 150, 349, 150, 368, 150, 390, 150, 329, 150, 364, 149, 364, 
220, 150, 350, 150, 369, 150, 388, 149, 327, 150, 363, 150, 362, 
225, 150, 353, 150, 365, 149, 387, 149, 327, 150, 363, 150, 361, 
230, 150, 354, 149, 365, 150, 388, 150, 326, 150, 362, 150, 365, 
235, 150, 350, 150, 366, 150, 386, 149, 328, 150, 362, 150, 363, 
240, 150, 353, 149, 365, 150, 388, 150, 328, 150, 361, 149, 361, 
245, 150, 351, 150, 363, 150, 385, 150, 330, 152, 367, 150, 364, 
250, 150, 353, 150, 363, 150, 386, 150, 330, 149, 361, 149, 364, 
255, 150, 351, 150, 365, 150, 385, 150, 327, 150, 360, 149, 360, 
260, 150, 349, 149, 363, 150, 383, 150, 326, 150, 359, 150, 364, 
265, 150, 352, 150, 362, 150, 383, 149, 326, 149, 356, 150, 360, 
270, 150, 347, 150, 363, 149, 382, 149, 327, 150, 360, 149, 363, 
275, 150, 350, 149, 360, 149, 381, 150, 326, 150, 359, 150, 362, 
280, 150, 350, 150, 361, 150, 381, 149, 326, 150, 358, 149, 360, 
285, 150, 349, 150, 360, 150, 380, 149, 325, 150, 357, 149, 360, 
290, 150, 350, 150, 356, 150, 378, 150, 322, 150, 359, 150, 361, 
295, 150, 350, 150, 359, 150, 377, 149, 325, 150, 357, 150, 362, 
300, 150, 347, 150, 358, 150, 376, 150, 325, 150, 358, 150, 361, 
305, 150, 349, 150, 358, 150, 375, 150, 323, 150, 355, 149, 360, 
310, 150, 349, 150, 357, 150, 375, 150, 323, 150, 355, 150, 360, 
315, 150, 349, 150, 355, 150, 375, 150, 323, 150, 355, 149, 358, 
320, 150, 346, 150, 354, 150, 373, 150, 320, 150, 356, 149, 360, 
325, 150, 346, 150, 353, 150, 373, 150, 323, 150, 356, 151, 362, 
330, 150, 346, 150, 354, 150, 372, 150, 321, 150, 354, 149, 357, 
