t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 380, 150, 389, 150, 423, 149, 353, 150, 384, 149, 385, 
10, 150, 386, 150, 394, 150, 424, 150, 352, 150, 387, 149, 382, 
15, 150, 387, 150, 391, 149, 427, 150, 355, 150, 386, 150, 387, 
20, 150, 392, 149, 396, 150, 427, 150, 355, 150, 386, 150, 385, 
25, 149, 391, 150, 395, 150, 430, 150, 358, 150, 390, 149, 384, 
30, 150, 394, 150, 395, 150, 429, 150, 356, 150, 388, 150, 388, 
35, 150, 390, 150, 395, 150, 428, 150, 360, 150, 388, 150, 386, 
40, 150, 393, 150, 394, 150, 432, 150, 360, 150, 387, 149, 385, 
45, 150, 396, 150, 397, 148, 427, 150, 359, 150, 388, 149, 386, 
50, 150, 394, 150, 399, 150, 431, 150, 358, 150, 387, 150, 383, 
55, 150, 395, 150, 396, 150, 431, 150, 356, 150, 390, 149, 385, 
60, 150, 394, 150, 397, 150, 431, 150, 357, 150, 389, 150, 383, 
65, 149, 393, 150, 399, 150, 430, 150, 357, 150, 387, 150, 381, 
70, 150, 391, 150, 400, 150, 430, 149, 355, 150, 387, 150, 379, 
75, 150, 391, 150, 394, 150, 430, 150, 357, 150, 387, 149, 378, 
80, 150, 388, 150, 392, 150, 427, 150, 356, 150, 385, 149, 378, 
85, 150, 385, 150, 394, 150, 426, 150, 352, 150, 387, 150, 380, 
90, 150, 382, 149, 391, 150, 424, 150, 352, 150, 384, 149, 376, 
95, 150, 382, 150, 390, 150, 427, 150, 352, 150, 384, 150, 377, 
100, 150, 376, 150, 389, 150, 421, 150, 352, 150, 382, 150, 377, 
105, 150, 378, 150, 385, 150, 421, 150, 350, 149, 381, 150, 376, 
110, 150, 375, 150, 386, 150, 420, 150, 346, 150, 379, 150, 373, 
115, 150, 376, 150, 384, 150, 418, 150, 346, 150, 378, 150, 374, 
120, 150, 374, 150, 383, 150, 417, 150, 349, 150, 378, 149, 370, 
125, 150, 374, 150, 382, 150, 415, 150, 345, 150, 376, 149, 371, 
130, 150, 375, 150, 383, 150, 415, 150, 345, 150, 377, 150, 372, 
135, 150, 375, 150, 381, 150, 415, 150, 342, 150, 375, 149, 368, 
140, 150, 372, 150, 381, 150, 414, 150, 344, 150, 375, 150, 370, 
145, 150, 372, 150, 380, 150, 414, 150, 344, 150, 374, 150, 370, 
150, 150, 375, 150, 378, 150, 415, 150, 345, 150, 373, 149, 366, 
155, 150, 375, 150, 379, 150, 415, 150, 345, 150, 373, 149, 366, 
160, 150, 376, 150, 378, 152, 422, 150, 343, 150, 372, 150, 366, 
165, 150, 377, 150, 379, 150, 413, 150, 342, 150, 374, 150, 368, 
170, 150, 375, 150, 380, 150, 413, 150, 345, 150, 373, 150, 368, 
175, 150, 377, 150, 382, 150, 413, 150, 342, 150, 371, 150, 365, 
180, 150, 376, 150, 377, 150, 412, 150, 343, 150, 372, 150, 365, 
185, 150, 375, 150, 383, 150, 411, 150, 342, 150, 371, 150, 365, 
190, 149, 377, 150, 379, 149, 411, 150, 342, 150, 372, 150, 368, 
195, 150, 377, 150, 379, 150, 412, 150, 342, 150, 371, 150, 365, 
200, 150, 378, 150, 379, 150, 411, 150, 343, 150, 372, 149, 365, 
205, 150, 374, 150, 378, 150, 410, 150, 339, 150, 372, 150, 367, 
210, 150, 377, 150, 378, 149, 411, 150, 342, 150, 372, 149, 367, 
215, 150, 376, 150, 376, 150, 411, 150, 340, 150, 371, 150, 364, 
220, 150, 376, 150, 377, 149, 410, 150, 338, 150, 372, 149, 365, 
225, 150, 375, 150, 375, 150, 410, 150, 340, 150, 371, 150, 365, 
230, 150, 375, 150, 377, 150, 410, 149, 339, 150, 371, 150, 365, 
235, 150, 372, 150, 375, 150, 410, 150, 340, 150, 371, 150, 366, 
240, 150, 375, 150, 372, 150, 411, 150, 339, 150, 372, 149, 364, 
245, 150, 373, 150, 374, 150, 411, 150, 338, 150, 371, 150, 366, 
250, 150, 376, 150, 373, 148, 406, 150, 336, 150, 371, 149, 364, 
255, 150, 375, 150, 373, 150, 409, 150, 335, 150, 372, 149, 364, 
260, 150, 376, 150, 371, 150, 408, 150, 334, 150, 372, 149, 367, 
265, 150, 374, 150, 372, 150, 408, 150, 335, 150, 371, 149, 366, 
270, 150, 375, 150, 371, 150, 406, 150, 337, 150, 371, 149, 366, 
275, 150, 370, 150, 369, 150, 405, 150, 337, 150, 371, 149, 364, 
280, 150, 373, 150, 368, 150, 405, 150, 335, 150, 371, 149, 364, 
285, 150, 371, 150, 369, 150, 405, 150, 333, 150, 369, 149, 363, 
290, 150, 373, 150, 364, 150, 404, 150, 334, 150, 368, 149, 364, 
295, 150, 370, 150, 364, 149, 403, 150, 333, 149, 368, 149, 363, 
300, 150, 372, 150, 362, 150, 403, 150, 333, 150, 368, 149, 362, 
305, 150, 372, 150, 362, 150, 402, 150, 333, 150, 370, 149, 364, 
310, 150, 371, 150, 362, 150, 402, 150, 330, 150, 370, 149, 361, 
315, 150, 372, 150, 360, 150, 402, 150, 328, 150, 367, 149, 363, 
320, 150, 369, 150, 361, 150, 401, 150, 329, 150, 369, 150, 361, 
325, 150, 368, 150, 360, 150, 402, 150, 327, 150, 367, 149, 361, 
330, 150, 364, 150, 359, 149, 400, 150, 328, 150, 368, 149, 362, 
