t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 402, 150, 414, 150, 447, 150, 373, 150, 411, 150, 413, 
10, 150, 409, 150, 414, 150, 450, 150, 371, 150, 412, 149, 412, 
15, 150, 412, 150, 418, 149, 450, 149, 373, 150, 412, 150, 416, 
20, 150, 411, 150, 418, 150, 452, 150, 376, 150, 412, 150, 413, 
25, 150, 411, 150, 421, 150, 454, 150, 375, 150, 412, 150, 413, 
30, 150, 413, 150, 419, 150, 451, 150, 376, 150, 413, 149, 413, 
35, 150, 415, 150, 422, 150, 452, 150, 376, 150, 413, 149, 415, 
40, 150, 414, 150, 422, 150, 454, 150, 381, 150, 416, 149, 413, 
45, 150, 408, 149, 418, 150, 456, 150, 377, 150, 415, 149, 411, 
50, 150, 409, 150, 416, 150, 448, 150, 373, 150, 408, 149, 407, 
55, 150, 403, 150, 413, 150, 446, 150, 372, 150, 408, 150, 409, 
60, 149, 403, 150, 412, 150, 442, 150, 368, 150, 407, 150, 402, 
65, 150, 399, 149, 406, 150, 441, 150, 368, 150, 406, 150, 401, 
70, 150, 400, 150, 406, 150, 438, 150, 364, 150, 404, 149, 398, 
75, 150, 400, 150, 404, 150, 437, 149, 362, 150, 402, 149, 396, 
80, 150, 397, 150, 407, 150, 435, 150, 363, 150, 400, 150, 395, 
85, 150, 397, 150, 404, 150, 436, 150, 363, 150, 399, 150, 393, 
90, 150, 396, 150, 402, 150, 434, 150, 359, 150, 399, 150, 393, 
95, 150, 394, 150, 403, 150, 434, 150, 359, 150, 395, 150, 393, 
100, 150, 393, 150, 401, 150, 431, 150, 357, 150, 397, 149, 393, 
105, 150, 390, 150, 401, 150, 432, 150, 358, 150, 394, 149, 395, 
110, 150, 393, 150, 399, 150, 430, 150, 356, 150, 393, 150, 394, 
115, 150, 391, 150, 400, 149, 430, 149, 356, 150, 393, 150, 393, 
120, 150, 389, 150, 400, 149, 430, 150, 356, 150, 394, 149, 395, 
125, 150, 391, 150, 398, 150, 429, 150, 356, 150, 392, 149, 398, 
130, 150, 389, 150, 400, 150, 427, 150, 355, 150, 393, 149, 399, 
135, 150, 389, 150, 402, 150, 427, 150, 357, 150, 392, 148, 395, 
140, 150, 391, 150, 400, 149, 425, 150, 357, 150, 394, 150, 399, 
145, 150, 389, 150, 402, 149, 427, 150, 359, 150, 392, 150, 401, 
150, 150, 389, 150, 401, 150, 428, 150, 359, 150, 393, 149, 401, 
155, 150, 392, 150, 398, 150, 427, 150, 362, 150, 395, 150, 400, 
160, 150, 392, 149, 397, 151, 431, 150, 359, 150, 394, 150, 401, 
165, 150, 389, 150, 400, 149, 428, 150, 362, 149, 392, 149, 400, 
170, 150, 390, 150, 399, 150, 426, 150, 363, 147, 387, 149, 401, 
175, 150, 391, 150, 400, 150, 428, 150, 362, 150, 398, 149, 402, 
180, 150, 391, 150, 398, 150, 426, 150, 361, 150, 395, 149, 404, 
185, 150, 391, 150, 397, 150, 427, 150, 361, 150, 395, 149, 403, 
190, 150, 390, 150, 395, 149, 426, 150, 366, 150, 398, 150, 403, 
195, 150, 389, 150, 394, 150, 425, 150, 362, 150, 394, 149, 403, 
200, 150, 388, 150, 398, 150, 427, 150, 362, 150, 393, 149, 405, 
205, 150, 387, 150, 397, 150, 426, 150, 364, 150, 392, 149, 404, 
210, 150, 388, 150, 394, 150, 426, 150, 364, 150, 391, 150, 404, 
215, 150, 388, 150, 394, 150, 426, 150, 361, 150, 394, 149, 403, 
220, 150, 388, 150, 392, 150, 428, 150, 363, 150, 392, 150, 404, 
225, 150, 387, 150, 393, 149, 425, 150, 362, 150, 392, 150, 406, 
230, 150, 388, 150, 392, 149, 427, 150, 360, 150, 391, 149, 405, 
235, 150, 388, 150, 392, 150, 426, 150, 361, 150, 392, 149, 404, 
240, 150, 387, 150, 391, 150, 428, 150, 364, 150, 392, 149, 405, 
245, 150, 387, 150, 390, 150, 427, 150, 359, 150, 391, 150, 405, 
250, 150, 387, 150, 390, 148, 424, 150, 362, 150, 391, 149, 403, 
255, 150, 386, 150, 390, 149, 425, 150, 360, 150, 389, 149, 402, 
260, 150, 385, 150, 391, 150, 426, 150, 360, 149, 387, 149, 404, 
265, 150, 386, 150, 387, 150, 426, 150, 362, 150, 390, 150, 403, 
270, 150, 385, 150, 387, 150, 425, 149, 357, 150, 388, 149, 401, 
275, 150, 383, 150, 389, 150, 425, 150, 358, 150, 388, 150, 402, 
280, 150, 383, 150, 385, 150, 425, 150, 358, 149, 386, 150, 400, 
285, 150, 383, 150, 385, 150, 424, 150, 358, 150, 386, 149, 400, 
290, 150, 381, 150, 385, 150, 424, 150, 359, 150, 388, 149, 402, 
295, 150, 381, 150, 385, 149, 425, 150, 358, 150, 386, 149, 401, 
300, 150, 378, 150, 384, 150, 426, 150, 358, 150, 386, 150, 402, 
305, 150, 376, 150, 383, 150, 425, 150, 357, 150, 384, 150, 401, 
310, 150, 375, 150, 381, 149, 424, 150, 358, 150, 387, 150, 401, 
315, 150, 372, 150, 383, 150, 425, 150, 356, 150, 384, 149, 399, 
320, 150, 371, 150, 380, 149, 425, 150, 357, 150, 384, 149, 401, 
325, 150, 367, 150, 381, 149, 425, 150, 356, 150, 384, 149, 398, 
330, 150, 366, 150, 380, 150, 424, 150, 358, 150, 384, 149, 399, 
