t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 453, 150, 470, 150, 512, 150, 428, 150, 468, 149, 464, 
10, 150, 461, 150, 475, 150, 516, 150, 429, 150, 471, 150, 465, 
15, 150, 460, 149, 478, 150, 519, 150, 430, 150, 474, 149, 465, 
20, 150, 464, 150, 483, 150, 519, 150, 427, 150, 473, 150, 466, 
25, 150, 467, 150, 482, 150, 521, 150, 432, 150, 475, 150, 467, 
30, 150, 467, 150, 486, 150, 522, 150, 432, 150, 475, 150, 469, 
35, 149, 469, 149, 483, 150, 521, 150, 434, 150, 473, 149, 464, 
40, 150, 468, 150, 485, 150, 523, 149, 430, 150, 473, 150, 461, 
45, 150, 466, 150, 482, 150, 522, 150, 432, 150, 472, 149, 463, 
50, 150, 465, 150, 479, 148, 514, 150, 431, 150, 471, 149, 458, 
55, 150, 463, 150, 478, 149, 519, 150, 430, 150, 468, 150, 456, 
60, 150, 464, 150, 480, 150, 515, 150, 426, 150, 466, 149, 453, 
65, 150, 463, 150, 479, 149, 513, 150, 423, 150, 466, 150, 452, 
70, 150, 459, 150, 480, 150, 513, 150, 419, 150, 465, 149, 450, 
75, 150, 457, 150, 479, 150, 511, 150, 421, 150, 462, 150, 448, 
80, 150, 459, 150, 479, 150, 510, 150, 422, 150, 459, 150, 450, 
85, 150, 457, 150, 479, 150, 510, 150, 424, 150, 462, 149, 448, 
90, 150, 454, 150, 479, 149, 509, 150, 422, 150, 459, 150, 448, 
95, 150, 457, 149, 474, 149, 509, 150, 421, 150, 459, 149, 446, 
100, 149, 453, 150, 476, 150, 508, 150, 420, 150, 457, 149, 445, 
105, 150, 456, 150, 477, 150, 508, 150, 420, 150, 457, 150, 446, 
110, 150, 452, 150, 472, 150, 506, 150, 420, 150, 454, 150, 446, 
115, 150, 454, 150, 475, 150, 507, 150, 417, 150, 457, 150, 449, 
120, 150, 451, 150, 473, 150, 506, 150, 420, 150, 455, 149, 448, 
125, 150, 453, 150, 475, 149, 504, 150, 418, 150, 456, 149, 446, 
130, 150, 452, 150, 475, 150, 505, 150, 417, 150, 454, 150, 446, 
135, 150, 455, 150, 473, 150, 505, 150, 416, 150, 452, 149, 449, 
140, 150, 454, 150, 477, 150, 504, 149, 415, 150, 453, 149, 444, 
145, 150, 451, 150, 471, 150, 506, 149, 418, 150, 453, 149, 445, 
150, 150, 449, 150, 475, 149, 505, 150, 417, 150, 456, 151, 451, 
155, 150, 454, 150, 475, 150, 506, 150, 417, 150, 455, 149, 446, 
160, 150, 456, 150, 475, 150, 505, 150, 415, 150, 454, 150, 447, 
165, 150, 453, 150, 474, 149, 503, 150, 412, 150, 453, 149, 444, 
170, 150, 452, 150, 474, 149, 504, 149, 412, 150, 453, 150, 441, 
175, 150, 453, 150, 473, 150, 504, 150, 412, 150, 454, 149, 440, 
180, 150, 452, 150, 473, 150, 504, 149, 409, 149, 452, 149, 443, 
185, 150, 452, 149, 472, 149, 503, 150, 409, 150, 453, 149, 441, 
190, 150, 453, 149, 472, 150, 503, 150, 408, 150, 452, 150, 440, 
195, 150, 450, 150, 474, 150, 502, 149, 409, 150, 453, 150, 441, 
200, 149, 449, 149, 470, 150, 502, 150, 408, 150, 454, 150, 440, 
205, 150, 451, 150, 470, 150, 501, 150, 408, 150, 454, 150, 442, 
210, 150, 449, 150, 467, 150, 501, 150, 410, 150, 454, 149, 440, 
215, 150, 450, 150, 468, 150, 501, 150, 402, 150, 452, 150, 442, 
220, 150, 448, 150, 470, 150, 500, 149, 404, 150, 454, 150, 443, 
225, 149, 447, 150, 470, 149, 497, 149, 402, 150, 452, 150, 442, 
230, 150, 445, 150, 467, 150, 497, 150, 402, 150, 453, 150, 441, 
235, 150, 450, 150, 467, 150, 499, 150, 404, 150, 451, 149, 443, 
240, 150, 448, 150, 467, 150, 498, 150, 399, 150, 451, 150, 445, 
245, 150, 447, 150, 465, 148, 496, 150, 400, 150, 453, 150, 440, 
250, 150, 447, 150, 462, 150, 496, 149, 399, 150, 451, 149, 439, 
255, 150, 446, 150, 461, 150, 496, 150, 401, 150, 453, 149, 439, 
260, 150, 447, 149, 462, 150, 497, 149, 399, 150, 453, 150, 441, 
265, 150, 445, 150, 463, 148, 492, 149, 399, 150, 454, 150, 439, 
270, 150, 446, 150, 459, 150, 494, 150, 399, 150, 452, 149, 439, 
275, 150, 446, 150, 459, 150, 495, 150, 395, 149, 448, 149, 438, 
280, 149, 445, 149, 460, 150, 494, 149, 395, 151, 454, 149, 437, 
285, 150, 446, 150, 458, 150, 493, 150, 390, 150, 450, 149, 437, 
290, 150, 444, 150, 457, 150, 492, 150, 395, 150, 450, 149, 435, 
295, 150, 443, 150, 461, 150, 489, 150, 392, 150, 452, 150, 439, 
300, 150, 443, 150, 461, 150, 489, 150, 393, 150, 450, 149, 435, 
305, 150, 438, 150, 454, 148, 482, 150, 393, 150, 450, 149, 436, 
310, 150, 440, 150, 461, 150, 486, 150, 391, 150, 450, 149, 434, 
315, 150, 438, 150, 459, 150, 485, 150, 389, 150, 449, 149, 435, 
320, 150, 433, 150, 453, 150, 483, 150, 388, 150, 448, 149, 433, 
325, 150, 435, 150, 456, 150, 483, 150, 389, 150, 448, 150, 432, 
330, 150, 434, 150, 458, 150, 481, 149, 388, 150, 448, 150, 432, 
