t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 386, 150, 400, 150, 437, 150, 362, 150, 400, 150, 401, 
10, 150, 394, 150, 400, 150, 441, 150, 370, 151, 409, 149, 401, 
15, 150, 393, 150, 403, 150, 442, 150, 370, 150, 403, 149, 399, 
20, 150, 396, 149, 405, 148, 438, 150, 369, 150, 407, 150, 402, 
25, 150, 395, 150, 402, 150, 443, 150, 374, 150, 405, 149, 401, 
30, 150, 396, 150, 407, 150, 442, 150, 373, 150, 408, 150, 402, 
35, 150, 400, 150, 404, 150, 444, 150, 370, 150, 405, 149, 402, 
40, 150, 396, 150, 407, 150, 444, 149, 372, 150, 405, 150, 402, 
45, 150, 394, 150, 399, 150, 438, 150, 370, 150, 399, 149, 397, 
50, 150, 395, 149, 401, 150, 436, 150, 367, 150, 399, 149, 393, 
55, 150, 388, 150, 398, 150, 433, 150, 367, 150, 399, 150, 391, 
60, 150, 383, 150, 393, 150, 428, 150, 361, 150, 392, 149, 384, 
65, 150, 379, 150, 388, 149, 424, 150, 359, 150, 388, 149, 381, 
70, 150, 377, 150, 389, 150, 422, 150, 350, 150, 386, 150, 379, 
75, 150, 377, 150, 388, 150, 418, 150, 348, 150, 382, 149, 378, 
80, 150, 372, 150, 384, 150, 417, 150, 351, 150, 383, 150, 375, 
85, 149, 372, 150, 383, 150, 416, 150, 347, 150, 382, 149, 374, 
90, 150, 371, 150, 384, 150, 415, 150, 346, 150, 381, 149, 371, 
95, 150, 374, 150, 382, 149, 413, 150, 346, 150, 379, 149, 373, 
100, 150, 370, 150, 381, 150, 413, 150, 347, 150, 378, 149, 374, 
105, 150, 373, 150, 382, 150, 411, 150, 342, 150, 376, 150, 374, 
110, 150, 369, 150, 380, 150, 411, 150, 342, 150, 375, 149, 370, 
115, 150, 368, 150, 379, 150, 410, 150, 346, 150, 376, 150, 372, 
120, 150, 368, 150, 378, 149, 410, 150, 344, 151, 378, 149, 370, 
125, 150, 367, 150, 377, 150, 410, 150, 347, 148, 371, 150, 372, 
130, 150, 366, 150, 379, 150, 409, 149, 347, 150, 373, 149, 373, 
135, 150, 367, 150, 379, 150, 410, 150, 347, 150, 373, 150, 371, 
140, 150, 366, 150, 377, 150, 408, 150, 341, 150, 373, 149, 367, 
145, 150, 371, 150, 377, 148, 407, 150, 346, 150, 372, 150, 373, 
150, 150, 366, 150, 379, 150, 408, 150, 348, 150, 374, 150, 373, 
155, 150, 366, 150, 379, 150, 408, 150, 344, 150, 372, 149, 372, 
160, 150, 366, 150, 379, 150, 408, 149, 349, 150, 374, 150, 374, 
165, 150, 368, 150, 378, 150, 408, 150, 349, 150, 374, 149, 373, 
170, 149, 367, 150, 379, 150, 406, 150, 344, 149, 373, 149, 370, 
175, 150, 366, 150, 380, 150, 407, 150, 350, 150, 374, 149, 374, 
180, 150, 365, 150, 379, 150, 408, 150, 350, 150, 374, 149, 371, 
185, 150, 365, 150, 381, 150, 408, 150, 349, 151, 378, 150, 373, 
190, 150, 364, 150, 381, 150, 407, 150, 348, 149, 374, 149, 370, 
195, 150, 364, 150, 378, 149, 406, 149, 347, 150, 375, 150, 371, 
200, 150, 366, 150, 376, 150, 405, 150, 345, 150, 375, 150, 369, 
205, 150, 366, 150, 380, 149, 407, 150, 346, 150, 375, 150, 372, 
210, 150, 366, 150, 380, 150, 405, 149, 341, 150, 375, 149, 369, 
215, 150, 365, 150, 378, 150, 406, 150, 342, 150, 375, 149, 371, 
220, 150, 364, 150, 380, 150, 405, 150, 340, 150, 374, 150, 371, 
225, 150, 364, 150, 380, 150, 405, 149, 340, 150, 374, 150, 370, 
230, 150, 364, 150, 378, 150, 404, 150, 345, 150, 376, 149, 368, 
235, 150, 364, 150, 380, 150, 404, 150, 345, 150, 374, 150, 370, 
240, 150, 361, 150, 377, 150, 404, 150, 342, 150, 376, 149, 370, 
245, 150, 361, 150, 378, 149, 401, 150, 339, 150, 374, 149, 368, 
250, 150, 360, 149, 379, 150, 403, 150, 342, 150, 374, 150, 368, 
255, 150, 362, 150, 376, 150, 403, 150, 339, 150, 375, 150, 368, 
260, 150, 364, 150, 377, 150, 400, 150, 341, 149, 374, 150, 365, 
265, 150, 362, 150, 376, 150, 401, 150, 337, 149, 374, 150, 366, 
270, 150, 362, 150, 376, 150, 398, 150, 334, 150, 372, 149, 362, 
275, 149, 365, 150, 371, 150, 398, 150, 335, 150, 374, 149, 361, 
280, 150, 364, 150, 375, 149, 397, 150, 335, 150, 374, 150, 362, 
285, 150, 364, 150, 374, 150, 398, 150, 336, 150, 373, 150, 361, 
290, 150, 361, 150, 372, 149, 394, 150, 334, 150, 372, 149, 359, 
295, 150, 361, 150, 373, 150, 395, 150, 335, 150, 372, 149, 358, 
300, 150, 363, 150, 370, 150, 394, 150, 328, 150, 373, 150, 356, 
305, 150, 361, 150, 374, 151, 397, 150, 327, 150, 371, 149, 359, 
310, 150, 362, 150, 368, 149, 391, 150, 330, 150, 372, 149, 355, 
315, 150, 360, 150, 368, 150, 392, 150, 327, 150, 371, 149, 357, 
320, 150, 366, 150, 369, 150, 392, 150, 330, 150, 371, 150, 357, 
325, 150, 362, 150, 369, 150, 391, 150, 328, 150, 370, 149, 355, 
330, 150, 358, 149, 369, 150, 389, 150, 328, 150, 371, 149, 354, 
