t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 438, 150, 445, 150, 485, 150, 412, 149, 446, 149, 454, 
10, 150, 443, 150, 451, 150, 491, 150, 414, 150, 450, 149, 452, 
15, 150, 445, 150, 453, 150, 492, 149, 417, 150, 451, 150, 457, 
20, 150, 446, 150, 457, 147, 485, 150, 420, 150, 453, 149, 454, 
25, 150, 449, 149, 455, 150, 496, 150, 423, 149, 454, 150, 455, 
30, 150, 450, 149, 459, 150, 495, 150, 419, 150, 453, 150, 456, 
35, 150, 451, 150, 459, 150, 496, 150, 418, 150, 453, 149, 456, 
40, 150, 450, 149, 462, 150, 500, 150, 420, 151, 458, 149, 456, 
45, 150, 453, 150, 462, 150, 500, 150, 419, 150, 455, 150, 456, 
50, 150, 453, 150, 461, 149, 501, 150, 419, 150, 454, 150, 453, 
55, 150, 452, 150, 462, 150, 499, 150, 419, 150, 453, 149, 453, 
60, 150, 451, 150, 460, 149, 497, 150, 419, 150, 455, 150, 456, 
65, 150, 451, 150, 457, 150, 496, 150, 417, 150, 453, 149, 451, 
70, 150, 451, 150, 458, 150, 496, 150, 413, 150, 452, 149, 454, 
75, 150, 449, 150, 456, 149, 492, 150, 414, 150, 450, 149, 454, 
80, 150, 447, 149, 454, 151, 497, 150, 412, 150, 449, 149, 454, 
85, 150, 447, 150, 450, 150, 493, 150, 410, 150, 448, 149, 453, 
90, 150, 445, 150, 453, 150, 491, 149, 409, 150, 446, 149, 451, 
95, 150, 444, 150, 451, 149, 490, 150, 412, 150, 447, 149, 454, 
100, 150, 445, 150, 449, 150, 491, 149, 409, 150, 443, 149, 449, 
105, 150, 445, 150, 448, 150, 494, 150, 412, 150, 447, 150, 451, 
110, 150, 445, 150, 448, 150, 491, 150, 413, 150, 445, 149, 452, 
115, 150, 444, 150, 451, 150, 491, 150, 412, 150, 441, 149, 450, 
120, 150, 444, 150, 449, 149, 493, 150, 412, 150, 440, 149, 447, 
125, 150, 444, 150, 448, 150, 493, 150, 412, 150, 442, 150, 446, 
130, 150, 444, 150, 447, 150, 494, 150, 412, 150, 443, 149, 447, 
135, 150, 445, 150, 448, 150, 493, 150, 416, 149, 442, 149, 447, 
140, 150, 446, 150, 449, 150, 494, 150, 413, 149, 445, 149, 445, 
145, 150, 448, 150, 446, 150, 495, 150, 413, 150, 442, 150, 443, 
150, 150, 446, 150, 445, 150, 496, 150, 413, 150, 443, 149, 444, 
155, 150, 449, 150, 448, 150, 497, 150, 416, 150, 441, 149, 441, 
160, 150, 450, 150, 448, 150, 496, 150, 416, 150, 441, 150, 442, 
165, 150, 448, 150, 447, 149, 496, 150, 418, 149, 440, 150, 441, 
170, 150, 447, 150, 447, 149, 497, 150, 421, 150, 441, 149, 441, 
175, 150, 448, 150, 447, 150, 497, 150, 421, 150, 442, 149, 439, 
180, 150, 448, 150, 449, 150, 497, 150, 420, 150, 441, 150, 439, 
185, 150, 450, 150, 446, 150, 500, 150, 424, 150, 443, 149, 440, 
190, 150, 451, 150, 445, 150, 499, 150, 421, 150, 444, 149, 437, 
195, 150, 450, 150, 447, 150, 497, 150, 423, 150, 443, 150, 439, 
200, 150, 450, 149, 446, 149, 498, 150, 425, 150, 442, 149, 438, 
205, 150, 451, 150, 446, 150, 499, 150, 425, 150, 444, 149, 439, 
210, 150, 451, 150, 444, 150, 499, 150, 422, 150, 444, 150, 436, 
215, 150, 450, 150, 446, 150, 500, 150, 424, 150, 443, 150, 437, 
220, 150, 450, 150, 444, 150, 500, 150, 425, 150, 444, 150, 437, 
225, 150, 449, 150, 444, 150, 498, 150, 424, 150, 443, 149, 439, 
230, 150, 451, 150, 443, 150, 502, 150, 426, 150, 447, 149, 436, 
235, 150, 451, 150, 442, 150, 500, 149, 427, 150, 447, 149, 434, 
240, 150, 449, 150, 442, 150, 500, 150, 423, 150, 443, 150, 436, 
245, 150, 449, 150, 447, 150, 502, 149, 424, 150, 442, 149, 434, 
250, 150, 450, 150, 444, 150, 500, 150, 424, 150, 443, 149, 434, 
255, 150, 451, 150, 442, 150, 502, 150, 427, 150, 443, 150, 435, 
260, 150, 449, 150, 444, 150, 499, 149, 427, 150, 443, 151, 437, 
265, 150, 449, 150, 445, 150, 500, 150, 426, 150, 443, 150, 433, 
270, 150, 449, 150, 441, 150, 499, 149, 423, 150, 444, 149, 434, 
275, 150, 448, 150, 442, 150, 501, 149, 426, 150, 441, 149, 433, 
280, 150, 449, 150, 440, 150, 502, 150, 426, 150, 443, 149, 436, 
285, 149, 449, 150, 439, 150, 499, 150, 422, 150, 443, 150, 434, 
290, 150, 449, 150, 441, 149, 498, 150, 422, 150, 442, 149, 434, 
295, 150, 448, 150, 441, 149, 498, 150, 427, 150, 442, 150, 437, 
300, 150, 449, 150, 442, 150, 499, 150, 425, 150, 442, 150, 436, 
305, 150, 447, 150, 442, 150, 496, 150, 421, 150, 440, 151, 439, 
310, 150, 447, 150, 441, 150, 496, 150, 422, 150, 440, 150, 434, 
315, 150, 446, 150, 439, 150, 497, 150, 420, 150, 441, 149, 435, 
320, 150, 445, 150, 438, 149, 493, 150, 422, 150, 441, 150, 437, 
325, 150, 444, 150, 438, 150, 495, 150, 421, 150, 439, 149, 433, 
330, 150, 444, 150, 435, 150, 493, 149, 419, 149, 443, 149, 432, 
