t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 460, 150, 460, 150, 456, 149, 463, 149, 458, 149, 455, 
10, 149, 460, 150, 460, 149, 457, 149, 464, 150, 458, 150, 455, 
15, 149, 461, 150, 461, 149, 457, 150, 465, 149, 459, 149, 456, 
20, 149, 461, 150, 461, 149, 458, 150, 465, 150, 459, 150, 456, 
25, 150, 462, 150, 461, 150, 458, 149, 465, 150, 459, 149, 456, 
30, 149, 462, 150, 461, 150, 458, 149, 466, 150, 460, 150, 457, 
35, 150, 462, 150, 461, 149, 457, 149, 466, 149, 459, 150, 457, 
40, 149, 461, 150, 459, 150, 457, 149, 465, 150, 458, 150, 456, 
45, 149, 459, 150, 457, 150, 455, 150, 462, 150, 456, 149, 454, 
50, 149, 458, 150, 455, 150, 453, 149, 459, 149, 453, 149, 452, 
55, 149, 457, 150, 453, 150, 452, 149, 456, 149, 451, 150, 450, 
60, 149, 455, 150, 450, 150, 450, 150, 453, 149, 449, 150, 448, 
65, 149, 454, 150, 448, 149, 448, 150, 450, 150, 448, 150, 447, 
70, 149, 452, 150, 446, 149, 446, 149, 447, 150, 447, 150, 443, 
75, 149, 451, 150, 443, 149, 444, 150, 445, 150, 447, 150, 441, 
80, 149, 449, 150, 441, 150, 443, 150, 443, 149, 447, 150, 438, 
85, 149, 448, 150, 440, 149, 441, 149, 441, 150, 446, 149, 436, 
90, 150, 447, 150, 438, 149, 439, 149, 439, 149, 445, 150, 434, 
95, 149, 446, 150, 437, 150, 439, 150, 438, 150, 444, 150, 433, 
100, 149, 445, 150, 436, 149, 438, 149, 437, 149, 443, 149, 431, 
105, 150, 444, 150, 435, 149, 437, 150, 436, 150, 443, 149, 430, 
110, 149, 444, 150, 435, 149, 436, 150, 436, 150, 442, 149, 430, 
115, 149, 443, 150, 434, 150, 436, 149, 435, 150, 442, 149, 429, 
120, 150, 443, 150, 434, 149, 435, 149, 435, 149, 442, 150, 429, 
125, 149, 443, 150, 434, 150, 435, 150, 435, 149, 441, 150, 429, 
130, 149, 442, 149, 434, 149, 435, 149, 435, 149, 441, 150, 429, 
135, 149, 442, 150, 434, 149, 435, 149, 435, 150, 442, 150, 429, 
140, 149, 442, 150, 434, 149, 435, 150, 435, 150, 442, 149, 428, 
145, 150, 442, 150, 434, 149, 436, 150, 436, 149, 442, 149, 428, 
150, 149, 442, 150, 434, 150, 436, 149, 436, 149, 441, 150, 429, 
155, 149, 442, 150, 435, 149, 436, 149, 436, 150, 441, 150, 429, 
160, 149, 442, 150, 435, 149, 436, 149, 437, 150, 441, 150, 430, 
165, 149, 443, 150, 436, 150, 437, 150, 437, 149, 441, 150, 430, 
170, 149, 443, 150, 436, 150, 437, 149, 437, 150, 441, 150, 430, 
175, 149, 443, 150, 436, 149, 438, 150, 438, 150, 441, 149, 430, 
180, 149, 443, 150, 437, 149, 438, 149, 438, 150, 440, 150, 431, 
185, 150, 444, 150, 438, 149, 439, 150, 439, 149, 440, 150, 431, 
190, 149, 443, 150, 439, 149, 439, 150, 439, 150, 439, 150, 432, 
195, 150, 444, 150, 440, 150, 440, 150, 440, 149, 439, 149, 432, 
200, 149, 444, 150, 440, 149, 440, 149, 440, 149, 439, 150, 433, 
205, 149, 444, 150, 441, 150, 441, 149, 441, 149, 439, 150, 434, 
210, 149, 445, 150, 442, 149, 441, 149, 441, 149, 438, 150, 434, 
215, 149, 445, 150, 442, 149, 441, 149, 442, 150, 438, 150, 435, 
220, 149, 445, 150, 443, 150, 442, 150, 442, 149, 439, 149, 435, 
225, 150, 446, 150, 443, 149, 442, 149, 443, 149, 439, 149, 435, 
230, 149, 446, 150, 444, 149, 443, 149, 443, 150, 439, 150, 435, 
235, 149, 446, 150, 445, 150, 444, 150, 443, 149, 439, 150, 435, 
240, 149, 446, 149, 445, 149, 444, 149, 444, 149, 439, 150, 435, 
245, 149, 447, 150, 446, 150, 444, 150, 444, 150, 439, 150, 436, 
250, 149, 447, 150, 447, 150, 445, 149, 444, 150, 438, 150, 436, 
255, 149, 448, 150, 448, 150, 445, 149, 444, 149, 438, 149, 436, 
260, 149, 448, 150, 448, 149, 445, 150, 444, 149, 438, 150, 437, 
265, 149, 448, 150, 449, 149, 446, 149, 444, 150, 438, 149, 437, 
270, 149, 448, 150, 450, 149, 446, 150, 445, 149, 438, 150, 438, 
275, 149, 449, 150, 450, 149, 447, 150, 445, 150, 438, 150, 438, 
280, 149, 449, 150, 451, 149, 447, 149, 445, 149, 438, 150, 438, 
285, 150, 450, 150, 451, 149, 447, 149, 445, 150, 438, 149, 438, 
290, 150, 450, 150, 451, 149, 447, 150, 445, 150, 438, 150, 438, 
295, 149, 450, 150, 452, 150, 448, 150, 445, 149, 438, 149, 437, 
300, 149, 450, 150, 452, 149, 448, 150, 445, 150, 438, 149, 437, 
305, 149, 450, 150, 452, 149, 448, 149, 445, 150, 438, 150, 437, 
310, 149, 450, 150, 453, 149, 449, 149, 445, 149, 438, 150, 437, 
315, 149, 450, 150, 453, 149, 449, 149, 444, 150, 439, 149, 437, 
320, 149, 451, 150, 454, 150, 449, 150, 444, 149, 438, 150, 437, 
325, 150, 451, 150, 454, 150, 449, 149, 444, 149, 438, 150, 437, 
330, 150, 451, 150, 453, 150, 449, 149, 444, 150, 438, 149, 436, 
