t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 459, 150, 455, 150, 490, 149, 414, 150, 450, 149, 472, 
10, 150, 466, 150, 464, 150, 498, 150, 420, 150, 458, 150, 480, 
15, 150, 469, 150, 467, 150, 500, 150, 425, 149, 463, 150, 483, 
20, 150, 470, 150, 470, 150, 504, 150, 427, 150, 463, 149, 484, 
25, 150, 472, 150, 470, 150, 507, 150, 427, 149, 465, 150, 481, 
30, 150, 473, 149, 470, 150, 505, 150, 430, 150, 465, 149, 482, 
35, 150, 475, 150, 474, 149, 503, 150, 429, 150, 464, 149, 482, 
40, 150, 473, 150, 469, 150, 510, 150, 427, 150, 463, 149, 478, 
45, 150, 477, 149, 469, 150, 507, 150, 428, 150, 464, 149, 479, 
50, 150, 476, 150, 470, 149, 507, 150, 426, 150, 464, 149, 473, 
55, 150, 476, 150, 474, 150, 507, 150, 427, 150, 464, 149, 477, 
60, 150, 476, 150, 472, 150, 507, 150, 424, 150, 465, 150, 475, 
65, 150, 474, 150, 469, 150, 508, 150, 422, 149, 462, 149, 473, 
70, 150, 476, 150, 472, 150, 502, 150, 420, 150, 461, 150, 475, 
75, 150, 472, 150, 469, 150, 503, 150, 421, 150, 459, 149, 476, 
80, 150, 470, 150, 468, 149, 499, 150, 418, 150, 459, 149, 473, 
85, 150, 472, 150, 469, 150, 498, 150, 419, 150, 457, 150, 476, 
90, 150, 468, 150, 467, 149, 497, 150, 417, 150, 456, 150, 476, 
95, 150, 467, 150, 466, 150, 498, 150, 417, 150, 454, 150, 476, 
100, 150, 469, 150, 462, 150, 496, 150, 416, 150, 454, 150, 476, 
105, 150, 465, 150, 462, 150, 495, 150, 417, 150, 453, 149, 473, 
110, 150, 464, 150, 462, 150, 496, 150, 421, 150, 452, 149, 471, 
115, 150, 464, 150, 463, 150, 496, 150, 416, 150, 453, 150, 473, 
120, 150, 463, 150, 461, 150, 496, 150, 415, 150, 451, 149, 467, 
125, 150, 462, 150, 461, 150, 496, 149, 418, 150, 451, 149, 469, 
130, 150, 460, 150, 460, 149, 494, 150, 417, 150, 452, 150, 473, 
135, 150, 461, 150, 460, 150, 499, 150, 419, 149, 453, 150, 471, 
140, 150, 458, 150, 461, 150, 499, 150, 419, 150, 453, 149, 471, 
145, 150, 458, 150, 461, 150, 496, 150, 418, 150, 450, 150, 471, 
150, 150, 458, 150, 461, 149, 494, 150, 417, 150, 450, 149, 470, 
155, 150, 461, 150, 459, 150, 499, 150, 419, 150, 450, 150, 470, 
160, 149, 460, 150, 460, 150, 497, 150, 420, 150, 451, 149, 470, 
165, 150, 459, 150, 460, 148, 496, 150, 419, 150, 451, 150, 471, 
170, 150, 459, 150, 459, 150, 497, 150, 417, 150, 452, 150, 465, 
175, 150, 457, 150, 460, 150, 500, 150, 416, 150, 450, 149, 463, 
180, 150, 458, 150, 456, 149, 499, 150, 417, 150, 452, 149, 463, 
185, 149, 455, 150, 458, 152, 506, 150, 421, 150, 450, 150, 467, 
190, 150, 458, 150, 458, 150, 499, 150, 420, 150, 452, 149, 466, 
195, 150, 456, 150, 456, 150, 499, 150, 421, 150, 451, 149, 462, 
200, 150, 457, 149, 455, 150, 500, 150, 422, 150, 450, 150, 468, 
205, 150, 455, 150, 456, 150, 500, 150, 420, 150, 451, 149, 464, 
210, 150, 457, 150, 454, 150, 501, 150, 419, 150, 451, 150, 462, 
215, 150, 455, 150, 454, 150, 501, 150, 419, 150, 452, 150, 461, 
220, 150, 454, 150, 456, 150, 501, 150, 421, 150, 451, 149, 463, 
225, 150, 455, 150, 452, 150, 503, 150, 420, 150, 451, 149, 462, 
230, 150, 454, 150, 455, 150, 502, 150, 423, 150, 451, 150, 460, 
235, 150, 455, 150, 456, 150, 503, 150, 425, 150, 453, 150, 461, 
240, 150, 455, 150, 454, 150, 505, 150, 422, 150, 454, 149, 460, 
245, 150, 454, 150, 457, 150, 503, 150, 424, 150, 454, 149, 464, 
250, 150, 453, 150, 456, 150, 505, 150, 424, 150, 452, 149, 458, 
255, 150, 454, 150, 456, 150, 505, 149, 425, 150, 453, 149, 459, 
260, 150, 453, 150, 454, 150, 505, 150, 427, 150, 453, 149, 454, 
265, 150, 451, 150, 455, 150, 504, 150, 423, 150, 453, 149, 455, 
270, 150, 450, 150, 456, 149, 504, 150, 426, 150, 452, 150, 458, 
275, 150, 451, 150, 455, 150, 506, 150, 425, 150, 453, 149, 453, 
280, 150, 450, 149, 452, 150, 505, 150, 427, 150, 455, 150, 450, 
285, 150, 449, 149, 452, 150, 504, 150, 427, 150, 453, 150, 448, 
290, 150, 450, 150, 454, 149, 506, 150, 426, 150, 453, 149, 449, 
295, 150, 447, 150, 456, 150, 504, 150, 430, 150, 453, 149, 453, 
300, 150, 448, 150, 454, 150, 506, 150, 427, 150, 453, 149, 447, 
305, 150, 447, 150, 454, 150, 504, 150, 431, 150, 452, 149, 445, 
310, 150, 446, 150, 452, 150, 504, 150, 428, 150, 451, 150, 451, 
315, 150, 447, 150, 454, 150, 505, 150, 429, 150, 453, 150, 445, 
320, 150, 444, 150, 454, 150, 503, 150, 427, 150, 452, 150, 447, 
325, 150, 444, 150, 453, 149, 506, 150, 430, 150, 450, 150, 444, 
330, 150, 442, 150, 455, 149, 502, 150, 429, 150, 452, 149, 443, 
