t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 452, 150, 457, 149, 455, 150, 463, 150, 447, 149, 462, 
10, 150, 453, 150, 457, 149, 455, 150, 463, 150, 448, 150, 462, 
15, 149, 453, 150, 457, 149, 455, 149, 464, 150, 448, 150, 462, 
20, 149, 454, 150, 457, 149, 455, 149, 464, 149, 448, 149, 462, 
25, 149, 454, 150, 457, 149, 455, 150, 465, 150, 448, 150, 463, 
30, 149, 454, 150, 457, 149, 455, 150, 465, 150, 448, 149, 462, 
35, 150, 454, 150, 457, 149, 455, 150, 466, 150, 449, 150, 463, 
40, 149, 454, 150, 456, 150, 455, 149, 465, 149, 447, 150, 462, 
45, 149, 453, 150, 455, 149, 454, 149, 465, 149, 447, 150, 461, 
50, 149, 452, 149, 452, 149, 452, 149, 463, 149, 446, 150, 459, 
55, 149, 450, 150, 450, 149, 450, 149, 460, 150, 445, 150, 457, 
60, 150, 449, 150, 448, 149, 448, 150, 459, 149, 443, 150, 455, 
65, 149, 448, 149, 446, 150, 446, 149, 457, 149, 441, 149, 452, 
70, 150, 447, 150, 445, 149, 444, 149, 455, 150, 440, 149, 450, 
75, 149, 446, 150, 443, 150, 442, 149, 453, 150, 439, 149, 448, 
80, 149, 445, 150, 441, 149, 440, 150, 451, 149, 438, 150, 447, 
85, 149, 444, 150, 440, 150, 438, 149, 449, 150, 437, 150, 445, 
90, 149, 443, 150, 438, 149, 437, 149, 447, 150, 437, 150, 443, 
95, 149, 442, 150, 437, 149, 436, 150, 446, 150, 436, 150, 442, 
100, 149, 441, 150, 436, 149, 434, 149, 444, 149, 436, 150, 441, 
105, 150, 440, 150, 435, 149, 434, 149, 443, 149, 435, 149, 440, 
110, 150, 439, 150, 433, 149, 433, 150, 442, 149, 435, 150, 439, 
115, 149, 437, 149, 432, 150, 432, 149, 440, 149, 434, 150, 439, 
120, 149, 436, 150, 432, 149, 432, 150, 440, 149, 433, 149, 438, 
125, 149, 436, 150, 431, 149, 431, 150, 439, 150, 432, 149, 438, 
130, 149, 435, 149, 431, 149, 431, 150, 439, 149, 431, 150, 438, 
135, 149, 434, 150, 431, 149, 431, 149, 439, 149, 430, 150, 437, 
140, 150, 434, 150, 430, 149, 431, 149, 438, 149, 429, 150, 437, 
145, 149, 433, 150, 431, 149, 431, 149, 438, 149, 429, 149, 436, 
150, 149, 432, 149, 430, 149, 432, 150, 438, 150, 428, 150, 437, 
155, 150, 432, 150, 430, 149, 432, 149, 438, 150, 428, 150, 437, 
160, 149, 432, 150, 431, 149, 432, 150, 438, 150, 428, 150, 437, 
165, 149, 432, 150, 431, 149, 432, 150, 438, 149, 427, 149, 437, 
170, 149, 432, 150, 431, 149, 433, 150, 438, 149, 427, 149, 438, 
175, 150, 431, 150, 431, 150, 434, 149, 438, 150, 427, 149, 438, 
180, 149, 431, 150, 431, 149, 434, 150, 438, 150, 427, 149, 438, 
185, 149, 432, 150, 432, 149, 434, 150, 439, 149, 427, 150, 439, 
190, 149, 432, 150, 432, 150, 435, 150, 439, 149, 427, 150, 440, 
195, 149, 432, 150, 433, 149, 435, 149, 439, 150, 427, 149, 440, 
200, 149, 432, 150, 433, 149, 436, 149, 439, 150, 427, 150, 440, 
205, 149, 432, 150, 434, 149, 437, 150, 440, 149, 427, 150, 441, 
210, 149, 432, 150, 435, 149, 437, 149, 440, 149, 427, 149, 441, 
215, 149, 432, 150, 435, 149, 438, 150, 441, 150, 428, 150, 442, 
220, 149, 433, 150, 436, 149, 438, 149, 441, 149, 427, 150, 442, 
225, 149, 433, 150, 436, 149, 439, 150, 442, 149, 427, 150, 443, 
230, 149, 433, 150, 436, 149, 439, 150, 442, 150, 428, 150, 444, 
235, 149, 433, 150, 437, 150, 440, 149, 443, 150, 428, 150, 444, 
240, 149, 433, 150, 437, 149, 440, 149, 443, 150, 428, 150, 444, 
245, 149, 434, 150, 438, 149, 441, 149, 443, 149, 428, 150, 445, 
250, 149, 434, 150, 438, 149, 441, 149, 444, 149, 428, 149, 445, 
255, 149, 434, 150, 439, 149, 441, 150, 444, 150, 428, 150, 446, 
260, 149, 434, 150, 439, 149, 442, 150, 444, 149, 428, 150, 446, 
265, 149, 434, 150, 439, 149, 442, 150, 444, 149, 428, 150, 447, 
270, 149, 435, 150, 439, 149, 443, 149, 444, 149, 428, 150, 447, 
275, 149, 435, 150, 439, 149, 443, 149, 444, 149, 428, 150, 447, 
280, 149, 435, 150, 439, 150, 444, 150, 446, 150, 428, 150, 447, 
285, 149, 435, 150, 439, 149, 444, 150, 446, 149, 428, 150, 447, 
290, 149, 435, 150, 439, 149, 444, 149, 445, 150, 428, 150, 446, 
295, 149, 435, 150, 439, 149, 445, 150, 446, 149, 428, 150, 446, 
300, 149, 435, 150, 439, 149, 445, 150, 447, 149, 428, 150, 446, 
305, 149, 435, 150, 439, 149, 445, 149, 447, 149, 428, 150, 446, 
310, 149, 436, 150, 439, 149, 445, 149, 447, 150, 428, 149, 446, 
315, 149, 436, 150, 440, 149, 446, 150, 447, 150, 428, 150, 446, 
320, 149, 436, 150, 440, 149, 446, 150, 448, 150, 428, 149, 445, 
325, 149, 437, 150, 440, 149, 446, 149, 448, 150, 428, 149, 445, 
330, 149, 437, 150, 440, 149, 446, 149, 448, 150, 428, 149, 444, 
