t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 459, 150, 474, 150, 521, 150, 444, 150, 491, 150, 475, 
10, 150, 464, 150, 481, 150, 518, 150, 448, 150, 493, 150, 472, 
15, 150, 468, 150, 484, 150, 524, 150, 447, 150, 492, 149, 469, 
20, 150, 473, 150, 484, 150, 523, 150, 445, 150, 489, 150, 468, 
25, 150, 477, 150, 486, 150, 520, 150, 442, 150, 487, 149, 471, 
30, 150, 476, 150, 485, 149, 521, 150, 439, 150, 485, 150, 470, 
35, 150, 478, 150, 486, 150, 525, 150, 440, 150, 482, 149, 469, 
40, 150, 478, 150, 482, 150, 526, 150, 442, 150, 486, 149, 473, 
45, 150, 474, 150, 482, 150, 529, 150, 442, 150, 491, 150, 483, 
50, 150, 473, 150, 483, 150, 531, 150, 443, 150, 492, 149, 488, 
55, 150, 472, 150, 482, 149, 529, 150, 444, 149, 493, 149, 489, 
60, 150, 469, 150, 482, 150, 529, 150, 443, 150, 493, 149, 491, 
65, 150, 469, 150, 481, 150, 528, 150, 443, 150, 495, 149, 494, 
70, 150, 467, 150, 479, 150, 527, 150, 440, 150, 492, 149, 494, 
75, 150, 464, 150, 478, 150, 527, 150, 440, 150, 492, 150, 494, 
80, 150, 462, 150, 476, 150, 523, 150, 440, 150, 484, 149, 492, 
85, 150, 461, 150, 473, 150, 524, 150, 441, 150, 486, 149, 491, 
90, 150, 459, 150, 475, 150, 524, 150, 440, 150, 483, 149, 491, 
95, 150, 457, 150, 473, 150, 523, 149, 441, 150, 483, 149, 491, 
100, 150, 454, 150, 471, 150, 523, 150, 442, 150, 487, 149, 490, 
105, 150, 454, 150, 473, 150, 523, 150, 443, 150, 483, 149, 489, 
110, 150, 454, 150, 471, 147, 515, 150, 445, 150, 488, 150, 489, 
115, 150, 452, 150, 470, 150, 526, 150, 446, 150, 484, 150, 491, 
120, 150, 449, 150, 469, 150, 525, 150, 447, 150, 487, 149, 489, 
125, 150, 449, 150, 471, 150, 522, 150, 448, 150, 488, 150, 489, 
130, 150, 448, 150, 469, 150, 527, 150, 451, 150, 491, 149, 489, 
135, 150, 451, 150, 471, 150, 528, 150, 454, 150, 492, 150, 489, 
140, 150, 450, 150, 469, 149, 529, 150, 454, 150, 492, 149, 490, 
145, 150, 455, 150, 471, 150, 529, 150, 455, 150, 490, 150, 489, 
150, 150, 457, 150, 470, 150, 530, 150, 458, 150, 500, 149, 490, 
155, 150, 458, 149, 470, 150, 532, 150, 460, 150, 492, 149, 491, 
160, 150, 463, 150, 471, 150, 530, 150, 462, 150, 500, 150, 491, 
165, 150, 462, 150, 469, 150, 532, 150, 464, 150, 502, 149, 492, 
170, 150, 465, 150, 471, 150, 533, 150, 465, 150, 495, 149, 492, 
175, 150, 469, 150, 469, 149, 531, 150, 468, 150, 502, 149, 494, 
180, 150, 470, 150, 472, 150, 533, 150, 468, 150, 498, 149, 493, 
185, 150, 473, 150, 469, 150, 532, 150, 472, 150, 503, 150, 494, 
190, 150, 476, 150, 469, 150, 533, 150, 474, 150, 503, 150, 495, 
195, 150, 477, 150, 469, 150, 534, 150, 477, 150, 500, 149, 494, 
200, 149, 475, 150, 472, 150, 533, 150, 478, 150, 500, 149, 494, 
205, 150, 480, 150, 472, 150, 539, 150, 479, 150, 500, 149, 495, 
210, 150, 480, 150, 469, 150, 539, 150, 481, 150, 504, 150, 496, 
215, 150, 482, 150, 469, 150, 542, 150, 483, 150, 500, 149, 497, 
220, 150, 486, 150, 470, 150, 540, 150, 484, 149, 499, 149, 497, 
225, 150, 486, 150, 469, 150, 541, 150, 487, 150, 501, 149, 497, 
230, 150, 488, 150, 471, 150, 540, 150, 487, 149, 499, 149, 497, 
235, 150, 487, 150, 469, 150, 542, 150, 489, 150, 495, 150, 499, 
240, 150, 489, 150, 470, 150, 543, 150, 489, 150, 492, 150, 497, 
245, 150, 489, 150, 475, 150, 541, 150, 489, 150, 489, 150, 500, 
250, 150, 491, 150, 477, 150, 544, 150, 489, 150, 493, 149, 498, 
255, 150, 491, 150, 485, 150, 540, 150, 489, 149, 488, 150, 499, 
260, 150, 492, 150, 493, 150, 540, 150, 488, 150, 495, 150, 501, 
265, 150, 492, 150, 501, 150, 545, 150, 492, 148, 482, 149, 499, 
270, 150, 491, 150, 504, 150, 541, 150, 491, 150, 489, 149, 497, 
275, 150, 495, 150, 513, 150, 542, 149, 491, 150, 494, 150, 498, 
280, 150, 493, 150, 516, 150, 544, 150, 494, 150, 488, 149, 497, 
285, 150, 492, 150, 521, 150, 544, 150, 493, 150, 489, 150, 497, 
290, 150, 493, 150, 527, 150, 545, 150, 492, 150, 485, 150, 500, 
295, 150, 493, 150, 530, 150, 547, 150, 494, 150, 487, 149, 496, 
300, 150, 492, 150, 534, 150, 546, 150, 495, 150, 485, 150, 497, 
305, 150, 495, 150, 539, 150, 547, 150, 495, 150, 484, 149, 496, 
310, 150, 493, 150, 537, 150, 546, 150, 494, 150, 488, 149, 495, 
315, 150, 495, 150, 538, 150, 545, 150, 495, 150, 487, 149, 494, 
320, 150, 493, 150, 540, 150, 545, 150, 495, 150, 483, 150, 497, 
325, 150, 493, 150, 540, 149, 549, 150, 497, 150, 484, 149, 495, 
330, 150, 493, 150, 541, 150, 546, 150, 498, 150, 480, 149, 495, 
