t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 441, 150, 439, 149, 439, 150, 441, 150, 439, 150, 440, 
10, 150, 441, 149, 439, 150, 439, 149, 442, 149, 439, 149, 441, 
15, 149, 441, 150, 440, 149, 440, 149, 443, 149, 439, 150, 442, 
20, 149, 442, 150, 439, 149, 440, 149, 443, 150, 440, 149, 442, 
25, 149, 442, 150, 439, 149, 440, 149, 443, 150, 440, 150, 442, 
30, 149, 443, 149, 438, 149, 439, 149, 442, 149, 440, 150, 442, 
35, 149, 443, 149, 438, 149, 439, 149, 442, 150, 440, 150, 440, 
40, 150, 443, 150, 439, 150, 438, 149, 441, 149, 440, 150, 440, 
45, 149, 442, 150, 437, 150, 435, 149, 439, 149, 439, 150, 437, 
50, 149, 440, 150, 436, 149, 433, 149, 438, 149, 439, 149, 435, 
55, 149, 439, 150, 436, 149, 431, 150, 436, 150, 439, 150, 433, 
60, 150, 437, 150, 435, 149, 429, 150, 434, 149, 438, 150, 431, 
65, 150, 436, 150, 434, 149, 427, 150, 433, 150, 438, 150, 429, 
70, 149, 434, 150, 433, 150, 426, 149, 431, 149, 437, 150, 428, 
75, 149, 432, 150, 432, 150, 425, 149, 430, 150, 437, 150, 427, 
80, 149, 431, 150, 431, 149, 424, 149, 429, 149, 435, 150, 425, 
85, 149, 430, 150, 430, 149, 423, 150, 428, 150, 434, 149, 424, 
90, 150, 429, 150, 430, 149, 423, 150, 428, 150, 433, 149, 423, 
95, 149, 428, 150, 429, 149, 422, 150, 427, 150, 432, 150, 423, 
100, 149, 427, 150, 429, 149, 422, 149, 427, 149, 431, 150, 423, 
105, 149, 426, 150, 429, 149, 421, 149, 427, 150, 430, 150, 422, 
110, 149, 426, 150, 429, 149, 421, 150, 427, 150, 429, 150, 422, 
115, 149, 425, 150, 429, 149, 421, 150, 427, 150, 428, 149, 422, 
120, 150, 425, 150, 430, 149, 421, 150, 427, 150, 427, 149, 422, 
125, 149, 424, 150, 430, 149, 421, 150, 427, 150, 427, 150, 422, 
130, 149, 424, 150, 431, 149, 421, 150, 427, 150, 426, 149, 422, 
135, 149, 424, 150, 432, 149, 422, 149, 426, 150, 426, 150, 423, 
140, 149, 424, 150, 433, 149, 422, 149, 427, 149, 426, 149, 423, 
145, 149, 424, 150, 433, 149, 422, 149, 427, 150, 426, 149, 424, 
150, 149, 424, 150, 434, 149, 423, 149, 427, 149, 426, 149, 424, 
155, 149, 425, 150, 435, 149, 424, 149, 427, 150, 426, 150, 425, 
160, 149, 425, 150, 436, 149, 424, 149, 427, 150, 427, 150, 425, 
165, 149, 425, 150, 436, 149, 425, 149, 427, 150, 427, 149, 425, 
170, 149, 426, 150, 437, 149, 426, 150, 428, 149, 427, 150, 426, 
175, 149, 426, 150, 438, 150, 427, 150, 428, 150, 427, 150, 427, 
180, 149, 427, 150, 439, 149, 428, 149, 428, 149, 428, 150, 427, 
185, 149, 427, 150, 439, 149, 429, 150, 429, 150, 428, 150, 427, 
190, 149, 428, 150, 440, 149, 430, 150, 429, 150, 429, 149, 427, 
195, 149, 428, 150, 441, 149, 431, 149, 430, 149, 429, 149, 428, 
200, 149, 428, 150, 441, 150, 432, 149, 430, 149, 429, 150, 429, 
205, 149, 429, 149, 441, 149, 432, 150, 431, 150, 430, 150, 429, 
210, 149, 429, 149, 442, 149, 433, 149, 431, 150, 431, 149, 429, 
215, 149, 429, 150, 442, 149, 434, 150, 431, 149, 431, 150, 430, 
220, 149, 430, 150, 443, 150, 435, 150, 431, 149, 431, 149, 430, 
225, 149, 430, 150, 443, 150, 435, 150, 431, 150, 432, 150, 431, 
230, 149, 431, 150, 443, 149, 436, 150, 432, 149, 432, 150, 431, 
235, 149, 431, 150, 443, 149, 436, 150, 432, 149, 432, 149, 431, 
240, 149, 431, 149, 444, 149, 437, 150, 432, 150, 433, 150, 432, 
245, 149, 431, 150, 444, 149, 437, 149, 432, 149, 434, 149, 432, 
250, 149, 432, 150, 444, 150, 437, 149, 433, 150, 434, 149, 432, 
255, 149, 432, 150, 444, 149, 437, 149, 433, 149, 435, 150, 433, 
260, 149, 432, 150, 444, 149, 437, 149, 433, 150, 435, 150, 433, 
265, 149, 433, 150, 444, 150, 438, 149, 434, 150, 436, 149, 433, 
270, 149, 433, 150, 444, 149, 438, 149, 433, 150, 436, 149, 434, 
275, 149, 433, 150, 444, 150, 438, 149, 434, 149, 436, 150, 434, 
280, 149, 433, 150, 444, 149, 439, 150, 434, 150, 437, 150, 435, 
285, 149, 434, 150, 444, 149, 439, 149, 434, 150, 437, 149, 434, 
290, 149, 434, 150, 445, 149, 438, 149, 434, 149, 437, 150, 435, 
295, 149, 434, 150, 444, 149, 438, 150, 435, 150, 437, 150, 435, 
300, 150, 434, 149, 445, 149, 438, 149, 435, 150, 437, 149, 434, 
305, 149, 434, 150, 445, 149, 438, 149, 435, 150, 438, 150, 436, 
310, 149, 434, 150, 443, 150, 438, 149, 435, 149, 437, 149, 436, 
315, 149, 435, 150, 444, 149, 438, 149, 435, 150, 437, 149, 436, 
320, 149, 434, 149, 443, 150, 438, 149, 435, 150, 438, 149, 436, 
325, 149, 434, 150, 443, 149, 438, 150, 436, 150, 437, 150, 436, 
330, 149, 434, 150, 443, 149, 438, 150, 436, 149, 437, 150, 436, 
