t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 436, 150, 433, 149, 434, 149, 442, 150, 445, 150, 434, 
10, 149, 435, 150, 434, 150, 435, 149, 442, 149, 445, 150, 434, 
15, 149, 437, 150, 435, 149, 436, 150, 444, 149, 446, 150, 435, 
20, 149, 438, 150, 435, 149, 436, 149, 444, 150, 447, 150, 436, 
25, 150, 439, 150, 435, 150, 437, 149, 445, 149, 448, 150, 437, 
30, 149, 440, 149, 435, 149, 438, 149, 446, 149, 449, 150, 437, 
35, 150, 441, 149, 435, 150, 438, 150, 446, 149, 449, 150, 438, 
40, 149, 440, 150, 434, 149, 438, 149, 446, 149, 450, 150, 438, 
45, 149, 439, 150, 433, 149, 437, 150, 445, 150, 450, 150, 437, 
50, 150, 437, 150, 431, 149, 435, 149, 442, 150, 448, 150, 435, 
55, 149, 436, 150, 429, 149, 433, 150, 440, 150, 446, 150, 433, 
60, 149, 435, 149, 428, 149, 432, 149, 437, 150, 445, 150, 432, 
65, 149, 434, 150, 426, 149, 430, 149, 434, 150, 443, 149, 430, 
70, 149, 433, 149, 424, 150, 429, 150, 431, 149, 442, 150, 428, 
75, 149, 431, 150, 424, 150, 427, 150, 429, 149, 440, 150, 426, 
80, 149, 430, 150, 422, 149, 425, 149, 426, 149, 439, 150, 425, 
85, 149, 428, 149, 420, 150, 423, 149, 424, 149, 437, 150, 423, 
90, 149, 426, 150, 419, 149, 422, 150, 423, 150, 436, 150, 422, 
95, 149, 424, 149, 417, 149, 421, 150, 421, 150, 434, 150, 420, 
100, 150, 422, 149, 416, 149, 420, 149, 418, 150, 432, 150, 419, 
105, 150, 421, 149, 415, 149, 419, 150, 418, 149, 431, 150, 418, 
110, 150, 420, 150, 415, 149, 418, 150, 417, 150, 429, 150, 417, 
115, 149, 418, 149, 414, 149, 418, 150, 416, 150, 428, 150, 417, 
120, 149, 417, 149, 413, 149, 418, 150, 416, 150, 426, 150, 417, 
125, 149, 417, 150, 414, 150, 418, 149, 416, 150, 425, 150, 417, 
130, 149, 416, 150, 414, 150, 418, 150, 416, 150, 424, 150, 417, 
135, 149, 416, 149, 413, 149, 418, 149, 416, 150, 423, 150, 417, 
140, 150, 416, 150, 414, 149, 418, 149, 416, 149, 423, 150, 418, 
145, 149, 416, 149, 413, 149, 418, 150, 416, 150, 422, 150, 418, 
150, 150, 416, 150, 414, 149, 419, 149, 417, 150, 422, 149, 419, 
155, 149, 416, 150, 416, 149, 419, 150, 418, 149, 422, 150, 419, 
160, 149, 416, 150, 416, 149, 419, 149, 419, 149, 422, 150, 420, 
165, 149, 416, 150, 416, 149, 420, 150, 420, 149, 422, 150, 421, 
170, 149, 417, 149, 416, 149, 421, 149, 421, 149, 422, 150, 421, 
175, 149, 417, 149, 417, 149, 422, 150, 422, 150, 422, 150, 422, 
180, 150, 418, 149, 418, 149, 422, 149, 423, 149, 422, 150, 423, 
185, 150, 418, 150, 420, 150, 423, 149, 424, 149, 422, 150, 423, 
190, 149, 419, 150, 420, 150, 423, 150, 425, 149, 422, 150, 424, 
195, 149, 419, 149, 420, 149, 424, 150, 425, 150, 423, 150, 425, 
200, 149, 420, 149, 421, 149, 425, 149, 426, 149, 423, 150, 425, 
205, 150, 420, 150, 422, 149, 426, 150, 426, 149, 423, 149, 426, 
210, 150, 421, 149, 422, 149, 426, 150, 427, 150, 423, 150, 426, 
215, 150, 422, 150, 423, 149, 427, 149, 427, 150, 423, 150, 427, 
220, 150, 423, 149, 424, 149, 428, 149, 427, 149, 423, 149, 427, 
225, 149, 423, 150, 425, 149, 428, 149, 428, 149, 424, 150, 428, 
230, 150, 424, 149, 425, 149, 429, 149, 428, 149, 424, 150, 428, 
235, 149, 425, 150, 426, 149, 430, 149, 428, 149, 424, 150, 428, 
240, 150, 425, 149, 426, 149, 430, 150, 428, 150, 424, 149, 429, 
245, 149, 426, 150, 427, 150, 431, 149, 428, 149, 424, 150, 430, 
250, 149, 426, 150, 427, 149, 432, 149, 428, 149, 424, 150, 430, 
255, 149, 426, 149, 428, 150, 432, 150, 428, 150, 425, 150, 430, 
260, 150, 427, 150, 428, 150, 433, 149, 428, 150, 425, 150, 430, 
265, 149, 428, 150, 428, 150, 433, 150, 429, 149, 424, 150, 431, 
270, 149, 427, 150, 428, 149, 433, 149, 428, 149, 424, 150, 431, 
275, 149, 428, 150, 429, 150, 434, 149, 427, 149, 424, 150, 431, 
280, 149, 427, 150, 429, 150, 434, 149, 428, 150, 425, 150, 431, 
285, 150, 428, 150, 429, 149, 434, 149, 428, 150, 425, 150, 431, 
290, 149, 428, 150, 429, 150, 434, 149, 428, 150, 425, 150, 431, 
295, 150, 428, 150, 429, 150, 435, 150, 428, 149, 425, 149, 431, 
300, 149, 428, 150, 429, 149, 435, 150, 428, 149, 425, 150, 431, 
305, 149, 428, 150, 430, 149, 435, 149, 427, 149, 425, 150, 431, 
310, 149, 427, 150, 430, 149, 435, 150, 427, 149, 425, 150, 431, 
315, 149, 427, 150, 430, 149, 435, 149, 427, 149, 425, 150, 430, 
320, 149, 427, 149, 430, 150, 436, 149, 427, 149, 425, 149, 430, 
325, 149, 427, 150, 430, 149, 435, 150, 427, 149, 425, 150, 430, 
330, 149, 427, 150, 430, 149, 436, 149, 427, 149, 425, 150, 430, 
