t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 432, 150, 436, 150, 438, 149, 439, 150, 438, 150, 437, 
10, 149, 433, 150, 436, 150, 438, 149, 440, 150, 439, 150, 438, 
15, 149, 434, 150, 436, 150, 439, 149, 441, 149, 439, 149, 439, 
20, 149, 434, 150, 437, 149, 439, 150, 441, 150, 440, 150, 439, 
25, 150, 435, 150, 437, 149, 439, 149, 441, 149, 440, 150, 440, 
30, 149, 435, 150, 438, 149, 440, 150, 442, 149, 441, 150, 440, 
35, 149, 434, 150, 438, 149, 440, 149, 442, 150, 441, 150, 441, 
40, 149, 434, 150, 437, 149, 440, 149, 442, 150, 441, 150, 440, 
45, 150, 434, 150, 437, 149, 439, 149, 441, 149, 441, 150, 440, 
50, 149, 434, 150, 436, 149, 438, 150, 440, 150, 441, 150, 439, 
55, 149, 433, 150, 436, 149, 438, 149, 439, 149, 440, 149, 438, 
60, 149, 432, 150, 434, 149, 436, 149, 439, 149, 440, 150, 437, 
65, 149, 432, 150, 433, 150, 435, 150, 437, 150, 439, 150, 435, 
70, 149, 430, 150, 431, 149, 433, 150, 435, 150, 438, 150, 434, 
75, 150, 429, 150, 430, 149, 431, 150, 434, 149, 437, 150, 433, 
80, 149, 428, 150, 428, 150, 429, 149, 432, 150, 436, 150, 431, 
85, 149, 426, 150, 427, 149, 427, 149, 431, 149, 435, 149, 428, 
90, 149, 425, 150, 425, 150, 426, 149, 429, 150, 434, 150, 428, 
95, 150, 424, 150, 424, 149, 424, 149, 427, 149, 433, 149, 426, 
100, 149, 423, 150, 422, 149, 423, 149, 426, 150, 433, 150, 425, 
105, 149, 421, 150, 421, 149, 422, 150, 425, 150, 432, 150, 424, 
110, 149, 420, 150, 420, 150, 421, 149, 423, 149, 431, 150, 424, 
115, 150, 419, 150, 419, 149, 421, 150, 423, 150, 430, 150, 423, 
120, 149, 417, 150, 419, 149, 420, 150, 422, 150, 429, 150, 422, 
125, 149, 417, 150, 418, 149, 420, 149, 421, 150, 428, 149, 421, 
130, 149, 416, 150, 418, 149, 419, 149, 420, 150, 427, 150, 422, 
135, 149, 415, 150, 417, 149, 419, 150, 420, 150, 426, 150, 421, 
140, 149, 414, 150, 417, 149, 419, 149, 419, 150, 425, 150, 421, 
145, 149, 414, 150, 417, 149, 419, 150, 419, 150, 424, 149, 421, 
150, 149, 414, 150, 417, 149, 419, 150, 418, 150, 424, 149, 420, 
155, 150, 414, 150, 417, 150, 420, 149, 418, 150, 423, 150, 420, 
160, 149, 413, 150, 417, 149, 420, 149, 418, 149, 423, 149, 420, 
165, 150, 413, 150, 417, 149, 421, 149, 418, 150, 422, 149, 420, 
170, 149, 413, 150, 417, 150, 421, 149, 417, 150, 422, 149, 420, 
175, 149, 413, 150, 417, 149, 421, 149, 418, 149, 421, 150, 421, 
180, 149, 413, 150, 417, 149, 422, 149, 418, 150, 421, 149, 420, 
185, 149, 414, 150, 418, 149, 422, 149, 418, 149, 421, 150, 421, 
190, 149, 414, 150, 418, 149, 423, 150, 418, 150, 421, 149, 421, 
195, 149, 414, 150, 418, 149, 423, 149, 418, 150, 421, 149, 421, 
200, 150, 414, 150, 419, 149, 424, 149, 419, 150, 421, 150, 422, 
205, 149, 415, 150, 419, 149, 424, 149, 419, 149, 421, 150, 422, 
210, 149, 415, 150, 419, 149, 425, 149, 420, 149, 421, 149, 422, 
215, 149, 415, 150, 419, 149, 425, 150, 420, 150, 421, 150, 423, 
220, 150, 416, 150, 419, 149, 425, 150, 421, 149, 421, 150, 423, 
225, 149, 416, 150, 419, 149, 426, 150, 422, 149, 421, 150, 423, 
230, 149, 416, 150, 420, 149, 426, 149, 422, 149, 421, 150, 424, 
235, 149, 416, 150, 420, 149, 427, 149, 423, 150, 421, 150, 425, 
240, 150, 417, 150, 420, 149, 427, 150, 424, 149, 421, 150, 425, 
245, 150, 417, 150, 420, 150, 428, 149, 425, 150, 421, 150, 425, 
250, 149, 418, 150, 420, 149, 429, 149, 426, 149, 421, 150, 425, 
255, 149, 418, 150, 420, 149, 429, 149, 427, 149, 421, 150, 426, 
260, 149, 418, 150, 420, 150, 430, 149, 428, 150, 421, 150, 426, 
265, 149, 419, 150, 420, 150, 430, 150, 428, 150, 421, 150, 426, 
270, 149, 419, 150, 420, 149, 431, 150, 429, 149, 421, 150, 427, 
275, 149, 419, 150, 421, 149, 431, 150, 431, 150, 421, 150, 426, 
280, 149, 419, 150, 421, 149, 431, 149, 433, 150, 422, 150, 427, 
285, 149, 419, 150, 421, 149, 432, 149, 434, 150, 422, 149, 427, 
290, 149, 420, 150, 422, 149, 432, 149, 435, 149, 422, 150, 428, 
295, 150, 420, 150, 422, 149, 432, 149, 436, 149, 422, 150, 428, 
300, 149, 420, 149, 422, 149, 433, 149, 438, 150, 422, 150, 428, 
305, 150, 421, 150, 423, 149, 433, 150, 439, 150, 422, 150, 428, 
310, 149, 421, 150, 423, 149, 434, 149, 440, 150, 422, 150, 428, 
315, 149, 422, 150, 423, 149, 434, 149, 440, 149, 422, 150, 428, 
320, 149, 422, 150, 423, 149, 434, 150, 442, 149, 422, 149, 428, 
325, 150, 422, 150, 423, 149, 435, 150, 441, 149, 422, 150, 428, 
330, 150, 423, 150, 423, 149, 435, 149, 441, 150, 422, 150, 429, 
