t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 445, 149, 449, 149, 448, 149, 441, 150, 437, 150, 443, 
10, 149, 445, 150, 450, 150, 449, 149, 441, 149, 437, 149, 443, 
15, 149, 445, 150, 451, 149, 449, 149, 442, 150, 438, 150, 444, 
20, 149, 446, 149, 449, 149, 449, 149, 442, 149, 438, 149, 444, 
25, 149, 446, 149, 450, 149, 449, 149, 442, 149, 438, 150, 444, 
30, 149, 446, 150, 451, 149, 450, 150, 442, 150, 438, 150, 444, 
35, 149, 445, 150, 451, 149, 450, 150, 442, 149, 438, 149, 444, 
40, 149, 444, 149, 448, 150, 448, 149, 441, 150, 438, 150, 443, 
45, 149, 442, 149, 447, 149, 447, 149, 439, 150, 436, 150, 442, 
50, 149, 440, 150, 446, 149, 445, 149, 437, 149, 435, 150, 441, 
55, 149, 439, 149, 443, 149, 444, 150, 436, 150, 433, 150, 439, 
60, 149, 438, 149, 442, 149, 443, 150, 435, 150, 433, 150, 438, 
65, 149, 436, 150, 440, 149, 441, 149, 433, 150, 432, 149, 437, 
70, 149, 435, 149, 437, 149, 438, 149, 432, 150, 431, 150, 436, 
75, 149, 433, 149, 434, 150, 436, 149, 430, 149, 430, 150, 434, 
80, 149, 431, 150, 434, 150, 433, 150, 429, 150, 430, 150, 433, 
85, 150, 428, 149, 432, 149, 431, 149, 427, 149, 429, 150, 431, 
90, 149, 426, 149, 430, 150, 429, 149, 426, 150, 429, 149, 430, 
95, 149, 424, 150, 429, 149, 427, 150, 425, 150, 428, 150, 429, 
100, 149, 423, 149, 427, 149, 426, 149, 423, 150, 428, 150, 428, 
105, 149, 422, 150, 426, 149, 425, 149, 421, 150, 426, 150, 427, 
110, 149, 421, 149, 426, 149, 425, 149, 419, 150, 425, 150, 426, 
115, 149, 420, 149, 425, 149, 424, 150, 419, 150, 423, 150, 425, 
120, 149, 420, 150, 426, 149, 424, 150, 418, 150, 423, 150, 425, 
125, 149, 420, 150, 425, 149, 423, 149, 417, 150, 422, 150, 424, 
130, 150, 420, 149, 424, 149, 423, 150, 417, 150, 420, 150, 424, 
135, 149, 420, 149, 424, 149, 423, 150, 417, 149, 420, 150, 423, 
140, 150, 420, 150, 426, 150, 423, 150, 416, 150, 419, 149, 422, 
145, 150, 421, 150, 426, 150, 424, 149, 416, 149, 419, 150, 422, 
150, 150, 421, 150, 427, 149, 424, 150, 416, 150, 418, 149, 422, 
155, 149, 421, 150, 427, 149, 425, 150, 417, 149, 418, 150, 422, 
160, 150, 422, 149, 427, 149, 425, 149, 417, 149, 417, 149, 422, 
165, 149, 422, 150, 427, 149, 426, 150, 417, 149, 417, 149, 421, 
170, 149, 423, 149, 428, 150, 426, 150, 417, 149, 417, 150, 422, 
175, 150, 424, 150, 429, 149, 427, 149, 417, 149, 416, 150, 421, 
180, 150, 424, 150, 430, 149, 428, 150, 418, 150, 416, 150, 422, 
185, 149, 425, 150, 431, 149, 429, 150, 418, 149, 416, 150, 422, 
190, 149, 425, 150, 431, 149, 430, 150, 418, 149, 415, 150, 422, 
195, 149, 425, 150, 432, 149, 430, 149, 419, 150, 416, 150, 422, 
200, 149, 426, 150, 433, 149, 431, 149, 419, 149, 415, 149, 423, 
205, 149, 427, 150, 433, 149, 431, 150, 420, 149, 415, 150, 423, 
210, 149, 427, 150, 434, 149, 432, 150, 420, 150, 416, 149, 423, 
215, 149, 427, 149, 434, 149, 433, 149, 421, 149, 415, 150, 424, 
220, 149, 428, 150, 435, 149, 434, 149, 422, 149, 416, 150, 424, 
225, 149, 428, 150, 436, 149, 434, 149, 422, 150, 417, 149, 424, 
230, 149, 429, 150, 436, 149, 435, 150, 423, 149, 417, 150, 425, 
235, 149, 430, 149, 437, 149, 436, 149, 423, 150, 417, 150, 425, 
240, 149, 430, 149, 437, 149, 436, 149, 423, 149, 417, 150, 426, 
245, 149, 430, 149, 438, 149, 437, 150, 424, 149, 417, 150, 426, 
250, 149, 431, 150, 438, 150, 437, 149, 424, 149, 418, 150, 426, 
255, 149, 431, 149, 438, 150, 438, 149, 423, 149, 418, 150, 427, 
260, 149, 431, 149, 439, 150, 438, 149, 424, 150, 418, 150, 427, 
265, 150, 432, 149, 439, 149, 438, 149, 425, 150, 418, 150, 427, 
270, 150, 432, 150, 441, 149, 439, 149, 425, 150, 419, 150, 428, 
275, 150, 432, 150, 442, 150, 439, 149, 425, 150, 419, 150, 428, 
280, 149, 432, 150, 442, 150, 440, 149, 425, 150, 419, 150, 428, 
285, 149, 432, 149, 441, 149, 440, 150, 426, 149, 419, 150, 429, 
290, 149, 432, 149, 442, 149, 440, 149, 426, 150, 419, 150, 429, 
295, 149, 432, 150, 443, 150, 441, 149, 426, 149, 420, 150, 429, 
300, 149, 432, 150, 444, 149, 441, 149, 426, 149, 420, 150, 429, 
305, 149, 432, 150, 444, 149, 441, 149, 426, 149, 420, 150, 429, 
310, 150, 432, 149, 444, 149, 441, 149, 427, 149, 420, 150, 430, 
315, 149, 433, 149, 443, 149, 442, 150, 427, 150, 420, 150, 430, 
320, 149, 432, 150, 445, 149, 442, 150, 427, 149, 420, 150, 431, 
325, 149, 432, 150, 445, 150, 442, 149, 427, 150, 420, 150, 431, 
330, 149, 432, 150, 446, 149, 443, 150, 427, 149, 420, 150, 431, 
