t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 429, 149, 423, 149, 425, 149, 421, 149, 425, 149, 418, 
10, 149, 429, 150, 425, 149, 425, 149, 421, 149, 425, 150, 419, 
15, 150, 429, 150, 425, 149, 425, 149, 421, 149, 425, 150, 419, 
20, 149, 429, 150, 424, 150, 425, 149, 421, 150, 425, 150, 419, 
25, 150, 429, 149, 422, 149, 424, 150, 421, 149, 425, 150, 419, 
30, 150, 429, 149, 422, 150, 424, 150, 420, 150, 425, 149, 418, 
35, 150, 427, 149, 420, 150, 422, 150, 418, 150, 424, 150, 417, 
40, 149, 425, 149, 418, 150, 419, 150, 417, 149, 422, 150, 415, 
45, 149, 423, 150, 418, 149, 418, 149, 416, 150, 422, 149, 414, 
50, 149, 422, 149, 415, 149, 416, 149, 414, 149, 421, 150, 412, 
55, 149, 421, 149, 413, 149, 414, 149, 413, 149, 420, 150, 410, 
60, 150, 420, 150, 413, 150, 412, 149, 412, 150, 419, 150, 409, 
65, 149, 418, 149, 411, 149, 410, 150, 410, 150, 418, 150, 407, 
70, 150, 416, 149, 410, 150, 409, 149, 409, 149, 416, 150, 405, 
75, 149, 415, 150, 409, 150, 407, 150, 408, 149, 415, 150, 403, 
80, 150, 414, 150, 407, 150, 405, 150, 407, 150, 413, 150, 401, 
85, 150, 412, 149, 405, 149, 404, 150, 406, 149, 411, 150, 400, 
90, 149, 411, 150, 404, 149, 403, 149, 405, 150, 410, 150, 399, 
95, 149, 410, 150, 404, 149, 402, 150, 404, 150, 409, 149, 398, 
100, 149, 409, 149, 402, 149, 402, 149, 404, 150, 408, 149, 397, 
105, 149, 408, 150, 401, 150, 401, 150, 403, 150, 407, 150, 396, 
110, 149, 407, 150, 401, 150, 401, 149, 403, 150, 406, 150, 396, 
115, 150, 407, 149, 400, 150, 400, 149, 403, 150, 406, 150, 395, 
120, 149, 407, 150, 400, 149, 400, 150, 403, 149, 405, 150, 395, 
125, 149, 406, 150, 399, 149, 400, 149, 402, 150, 405, 149, 394, 
130, 149, 406, 150, 399, 149, 400, 149, 402, 150, 404, 150, 394, 
135, 149, 406, 150, 399, 149, 400, 149, 402, 149, 404, 150, 394, 
140, 150, 407, 150, 399, 149, 400, 150, 402, 150, 404, 150, 393, 
145, 149, 406, 149, 399, 150, 400, 150, 403, 150, 403, 150, 393, 
150, 149, 407, 150, 400, 150, 400, 149, 402, 150, 403, 150, 393, 
155, 150, 407, 150, 400, 149, 400, 149, 403, 150, 403, 150, 393, 
160, 149, 408, 150, 400, 149, 400, 149, 403, 149, 403, 150, 393, 
165, 149, 408, 150, 400, 149, 400, 149, 403, 149, 402, 150, 393, 
170, 150, 409, 149, 401, 149, 401, 150, 404, 149, 402, 150, 393, 
175, 149, 409, 150, 401, 150, 401, 149, 404, 150, 403, 149, 392, 
180, 149, 409, 150, 402, 149, 401, 149, 404, 149, 402, 149, 392, 
185, 149, 409, 149, 402, 149, 402, 150, 404, 150, 402, 149, 392, 
190, 149, 410, 150, 403, 149, 402, 149, 404, 150, 402, 150, 393, 
195, 149, 410, 150, 403, 150, 403, 150, 405, 150, 402, 150, 393, 
200, 149, 411, 150, 404, 149, 403, 150, 405, 149, 402, 149, 392, 
205, 149, 411, 150, 404, 149, 403, 150, 405, 150, 403, 150, 393, 
210, 149, 412, 150, 405, 149, 404, 149, 405, 150, 402, 150, 393, 
215, 150, 413, 150, 405, 149, 404, 150, 406, 149, 402, 150, 393, 
220, 149, 412, 150, 406, 150, 405, 149, 406, 150, 403, 150, 393, 
225, 149, 413, 149, 406, 149, 405, 149, 406, 149, 403, 150, 393, 
230, 149, 413, 150, 407, 149, 405, 149, 406, 150, 403, 150, 393, 
235, 149, 414, 150, 408, 149, 406, 150, 407, 150, 403, 150, 393, 
240, 149, 414, 150, 408, 149, 406, 150, 407, 150, 403, 149, 392, 
245, 149, 414, 149, 409, 150, 406, 149, 407, 150, 403, 149, 392, 
250, 149, 415, 150, 410, 149, 407, 149, 407, 150, 403, 150, 393, 
255, 149, 416, 150, 410, 149, 407, 149, 407, 150, 403, 150, 393, 
260, 149, 416, 150, 410, 149, 407, 149, 407, 150, 403, 150, 393, 
265, 149, 416, 150, 411, 149, 408, 150, 407, 150, 403, 150, 393, 
270, 150, 417, 149, 411, 149, 408, 150, 407, 149, 403, 150, 393, 
275, 149, 417, 150, 412, 149, 409, 150, 407, 150, 403, 150, 393, 
280, 149, 417, 149, 411, 149, 409, 149, 407, 149, 403, 149, 392, 
285, 149, 418, 150, 412, 149, 409, 150, 407, 149, 403, 150, 393, 
290, 149, 418, 150, 412, 149, 409, 149, 407, 150, 403, 150, 393, 
295, 149, 418, 150, 413, 150, 409, 149, 407, 150, 404, 150, 393, 
300, 149, 419, 150, 413, 150, 410, 149, 406, 149, 404, 149, 393, 
305, 149, 419, 149, 413, 150, 410, 149, 406, 150, 405, 150, 393, 
310, 149, 419, 150, 413, 149, 410, 149, 406, 150, 405, 149, 393, 
315, 149, 419, 150, 414, 149, 410, 149, 406, 150, 405, 150, 393, 
320, 149, 419, 150, 414, 150, 410, 149, 405, 150, 406, 150, 393, 
325, 149, 419, 149, 413, 150, 409, 150, 405, 150, 406, 150, 393, 
330, 149, 419, 149, 413, 149, 409, 150, 405, 149, 406, 150, 393, 
