t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 433, 150, 437, 149, 440, 150, 432, 149, 429, 150, 435, 
10, 149, 433, 150, 437, 149, 439, 149, 432, 149, 430, 150, 435, 
15, 150, 432, 150, 437, 149, 439, 149, 432, 149, 430, 149, 435, 
20, 149, 432, 150, 437, 149, 438, 149, 432, 149, 430, 149, 435, 
25, 149, 431, 150, 436, 149, 437, 149, 432, 150, 430, 150, 435, 
30, 149, 431, 150, 436, 150, 437, 150, 432, 149, 430, 150, 435, 
35, 149, 431, 150, 435, 150, 436, 150, 432, 150, 430, 150, 434, 
40, 150, 431, 150, 434, 150, 435, 149, 431, 150, 430, 150, 432, 
45, 150, 427, 149, 431, 149, 432, 150, 429, 149, 428, 150, 429, 
50, 150, 425, 150, 429, 149, 430, 150, 427, 149, 427, 150, 427, 
55, 150, 423, 149, 429, 149, 430, 150, 426, 150, 425, 149, 425, 
60, 149, 421, 149, 425, 149, 426, 150, 424, 150, 424, 150, 423, 
65, 149, 420, 150, 424, 149, 425, 149, 422, 150, 422, 150, 421, 
70, 149, 418, 150, 423, 149, 424, 149, 419, 150, 420, 150, 419, 
75, 150, 418, 150, 422, 149, 423, 149, 417, 150, 418, 150, 418, 
80, 150, 418, 149, 420, 149, 422, 149, 416, 150, 417, 150, 417, 
85, 149, 419, 150, 420, 149, 421, 149, 415, 149, 416, 150, 416, 
90, 149, 421, 150, 420, 149, 421, 149, 414, 150, 415, 150, 416, 
95, 149, 423, 150, 420, 150, 422, 150, 413, 149, 413, 150, 417, 
100, 150, 425, 150, 422, 149, 422, 149, 412, 150, 412, 150, 419, 
105, 149, 427, 149, 423, 149, 422, 150, 412, 150, 411, 150, 422, 
110, 149, 429, 150, 427, 149, 422, 149, 412, 149, 410, 150, 424, 
115, 149, 431, 150, 429, 149, 423, 149, 413, 149, 410, 150, 427, 
120, 149, 433, 150, 432, 149, 424, 149, 414, 150, 410, 150, 430, 
125, 149, 435, 150, 435, 149, 424, 149, 414, 150, 410, 150, 432, 
130, 149, 437, 150, 437, 149, 425, 149, 415, 149, 411, 150, 435, 
135, 149, 439, 150, 439, 149, 425, 149, 416, 149, 411, 150, 437, 
140, 149, 440, 149, 441, 150, 426, 149, 418, 149, 413, 150, 439, 
145, 149, 441, 150, 443, 149, 427, 150, 419, 150, 414, 149, 440, 
150, 149, 441, 150, 444, 150, 427, 149, 420, 149, 415, 150, 442, 
155, 149, 442, 150, 445, 149, 428, 149, 421, 149, 416, 150, 442, 
160, 149, 442, 150, 445, 149, 428, 150, 422, 150, 417, 150, 443, 
165, 149, 442, 149, 445, 150, 429, 150, 423, 149, 418, 149, 442, 
170, 149, 442, 150, 446, 149, 429, 150, 424, 150, 419, 150, 442, 
175, 149, 442, 149, 445, 149, 430, 149, 424, 149, 420, 149, 441, 
180, 149, 441, 150, 446, 149, 430, 149, 424, 149, 421, 150, 441, 
185, 149, 441, 150, 445, 150, 431, 149, 425, 150, 422, 149, 440, 
190, 149, 441, 149, 444, 149, 431, 149, 425, 150, 422, 150, 439, 
195, 149, 440, 149, 444, 150, 431, 149, 425, 150, 423, 150, 438, 
200, 149, 439, 149, 443, 149, 431, 150, 426, 150, 423, 150, 437, 
205, 149, 439, 150, 444, 150, 431, 150, 426, 150, 423, 150, 437, 
210, 149, 439, 149, 443, 149, 431, 150, 426, 149, 423, 150, 436, 
215, 149, 438, 149, 442, 150, 432, 149, 426, 150, 424, 150, 435, 
220, 149, 437, 149, 442, 149, 432, 149, 426, 150, 424, 149, 434, 
225, 149, 437, 149, 442, 149, 432, 149, 426, 150, 424, 150, 433, 
230, 149, 437, 150, 442, 149, 432, 149, 426, 149, 424, 150, 433, 
235, 149, 436, 149, 441, 150, 431, 149, 426, 150, 424, 150, 432, 
240, 149, 436, 150, 442, 150, 431, 150, 426, 150, 424, 150, 432, 
245, 149, 435, 149, 441, 149, 431, 150, 426, 149, 424, 149, 431, 
250, 149, 434, 149, 441, 149, 431, 149, 426, 150, 423, 150, 431, 
255, 149, 434, 150, 442, 149, 431, 150, 426, 149, 423, 150, 430, 
260, 149, 433, 149, 440, 149, 431, 149, 425, 149, 424, 150, 430, 
265, 149, 433, 150, 441, 150, 431, 149, 425, 150, 423, 150, 429, 
270, 149, 432, 150, 440, 149, 431, 149, 425, 150, 422, 150, 428, 
275, 149, 431, 150, 440, 149, 430, 149, 425, 149, 422, 150, 428, 
280, 149, 431, 149, 439, 149, 430, 150, 424, 150, 421, 149, 427, 
285, 149, 430, 150, 439, 149, 430, 150, 424, 150, 421, 149, 427, 
290, 149, 430, 150, 439, 149, 430, 149, 424, 150, 421, 149, 427, 
295, 149, 429, 150, 439, 149, 430, 149, 423, 149, 420, 149, 426, 
300, 149, 429, 150, 439, 149, 429, 150, 423, 149, 419, 150, 426, 
305, 149, 428, 149, 438, 149, 429, 149, 422, 150, 419, 149, 425, 
310, 149, 428, 150, 438, 149, 429, 149, 422, 150, 418, 150, 424, 
315, 149, 427, 149, 437, 149, 429, 149, 421, 149, 418, 150, 424, 
320, 149, 427, 150, 437, 150, 429, 149, 421, 150, 417, 150, 423, 
325, 150, 426, 149, 437, 150, 428, 149, 420, 150, 416, 150, 423, 
330, 149, 425, 150, 436, 150, 428, 149, 419, 149, 415, 150, 423, 
