t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 453, 149, 451, 149, 452, 149, 440, 149, 453, 150, 445, 
10, 149, 453, 149, 451, 149, 452, 149, 441, 150, 454, 150, 445, 
15, 149, 453, 150, 451, 149, 452, 150, 441, 150, 454, 149, 445, 
20, 149, 453, 150, 450, 149, 452, 149, 441, 149, 454, 149, 445, 
25, 149, 453, 150, 450, 149, 452, 149, 441, 150, 455, 150, 445, 
30, 149, 453, 150, 449, 149, 452, 150, 441, 149, 455, 150, 445, 
35, 150, 453, 150, 449, 149, 452, 149, 440, 150, 455, 150, 445, 
40, 149, 453, 150, 448, 149, 451, 149, 440, 150, 455, 150, 444, 
45, 149, 453, 150, 448, 150, 450, 149, 439, 150, 455, 150, 443, 
50, 149, 453, 150, 447, 149, 449, 150, 439, 150, 456, 149, 442, 
55, 149, 452, 150, 448, 149, 448, 150, 439, 149, 455, 150, 441, 
60, 149, 451, 150, 448, 149, 447, 149, 438, 150, 455, 149, 441, 
65, 149, 448, 149, 446, 149, 446, 149, 435, 149, 454, 150, 439, 
70, 149, 445, 150, 445, 149, 444, 150, 433, 150, 453, 150, 438, 
75, 149, 444, 149, 446, 149, 444, 150, 431, 150, 451, 149, 438, 
80, 149, 444, 150, 447, 149, 444, 149, 430, 150, 449, 150, 438, 
85, 149, 444, 150, 448, 149, 444, 149, 430, 150, 448, 149, 439, 
90, 149, 444, 150, 449, 149, 444, 149, 430, 150, 448, 150, 439, 
95, 149, 443, 150, 445, 149, 441, 150, 427, 149, 445, 150, 433, 
100, 149, 442, 150, 442, 149, 439, 149, 423, 150, 443, 149, 429, 
105, 149, 441, 149, 440, 150, 438, 150, 421, 149, 440, 150, 426, 
110, 149, 440, 150, 439, 149, 437, 149, 419, 149, 438, 149, 423, 
115, 149, 439, 150, 438, 149, 436, 149, 418, 150, 436, 149, 421, 
120, 149, 438, 149, 436, 149, 435, 149, 417, 150, 434, 150, 421, 
125, 149, 437, 149, 434, 149, 435, 149, 416, 150, 432, 149, 419, 
130, 149, 436, 150, 434, 150, 434, 150, 415, 150, 431, 149, 419, 
135, 149, 436, 149, 433, 149, 433, 150, 414, 149, 430, 150, 419, 
140, 149, 435, 149, 433, 149, 432, 150, 414, 149, 430, 150, 418, 
145, 149, 435, 150, 435, 149, 432, 150, 413, 150, 429, 149, 418, 
150, 149, 434, 149, 432, 149, 432, 149, 413, 149, 429, 149, 417, 
155, 149, 434, 149, 431, 149, 432, 149, 412, 150, 430, 150, 418, 
160, 149, 434, 149, 432, 149, 432, 149, 412, 150, 429, 150, 418, 
165, 149, 434, 150, 431, 149, 432, 149, 412, 150, 430, 149, 418, 
170, 149, 433, 149, 430, 149, 432, 149, 412, 150, 431, 150, 419, 
175, 149, 433, 150, 431, 150, 432, 149, 413, 150, 432, 150, 420, 
180, 149, 433, 150, 430, 149, 432, 150, 414, 150, 433, 150, 420, 
185, 149, 433, 149, 429, 149, 433, 149, 414, 149, 434, 149, 420, 
190, 149, 433, 150, 431, 150, 433, 150, 415, 150, 435, 149, 421, 
195, 149, 433, 150, 429, 150, 433, 149, 415, 150, 436, 150, 422, 
200, 149, 433, 150, 429, 149, 434, 150, 416, 150, 437, 150, 422, 
205, 149, 433, 150, 430, 149, 434, 150, 417, 149, 438, 150, 422, 
210, 149, 433, 150, 430, 150, 434, 149, 417, 150, 439, 149, 422, 
215, 149, 433, 150, 430, 149, 435, 149, 418, 150, 440, 149, 423, 
220, 149, 433, 150, 430, 149, 435, 149, 418, 150, 441, 149, 423, 
225, 149, 433, 150, 430, 149, 436, 149, 419, 150, 441, 149, 423, 
230, 149, 433, 150, 430, 149, 436, 149, 419, 149, 442, 149, 424, 
235, 149, 433, 150, 431, 149, 436, 149, 420, 150, 443, 150, 424, 
240, 149, 432, 150, 431, 150, 437, 150, 420, 149, 443, 150, 424, 
245, 149, 432, 149, 431, 149, 437, 149, 421, 150, 444, 150, 424, 
250, 149, 432, 150, 431, 149, 437, 150, 421, 150, 444, 150, 424, 
255, 149, 432, 149, 431, 149, 438, 149, 421, 149, 445, 150, 424, 
260, 149, 432, 150, 432, 149, 438, 150, 422, 149, 445, 150, 424, 
265, 149, 432, 149, 431, 149, 438, 149, 421, 150, 445, 150, 424, 
270, 149, 431, 150, 431, 150, 438, 150, 422, 149, 445, 149, 424, 
275, 149, 431, 149, 431, 150, 438, 150, 422, 149, 445, 149, 424, 
280, 149, 431, 149, 432, 149, 438, 150, 422, 150, 446, 150, 425, 
285, 150, 431, 150, 432, 149, 438, 149, 422, 149, 445, 149, 424, 
290, 149, 431, 149, 432, 149, 439, 149, 422, 150, 446, 149, 424, 
295, 150, 431, 150, 431, 150, 439, 150, 422, 150, 446, 150, 425, 
300, 149, 430, 150, 431, 149, 438, 150, 422, 150, 446, 149, 424, 
305, 149, 430, 150, 431, 149, 439, 149, 422, 150, 446, 149, 425, 
310, 149, 430, 149, 431, 149, 439, 150, 422, 150, 446, 149, 425, 
315, 149, 430, 150, 432, 149, 439, 149, 422, 150, 446, 149, 425, 
320, 149, 430, 150, 431, 149, 438, 149, 422, 150, 446, 149, 424, 
325, 149, 430, 149, 430, 149, 438, 149, 422, 149, 446, 150, 425, 
330, 149, 430, 150, 430, 149, 438, 150, 422, 149, 446, 149, 424, 
