t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 363, 150, 373, 150, 401, 150, 342, 150, 369, 149, 377, 
10, 150, 368, 150, 377, 150, 405, 150, 344, 150, 371, 149, 378, 
15, 150, 366, 150, 376, 150, 408, 150, 346, 150, 372, 149, 378, 
20, 150, 369, 150, 379, 149, 406, 149, 342, 150, 372, 149, 375, 
25, 150, 370, 150, 379, 150, 408, 150, 345, 150, 371, 150, 376, 
30, 150, 372, 150, 379, 149, 406, 150, 348, 149, 373, 150, 380, 
35, 150, 370, 150, 379, 150, 407, 150, 347, 150, 372, 151, 380, 
40, 150, 381, 149, 387, 150, 416, 149, 352, 150, 376, 150, 383, 
45, 150, 393, 150, 399, 150, 429, 149, 358, 150, 385, 149, 390, 
50, 150, 406, 150, 417, 149, 446, 150, 371, 150, 395, 150, 405, 
55, 150, 419, 150, 431, 149, 458, 149, 385, 150, 406, 149, 415, 
60, 150, 425, 150, 439, 150, 470, 150, 392, 150, 414, 149, 427, 
65, 150, 421, 150, 440, 150, 472, 150, 400, 150, 418, 150, 432, 
70, 150, 424, 150, 443, 151, 479, 150, 399, 150, 419, 150, 430, 
75, 150, 425, 150, 441, 150, 472, 150, 403, 150, 424, 150, 434, 
80, 150, 427, 150, 442, 150, 472, 150, 404, 150, 427, 150, 435, 
85, 150, 427, 150, 441, 149, 471, 150, 398, 150, 430, 150, 431, 
90, 150, 427, 150, 442, 149, 472, 150, 401, 150, 432, 149, 431, 
95, 150, 427, 150, 443, 150, 473, 150, 400, 150, 433, 149, 429, 
100, 150, 427, 150, 440, 150, 474, 150, 398, 150, 435, 150, 428, 
105, 150, 427, 150, 441, 150, 473, 150, 397, 150, 434, 149, 428, 
110, 150, 426, 150, 442, 150, 471, 150, 401, 150, 434, 149, 427, 
115, 150, 426, 150, 444, 150, 471, 150, 398, 150, 434, 149, 425, 
120, 150, 426, 150, 442, 150, 470, 150, 398, 150, 433, 149, 424, 
125, 150, 423, 150, 443, 150, 468, 150, 400, 150, 434, 150, 425, 
130, 150, 422, 150, 439, 150, 470, 150, 399, 150, 435, 149, 423, 
135, 150, 424, 149, 439, 150, 468, 150, 399, 150, 433, 149, 420, 
140, 150, 423, 150, 439, 150, 468, 150, 397, 150, 433, 149, 419, 
145, 150, 421, 150, 436, 149, 468, 150, 397, 150, 436, 149, 421, 
150, 150, 421, 150, 436, 150, 466, 150, 401, 150, 436, 150, 421, 
155, 149, 423, 150, 433, 150, 465, 150, 399, 150, 435, 149, 419, 
160, 150, 421, 150, 435, 150, 464, 150, 399, 150, 435, 149, 422, 
165, 150, 423, 149, 432, 150, 464, 149, 395, 150, 435, 149, 423, 
170, 149, 421, 150, 434, 150, 462, 150, 397, 150, 433, 149, 421, 
175, 150, 420, 150, 433, 150, 462, 150, 398, 150, 435, 149, 425, 
180, 148, 417, 150, 435, 151, 466, 150, 396, 150, 434, 149, 423, 
185, 150, 418, 150, 432, 150, 460, 150, 399, 150, 433, 150, 425, 
190, 150, 418, 150, 431, 150, 461, 149, 397, 150, 431, 149, 422, 
195, 149, 419, 150, 429, 150, 460, 150, 395, 150, 435, 149, 421, 
200, 150, 414, 150, 431, 150, 461, 150, 399, 151, 438, 150, 423, 
205, 150, 416, 150, 430, 150, 460, 150, 399, 150, 428, 149, 423, 
210, 150, 416, 150, 427, 149, 458, 150, 395, 150, 429, 149, 423, 
215, 150, 415, 150, 428, 150, 459, 150, 399, 150, 429, 149, 422, 
220, 150, 416, 150, 427, 150, 457, 150, 399, 150, 429, 149, 428, 
225, 150, 414, 150, 425, 149, 458, 150, 399, 150, 428, 149, 423, 
230, 150, 410, 150, 428, 150, 456, 150, 397, 150, 428, 150, 425, 
235, 150, 412, 150, 428, 149, 452, 150, 395, 150, 426, 149, 425, 
240, 150, 409, 150, 427, 150, 455, 150, 396, 150, 426, 150, 425, 
245, 150, 413, 150, 423, 149, 454, 150, 394, 150, 426, 149, 424, 
250, 150, 409, 150, 424, 150, 453, 150, 397, 150, 425, 150, 427, 
255, 150, 409, 150, 422, 150, 456, 150, 396, 150, 425, 150, 425, 
260, 150, 410, 150, 420, 150, 454, 150, 394, 150, 426, 149, 422, 
265, 150, 407, 150, 422, 150, 454, 150, 395, 150, 423, 149, 423, 
270, 150, 411, 150, 420, 150, 453, 150, 392, 150, 425, 150, 425, 
275, 150, 408, 150, 420, 150, 453, 149, 393, 149, 421, 150, 422, 
280, 150, 408, 150, 420, 149, 448, 150, 391, 150, 424, 149, 423, 
285, 150, 407, 150, 420, 150, 450, 150, 391, 150, 421, 149, 422, 
290, 150, 407, 150, 418, 150, 449, 150, 391, 150, 422, 149, 421, 
295, 150, 406, 150, 417, 150, 449, 150, 393, 150, 421, 149, 420, 
300, 150, 406, 150, 417, 150, 450, 150, 390, 150, 422, 150, 421, 
305, 150, 403, 150, 415, 150, 448, 150, 394, 150, 421, 149, 421, 
310, 150, 403, 150, 416, 150, 445, 150, 392, 150, 420, 150, 420, 
315, 150, 403, 150, 417, 150, 445, 150, 391, 150, 418, 149, 419, 
320, 150, 403, 150, 414, 150, 446, 150, 387, 150, 421, 149, 420, 
325, 150, 402, 150, 414, 150, 444, 150, 392, 150, 419, 149, 420, 
330, 150, 399, 150, 412, 149, 442, 150, 388, 150, 418, 149, 419, 
