t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 396, 150, 395, 150, 432, 150, 362, 150, 404, 149, 405, 
10, 150, 399, 150, 397, 150, 437, 150, 366, 150, 405, 149, 404, 
15, 150, 401, 150, 400, 149, 438, 150, 369, 150, 406, 150, 405, 
20, 150, 403, 150, 399, 150, 438, 150, 366, 150, 409, 150, 405, 
25, 150, 403, 150, 403, 150, 439, 150, 369, 150, 407, 149, 404, 
30, 150, 403, 150, 401, 150, 440, 150, 371, 150, 409, 150, 404, 
35, 150, 404, 150, 404, 149, 439, 150, 371, 150, 407, 150, 405, 
40, 150, 403, 150, 401, 150, 438, 150, 366, 150, 408, 150, 402, 
45, 150, 402, 150, 398, 150, 437, 150, 367, 150, 404, 150, 400, 
50, 150, 402, 150, 401, 150, 439, 150, 366, 150, 404, 148, 396, 
55, 150, 403, 150, 400, 150, 439, 150, 366, 150, 406, 149, 400, 
60, 150, 405, 150, 401, 150, 442, 149, 370, 149, 408, 149, 401, 
65, 150, 405, 150, 402, 150, 443, 150, 370, 150, 409, 149, 404, 
70, 150, 404, 150, 403, 150, 445, 150, 368, 150, 409, 149, 402, 
75, 150, 405, 150, 403, 150, 444, 149, 370, 150, 411, 150, 405, 
80, 150, 405, 150, 402, 150, 442, 150, 371, 150, 410, 150, 404, 
85, 150, 405, 150, 401, 149, 441, 150, 369, 150, 408, 149, 402, 
90, 150, 403, 150, 402, 150, 439, 150, 366, 150, 406, 149, 401, 
95, 150, 402, 150, 402, 150, 437, 150, 369, 150, 404, 149, 400, 
100, 150, 401, 150, 401, 150, 438, 150, 366, 150, 405, 150, 403, 
105, 150, 401, 150, 400, 150, 436, 150, 365, 150, 402, 150, 403, 
110, 150, 402, 150, 397, 150, 436, 150, 368, 150, 404, 149, 400, 
115, 150, 401, 150, 398, 150, 436, 150, 368, 150, 403, 150, 403, 
120, 150, 401, 150, 399, 150, 437, 150, 367, 150, 400, 151, 404, 
125, 150, 402, 150, 397, 149, 431, 150, 367, 150, 402, 150, 402, 
130, 150, 401, 150, 400, 151, 437, 150, 366, 150, 398, 150, 403, 
135, 150, 402, 150, 397, 150, 436, 150, 366, 150, 398, 150, 404, 
140, 150, 400, 150, 401, 150, 434, 150, 364, 150, 399, 149, 402, 
145, 150, 399, 150, 401, 150, 433, 150, 365, 150, 395, 150, 406, 
150, 150, 399, 150, 401, 150, 433, 149, 364, 150, 395, 149, 405, 
155, 150, 403, 149, 398, 149, 434, 149, 361, 150, 397, 150, 406, 
160, 150, 402, 150, 398, 150, 434, 150, 366, 150, 399, 149, 406, 
165, 150, 401, 150, 402, 150, 434, 150, 362, 150, 399, 149, 406, 
170, 150, 402, 150, 400, 150, 435, 150, 362, 150, 396, 150, 409, 
175, 150, 402, 150, 400, 149, 435, 150, 366, 150, 399, 149, 407, 
180, 150, 400, 150, 400, 150, 436, 150, 366, 150, 397, 150, 410, 
185, 150, 401, 150, 400, 150, 433, 150, 361, 150, 396, 150, 408, 
190, 150, 398, 150, 401, 150, 436, 150, 365, 150, 397, 149, 411, 
195, 150, 400, 150, 402, 150, 434, 150, 365, 150, 394, 149, 408, 
200, 150, 399, 150, 400, 150, 432, 150, 362, 150, 395, 149, 408, 
205, 150, 399, 150, 399, 150, 434, 150, 364, 150, 394, 149, 410, 
210, 150, 396, 150, 398, 150, 434, 150, 365, 149, 392, 149, 411, 
215, 150, 395, 150, 400, 150, 433, 150, 362, 149, 394, 150, 409, 
220, 150, 396, 150, 398, 150, 433, 150, 364, 150, 391, 149, 408, 
225, 149, 394, 150, 398, 149, 430, 150, 364, 150, 393, 149, 411, 
230, 150, 395, 150, 395, 150, 431, 150, 365, 150, 393, 149, 407, 
235, 150, 394, 150, 394, 150, 430, 150, 362, 150, 391, 149, 407, 
240, 150, 393, 150, 395, 150, 431, 150, 362, 150, 389, 149, 405, 
245, 150, 390, 150, 396, 150, 430, 150, 362, 150, 388, 149, 406, 
250, 150, 393, 150, 392, 150, 433, 150, 362, 149, 385, 150, 405, 
255, 150, 393, 149, 393, 150, 431, 150, 362, 150, 388, 149, 404, 
260, 150, 389, 150, 391, 150, 429, 150, 362, 150, 390, 150, 407, 
265, 150, 391, 149, 389, 149, 430, 150, 363, 150, 389, 149, 405, 
270, 150, 390, 150, 390, 149, 429, 150, 360, 150, 385, 150, 403, 
275, 150, 389, 150, 391, 150, 429, 150, 360, 150, 384, 149, 404, 
280, 150, 389, 150, 390, 149, 428, 150, 361, 150, 383, 150, 403, 
285, 150, 389, 150, 388, 149, 427, 150, 362, 150, 384, 150, 403, 
290, 150, 388, 150, 387, 150, 428, 150, 359, 150, 383, 149, 401, 
295, 150, 387, 150, 386, 149, 427, 150, 362, 150, 384, 149, 400, 
300, 150, 387, 150, 384, 150, 426, 150, 361, 150, 382, 150, 399, 
305, 150, 387, 150, 386, 150, 424, 150, 357, 150, 380, 149, 399, 
310, 150, 387, 150, 388, 150, 424, 149, 357, 150, 380, 150, 399, 
315, 149, 380, 150, 385, 150, 425, 150, 358, 150, 378, 150, 400, 
320, 150, 383, 150, 384, 150, 425, 150, 360, 150, 377, 150, 399, 
325, 150, 381, 150, 385, 150, 423, 150, 359, 150, 376, 149, 396, 
330, 150, 382, 150, 386, 150, 422, 150, 357, 149, 375, 149, 397, 
