t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, -1, 151, 0, 150, 0, 149, 1, 150, 0, 150, 0, 
10, 149, -2, 150, 0, 149, 0, 149, 1, 149, 0, 149, 0, 
15, 149, -1, 151, 0, 150, 0, 149, 1, 149, 0, 150, 0, 
20, 149, -1, 149, 0, 150, 0, 149, 1, 150, 0, 149, 0, 
25, 149, -2, 151, 0, 150, 0, 150, 1, 149, 0, 149, 0, 
30, 149, -1, 151, 0, 149, 0, 149, 1, 149, 0, 150, 0, 
35, 150, -1, 147, 0, 150, 0, 149, 1, 150, 0, 149, 0, 
40, 150, -1, 151, 0, 149, 0, 149, 1, 150, 0, 149, 0, 
45, 150, -1, 150, 0, 150, 0, 149, 1, 149, 0, 150, 0, 
50, 149, -1, 151, 0, 149, 0, 150, 1, 150, 0, 150, 0, 
55, 150, -1, 151, 0, 150, 0, 150, 1, 149, 0, 150, 0, 
60, 150, -2, 149, 0, 149, 0, 150, 1, 149, 0, 150, 0, 
65, 150, -1, 149, 0, 150, 0, 150, 1, 149, 0, 150, 0, 
70, 149, -1, 147, 0, 149, 0, 150, 1, 150, 0, 150, 0, 
75, 150, -1, 148, 0, 149, 0, 150, 1, 150, 0, 149, 0, 
80, 150, -1, 150, 0, 149, 0, 149, 1, 150, 0, 149, 0, 
85, 149, -1, 151, 0, 150, 0, 149, 1, 150, 0, 150, 0, 
90, 149, -2, 150, 0, 149, 0, 150, 1, 150, 0, 150, 0, 
95, 150, -1, 151, 0, 150, 0, 149, 1, 150, 0, 149, 0, 
100, 149, -1, 150, 0, 150, 0, 150, 1, 149, 0, 150, 0, 
105, 150, -2, 148, 0, 150, 0, 149, 1, 149, 0, 150, 0, 
110, 149, -1, 150, 0, 149, 0, 150, 1, 149, 0, 149, 0, 
115, 149, -1, 149, 0, 150, 0, 150, 1, 150, 0, 149, 0, 
