t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 427, 149, 420, 149, 418, 149, 423, 149, 421, 150, 422, 
10, 149, 427, 149, 420, 149, 417, 149, 421, 150, 420, 149, 419, 
15, 150, 427, 150, 420, 149, 417, 150, 422, 149, 420, 149, 419, 
20, 150, 427, 150, 420, 149, 417, 150, 421, 150, 420, 149, 418, 
25, 150, 427, 150, 419, 150, 417, 150, 422, 149, 420, 149, 418, 
30, 150, 428, 150, 418, 149, 416, 150, 420, 150, 420, 150, 418, 
35, 149, 427, 149, 417, 149, 416, 150, 420, 149, 420, 149, 417, 
40, 149, 427, 150, 417, 150, 414, 149, 419, 150, 420, 150, 417, 
45, 150, 426, 150, 416, 149, 413, 150, 418, 149, 419, 150, 416, 
50, 149, 424, 150, 415, 149, 411, 150, 416, 149, 418, 150, 414, 
55, 149, 422, 149, 411, 149, 409, 150, 414, 149, 417, 150, 412, 
60, 150, 420, 150, 411, 149, 407, 150, 412, 149, 416, 150, 410, 
65, 149, 417, 150, 409, 150, 406, 150, 409, 150, 415, 150, 409, 
70, 149, 415, 149, 407, 150, 404, 150, 407, 149, 414, 149, 406, 
75, 150, 413, 150, 404, 149, 402, 150, 405, 150, 413, 149, 405, 
80, 150, 411, 149, 401, 150, 400, 149, 403, 149, 411, 149, 402, 
85, 149, 409, 149, 399, 149, 399, 149, 401, 149, 409, 149, 400, 
90, 149, 407, 149, 397, 149, 398, 150, 399, 150, 407, 149, 397, 
95, 150, 405, 150, 396, 149, 397, 150, 397, 149, 405, 149, 396, 
100, 150, 404, 149, 394, 150, 396, 149, 395, 149, 404, 149, 394, 
105, 149, 403, 150, 394, 150, 395, 149, 394, 149, 403, 149, 393, 
110, 149, 402, 149, 393, 149, 394, 149, 393, 150, 402, 150, 393, 
115, 149, 402, 150, 393, 149, 394, 150, 392, 150, 401, 149, 392, 
120, 150, 402, 150, 392, 149, 393, 149, 391, 149, 399, 150, 392, 
125, 149, 401, 150, 392, 149, 393, 149, 391, 149, 399, 149, 391, 
130, 149, 401, 149, 392, 149, 393, 149, 390, 150, 398, 150, 391, 
135, 149, 401, 149, 392, 149, 393, 149, 390, 149, 397, 150, 390, 
140, 149, 401, 149, 393, 149, 392, 150, 390, 149, 397, 149, 390, 
145, 150, 402, 150, 393, 150, 393, 149, 390, 149, 396, 150, 389, 
150, 149, 402, 149, 394, 150, 392, 149, 390, 149, 396, 150, 389, 
155, 149, 402, 150, 394, 149, 392, 149, 390, 150, 396, 150, 389, 
160, 149, 402, 150, 395, 150, 393, 150, 391, 150, 395, 150, 389, 
165, 149, 403, 149, 396, 150, 393, 150, 392, 150, 396, 149, 389, 
170, 149, 403, 150, 397, 149, 394, 150, 392, 149, 395, 150, 389, 
175, 149, 404, 150, 397, 149, 394, 149, 392, 150, 395, 150, 390, 
180, 150, 405, 150, 398, 149, 395, 150, 393, 150, 395, 150, 390, 
185, 149, 405, 149, 399, 149, 395, 150, 393, 150, 395, 150, 390, 
190, 149, 405, 150, 400, 149, 395, 150, 393, 150, 395, 149, 390, 
195, 149, 406, 150, 401, 150, 396, 149, 394, 150, 395, 150, 391, 
200, 149, 407, 150, 401, 149, 396, 149, 395, 150, 395, 150, 391, 
205, 149, 407, 150, 402, 149, 397, 149, 395, 149, 395, 150, 391, 
210, 149, 408, 149, 402, 149, 397, 150, 396, 150, 395, 150, 392, 
215, 149, 408, 150, 404, 149, 398, 150, 397, 149, 395, 150, 392, 
220, 149, 409, 150, 404, 149, 398, 149, 397, 149, 395, 150, 393, 
225, 150, 410, 149, 405, 149, 398, 150, 398, 149, 395, 150, 393, 
230, 150, 410, 150, 406, 149, 399, 150, 398, 149, 395, 150, 393, 
235, 149, 410, 150, 407, 149, 399, 150, 399, 150, 395, 150, 394, 
240, 149, 411, 150, 407, 149, 400, 149, 399, 150, 395, 150, 394, 
245, 150, 411, 150, 408, 149, 400, 150, 400, 149, 395, 150, 394, 
250, 149, 412, 150, 408, 149, 401, 150, 400, 150, 395, 150, 395, 
255, 150, 412, 150, 409, 150, 401, 149, 400, 149, 395, 150, 395, 
260, 149, 412, 150, 410, 150, 401, 149, 401, 150, 395, 150, 395, 
265, 149, 412, 149, 410, 149, 402, 149, 401, 150, 395, 150, 395, 
270, 150, 413, 150, 411, 149, 402, 149, 401, 149, 395, 150, 396, 
275, 149, 413, 149, 410, 149, 402, 149, 402, 150, 394, 150, 396, 
280, 150, 414, 150, 411, 149, 403, 149, 402, 149, 394, 149, 396, 
285, 149, 414, 149, 411, 149, 403, 149, 402, 150, 394, 150, 396, 
290, 149, 414, 150, 412, 150, 403, 149, 402, 149, 394, 150, 397, 
295, 149, 414, 150, 412, 149, 404, 150, 403, 150, 394, 150, 397, 
300, 149, 414, 150, 412, 150, 404, 149, 403, 149, 394, 149, 397, 
305, 149, 414, 150, 413, 150, 405, 150, 403, 150, 394, 149, 397, 
310, 149, 414, 150, 413, 149, 405, 149, 403, 149, 394, 150, 397, 
315, 149, 415, 149, 413, 149, 405, 149, 403, 150, 394, 149, 397, 
320, 149, 415, 149, 413, 149, 405, 150, 403, 149, 394, 149, 397, 
325, 149, 415, 150, 414, 149, 405, 149, 403, 149, 394, 150, 397, 
330, 150, 415, 149, 413, 149, 405, 149, 403, 149, 394, 149, 397, 
