t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 445, 150, 462, 149, 494, 150, 416, 150, 454, 149, 456, 
10, 150, 446, 150, 465, 150, 502, 150, 419, 150, 457, 150, 462, 
15, 150, 453, 150, 470, 150, 504, 150, 421, 150, 461, 150, 461, 
20, 150, 452, 150, 470, 149, 509, 150, 426, 150, 463, 150, 464, 
25, 150, 454, 150, 472, 150, 512, 150, 428, 150, 465, 150, 465, 
30, 150, 455, 150, 474, 150, 511, 150, 427, 150, 466, 149, 460, 
35, 150, 457, 150, 474, 150, 512, 150, 430, 150, 466, 149, 465, 
40, 150, 454, 149, 474, 150, 510, 150, 431, 150, 466, 150, 462, 
45, 150, 455, 150, 476, 150, 511, 150, 431, 150, 467, 149, 461, 
50, 150, 458, 150, 477, 150, 510, 150, 425, 150, 465, 150, 460, 
55, 150, 455, 150, 478, 150, 512, 150, 426, 150, 466, 150, 460, 
60, 150, 454, 150, 475, 150, 513, 150, 425, 149, 461, 149, 461, 
65, 150, 454, 150, 475, 150, 510, 150, 423, 150, 462, 150, 460, 
70, 150, 457, 150, 474, 150, 508, 150, 418, 150, 462, 149, 454, 
75, 150, 454, 150, 473, 150, 507, 150, 418, 150, 459, 149, 455, 
80, 150, 454, 150, 474, 150, 506, 149, 416, 150, 458, 151, 460, 
85, 150, 450, 150, 473, 149, 505, 150, 416, 150, 456, 149, 455, 
90, 150, 452, 150, 471, 150, 503, 150, 420, 150, 455, 150, 455, 
95, 150, 449, 150, 471, 150, 505, 149, 415, 150, 453, 149, 453, 
100, 150, 447, 150, 470, 150, 502, 150, 417, 150, 453, 149, 454, 
105, 150, 450, 150, 468, 150, 500, 150, 415, 150, 451, 150, 454, 
110, 150, 446, 150, 469, 150, 501, 150, 416, 150, 449, 149, 451, 
115, 150, 449, 149, 471, 150, 502, 149, 416, 150, 447, 150, 452, 
120, 150, 444, 150, 471, 150, 501, 150, 414, 150, 447, 150, 450, 
125, 150, 447, 150, 469, 150, 502, 150, 415, 150, 447, 149, 450, 
130, 150, 444, 150, 468, 150, 501, 150, 419, 150, 448, 149, 449, 
135, 150, 446, 150, 469, 150, 502, 150, 416, 150, 447, 150, 448, 
140, 150, 442, 150, 471, 149, 503, 150, 416, 150, 446, 150, 448, 
145, 150, 443, 150, 470, 150, 502, 150, 417, 150, 446, 150, 448, 
150, 150, 445, 150, 468, 150, 503, 150, 415, 150, 446, 149, 445, 
155, 150, 442, 150, 468, 150, 503, 150, 420, 150, 448, 151, 449, 
160, 150, 446, 150, 467, 150, 503, 150, 419, 149, 444, 149, 449, 
165, 150, 447, 150, 468, 150, 504, 149, 419, 150, 449, 150, 446, 
170, 150, 446, 150, 471, 149, 503, 150, 419, 150, 448, 149, 446, 
175, 150, 441, 150, 466, 149, 501, 150, 421, 150, 447, 149, 446, 
180, 150, 437, 150, 472, 150, 503, 150, 416, 150, 445, 150, 446, 
185, 150, 436, 150, 469, 149, 504, 149, 420, 150, 445, 149, 449, 
190, 150, 437, 150, 470, 150, 506, 150, 420, 150, 448, 149, 448, 
195, 150, 437, 150, 467, 150, 505, 150, 412, 150, 447, 149, 446, 
200, 150, 438, 150, 467, 150, 507, 150, 419, 150, 448, 149, 448, 
205, 150, 435, 150, 471, 149, 505, 150, 420, 150, 447, 149, 450, 
210, 150, 435, 150, 469, 150, 507, 150, 417, 150, 449, 150, 449, 
215, 150, 439, 150, 466, 150, 507, 150, 422, 150, 448, 149, 450, 
220, 150, 436, 150, 466, 150, 507, 150, 417, 150, 448, 149, 450, 
225, 150, 443, 150, 466, 150, 506, 149, 418, 150, 451, 149, 446, 
230, 150, 439, 150, 465, 150, 508, 150, 418, 150, 449, 149, 446, 
235, 150, 445, 150, 466, 150, 508, 150, 419, 150, 450, 149, 446, 
240, 150, 439, 150, 469, 150, 510, 149, 415, 150, 450, 150, 448, 
245, 150, 439, 150, 465, 150, 509, 150, 422, 150, 454, 149, 446, 
250, 150, 442, 150, 464, 150, 512, 149, 423, 149, 449, 150, 447, 
255, 150, 442, 149, 463, 150, 513, 150, 420, 150, 449, 149, 446, 
260, 150, 437, 150, 465, 150, 513, 150, 423, 150, 449, 150, 449, 
265, 150, 439, 150, 461, 150, 511, 150, 422, 150, 452, 150, 445, 
270, 150, 442, 150, 466, 150, 514, 149, 423, 150, 451, 150, 449, 
275, 150, 438, 150, 461, 150, 513, 150, 425, 150, 453, 150, 445, 
280, 150, 438, 150, 465, 150, 516, 150, 420, 150, 455, 149, 443, 
285, 150, 442, 150, 463, 150, 516, 150, 417, 150, 455, 149, 444, 
290, 150, 439, 150, 465, 150, 515, 150, 420, 150, 457, 149, 444, 
295, 150, 443, 150, 462, 150, 518, 149, 421, 150, 458, 149, 441, 
300, 150, 440, 150, 462, 150, 515, 150, 418, 150, 457, 150, 442, 
305, 150, 439, 150, 461, 150, 514, 150, 421, 150, 458, 150, 443, 
310, 150, 436, 150, 462, 150, 517, 150, 420, 150, 458, 150, 443, 
315, 150, 436, 150, 462, 150, 517, 150, 421, 149, 456, 149, 440, 
320, 150, 435, 150, 461, 150, 517, 150, 424, 150, 457, 149, 442, 
325, 150, 435, 150, 464, 150, 515, 150, 420, 150, 457, 149, 441, 
330, 150, 435, 150, 460, 149, 516, 150, 423, 150, 455, 149, 440, 
