t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 476, 150, 465, 149, 505, 150, 425, 150, 470, 149, 481, 
10, 150, 479, 150, 466, 150, 510, 150, 428, 150, 471, 149, 482, 
15, 150, 484, 150, 470, 150, 509, 150, 428, 150, 475, 149, 480, 
20, 150, 487, 150, 473, 150, 510, 150, 431, 150, 473, 149, 482, 
25, 149, 485, 150, 472, 150, 511, 150, 429, 150, 476, 149, 479, 
30, 150, 487, 150, 470, 150, 513, 150, 430, 150, 475, 149, 483, 
35, 151, 489, 150, 474, 148, 508, 150, 431, 150, 474, 150, 486, 
40, 149, 484, 149, 471, 150, 515, 150, 428, 150, 472, 150, 479, 
45, 150, 485, 150, 469, 149, 511, 150, 428, 150, 470, 150, 478, 
50, 150, 481, 150, 469, 150, 510, 149, 426, 150, 470, 149, 474, 
55, 150, 482, 150, 466, 150, 508, 150, 427, 150, 470, 150, 477, 
60, 150, 483, 150, 470, 150, 507, 150, 428, 150, 469, 149, 476, 
65, 150, 482, 150, 466, 150, 506, 150, 424, 150, 468, 150, 477, 
70, 150, 477, 149, 465, 150, 502, 150, 422, 150, 467, 150, 476, 
75, 150, 478, 150, 466, 150, 504, 150, 421, 150, 463, 149, 472, 
80, 150, 478, 150, 465, 150, 498, 150, 420, 150, 463, 150, 473, 
85, 150, 476, 150, 463, 150, 500, 150, 418, 150, 462, 150, 473, 
90, 150, 475, 150, 462, 150, 496, 150, 418, 150, 461, 150, 473, 
95, 150, 474, 150, 461, 150, 495, 150, 419, 150, 458, 150, 471, 
100, 150, 471, 150, 460, 150, 493, 150, 418, 150, 456, 149, 471, 
105, 149, 469, 150, 458, 150, 495, 150, 415, 150, 458, 149, 467, 
110, 150, 468, 150, 458, 150, 495, 149, 414, 150, 457, 149, 463, 
115, 150, 466, 150, 457, 150, 493, 150, 415, 150, 454, 149, 466, 
120, 149, 469, 150, 454, 150, 494, 150, 416, 149, 456, 149, 466, 
125, 150, 467, 150, 457, 150, 495, 150, 416, 150, 456, 150, 464, 
130, 150, 466, 150, 453, 150, 494, 150, 415, 150, 456, 150, 463, 
135, 150, 466, 150, 455, 148, 483, 150, 416, 150, 455, 149, 464, 
140, 149, 466, 150, 453, 150, 491, 149, 417, 150, 456, 150, 462, 
145, 150, 468, 150, 457, 150, 491, 150, 416, 150, 457, 150, 462, 
150, 149, 468, 150, 457, 150, 491, 150, 415, 150, 459, 149, 457, 
155, 150, 468, 150, 457, 150, 492, 150, 418, 150, 454, 150, 460, 
160, 150, 466, 150, 457, 150, 491, 150, 419, 150, 452, 149, 459, 
165, 150, 469, 150, 456, 150, 490, 150, 418, 150, 455, 150, 459, 
170, 150, 465, 150, 456, 150, 488, 150, 418, 150, 456, 150, 460, 
175, 150, 465, 150, 453, 150, 490, 150, 416, 150, 457, 149, 453, 
180, 150, 466, 150, 453, 150, 487, 150, 419, 150, 456, 149, 458, 
185, 150, 465, 150, 455, 150, 486, 150, 417, 150, 456, 150, 456, 
190, 150, 465, 150, 454, 150, 489, 149, 419, 150, 456, 148, 452, 
195, 150, 466, 150, 454, 150, 489, 150, 419, 150, 456, 150, 453, 
200, 150, 465, 150, 451, 150, 487, 150, 420, 150, 455, 149, 457, 
205, 150, 466, 150, 453, 150, 487, 150, 420, 149, 455, 149, 457, 
210, 150, 465, 150, 450, 149, 487, 150, 422, 150, 455, 149, 457, 
215, 150, 465, 150, 453, 150, 484, 150, 425, 150, 454, 149, 454, 
220, 150, 463, 150, 451, 150, 484, 150, 422, 150, 458, 150, 455, 
225, 150, 465, 150, 452, 149, 483, 150, 423, 151, 459, 150, 456, 
230, 150, 465, 150, 450, 149, 482, 150, 426, 150, 455, 150, 457, 
235, 150, 466, 150, 449, 150, 482, 150, 425, 150, 458, 149, 454, 
240, 150, 466, 150, 450, 150, 484, 150, 424, 150, 456, 150, 457, 
245, 150, 465, 150, 450, 150, 483, 149, 424, 151, 462, 149, 451, 
250, 150, 463, 150, 447, 149, 480, 150, 425, 150, 459, 149, 454, 
255, 150, 465, 150, 448, 150, 481, 150, 424, 150, 457, 149, 449, 
260, 150, 464, 150, 445, 149, 478, 150, 427, 150, 457, 149, 456, 
265, 150, 463, 150, 449, 150, 479, 150, 427, 150, 455, 149, 454, 
270, 150, 462, 150, 448, 150, 479, 150, 428, 149, 457, 150, 455, 
275, 150, 462, 150, 446, 149, 474, 150, 427, 150, 455, 149, 450, 
280, 150, 464, 149, 446, 150, 478, 150, 427, 150, 456, 149, 455, 
285, 150, 463, 150, 445, 150, 477, 150, 428, 150, 456, 150, 455, 
290, 150, 462, 150, 446, 149, 475, 150, 427, 149, 455, 149, 452, 
295, 150, 462, 150, 444, 150, 475, 150, 427, 150, 456, 149, 451, 
300, 150, 461, 150, 445, 150, 472, 150, 430, 150, 457, 150, 453, 
305, 150, 458, 150, 445, 150, 472, 150, 431, 150, 457, 149, 454, 
310, 150, 460, 150, 445, 150, 473, 150, 429, 150, 456, 149, 448, 
315, 150, 459, 150, 444, 150, 471, 150, 431, 150, 456, 150, 453, 
320, 150, 458, 150, 447, 150, 471, 150, 434, 150, 454, 150, 450, 
325, 150, 458, 150, 444, 149, 469, 149, 432, 150, 455, 149, 454, 
330, 150, 456, 150, 446, 149, 467, 150, 433, 149, 453, 150, 450, 
