t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 15, 150, 0, 149, 3, 150, 6, 150, -2, 150, 1, 
10, 150, 18, 149, 1, 149, 3, 150, 7, 149, -1, 150, 0, 
15, 144, 2, 147, 24, 146, 3, 145, 6, 147, -2, 146, 0, 
20, 149, 5, 149, 15, 150, 3, 150, 6, 150, -1, 150, 2, 
25, 149, 5, 149, 1, 150, 19, 149, 6, 150, -2, 149, 1, 
30, 151, 7, 151, 2, 150, 3, 151, 6, 149, 0, 149, 1, 
35, 149, 4, 150, 3, 149, 4, 150, 18, 150, -1, 150, 0, 
40, 150, 5, 150, 0, 150, 3, 149, 3, 149, -1, 150, -1, 
45, 149, 2, 150, 1, 150, 3, 149, 6, 150, -2, 149, 15, 
50, 150, 6, 150, 1, 150, 4, 149, 3, 149, 0, 150, -1, 
55, 149, 4, 149, 1, 150, 4, 150, 5, 149, -2, 149, 0, 
