t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 434, 150, 442, 149, 433, 149, 439, 149, 434, 150, 428, 
10, 150, 437, 149, 444, 150, 436, 149, 442, 150, 436, 150, 429, 
15, 150, 437, 149, 445, 149, 436, 150, 443, 149, 436, 150, 429, 
20, 149, 437, 149, 446, 150, 437, 149, 443, 150, 436, 150, 429, 
25, 150, 439, 149, 446, 150, 437, 149, 444, 150, 435, 149, 428, 
30, 150, 439, 150, 446, 150, 436, 149, 443, 149, 434, 150, 427, 
35, 150, 440, 149, 445, 149, 435, 149, 443, 149, 434, 150, 427, 
40, 150, 439, 149, 445, 149, 434, 149, 444, 149, 434, 150, 426, 
45, 150, 437, 149, 445, 149, 434, 150, 444, 149, 434, 150, 426, 
50, 149, 438, 150, 445, 149, 433, 150, 443, 149, 435, 150, 426, 
55, 150, 439, 150, 445, 149, 434, 149, 442, 150, 436, 150, 425, 
60, 150, 438, 149, 444, 149, 433, 150, 444, 149, 437, 150, 425, 
65, 150, 439, 149, 443, 150, 435, 149, 443, 150, 438, 150, 425, 
70, 150, 438, 150, 442, 150, 435, 149, 443, 150, 440, 150, 425, 
75, 149, 436, 150, 442, 150, 435, 150, 443, 149, 441, 150, 426, 
80, 150, 435, 149, 441, 149, 435, 150, 442, 150, 444, 150, 426, 
85, 150, 434, 149, 441, 149, 434, 149, 441, 150, 446, 150, 426, 
90, 150, 432, 149, 440, 149, 436, 149, 440, 150, 448, 150, 426, 
95, 150, 431, 150, 440, 150, 436, 149, 438, 149, 449, 150, 427, 
100, 150, 430, 149, 439, 150, 436, 149, 437, 150, 452, 150, 427, 
105, 149, 429, 149, 439, 150, 437, 149, 436, 150, 454, 150, 428, 
110, 150, 430, 150, 439, 150, 437, 150, 436, 150, 457, 150, 429, 
115, 149, 429, 149, 439, 150, 437, 149, 434, 150, 458, 150, 431, 
120, 149, 430, 149, 439, 149, 437, 149, 434, 149, 460, 149, 431, 
125, 149, 429, 149, 439, 150, 438, 149, 433, 149, 462, 150, 433, 
130, 149, 430, 150, 440, 150, 439, 150, 434, 149, 462, 150, 435, 
135, 150, 431, 149, 441, 150, 440, 149, 433, 149, 465, 150, 437, 
140, 150, 431, 149, 442, 150, 441, 149, 434, 149, 466, 150, 438, 
145, 149, 432, 149, 443, 149, 442, 149, 434, 149, 467, 150, 441, 
150, 149, 433, 149, 444, 150, 443, 149, 435, 149, 468, 150, 442, 
155, 149, 434, 150, 446, 150, 445, 149, 435, 149, 470, 150, 445, 
160, 150, 435, 149, 447, 150, 446, 149, 436, 150, 471, 150, 446, 
165, 150, 436, 149, 449, 150, 448, 149, 437, 149, 472, 150, 448, 
170, 150, 437, 149, 450, 150, 449, 149, 438, 149, 473, 150, 450, 
175, 149, 438, 150, 452, 150, 450, 149, 439, 149, 475, 150, 452, 
180, 150, 439, 150, 454, 150, 452, 149, 440, 149, 477, 150, 453, 
185, 150, 441, 149, 456, 150, 453, 149, 440, 149, 477, 150, 455, 
190, 150, 441, 149, 458, 150, 453, 149, 442, 149, 479, 150, 457, 
195, 150, 441, 150, 460, 149, 454, 149, 443, 149, 479, 150, 458, 
200, 150, 442, 150, 462, 149, 456, 149, 444, 149, 481, 150, 459, 
205, 150, 444, 150, 463, 150, 457, 149, 444, 149, 482, 150, 461, 
210, 150, 444, 150, 465, 150, 459, 149, 445, 150, 484, 150, 462, 
215, 150, 445, 150, 466, 150, 460, 149, 446, 150, 484, 150, 464, 
220, 149, 446, 149, 467, 150, 460, 149, 447, 149, 485, 150, 466, 
225, 150, 447, 149, 469, 150, 461, 149, 449, 149, 487, 150, 467, 
230, 150, 448, 149, 470, 150, 462, 150, 450, 149, 487, 150, 469, 
235, 150, 449, 149, 471, 150, 462, 149, 451, 150, 489, 150, 471, 
240, 150, 450, 150, 472, 150, 463, 149, 452, 149, 489, 150, 473, 
245, 150, 452, 149, 473, 149, 463, 149, 454, 149, 490, 150, 474, 
250, 149, 452, 149, 473, 150, 464, 149, 454, 149, 490, 150, 476, 
255, 149, 454, 149, 475, 150, 464, 149, 455, 150, 492, 150, 477, 
260, 150, 455, 150, 476, 150, 465, 149, 456, 150, 494, 150, 479, 
265, 150, 457, 149, 477, 150, 465, 149, 458, 149, 490, 150, 480, 
270, 150, 458, 149, 478, 150, 465, 149, 458, 150, 494, 150, 482, 
275, 150, 460, 149, 479, 150, 465, 149, 460, 150, 494, 149, 484, 
280, 150, 461, 150, 481, 150, 465, 149, 461, 149, 494, 150, 485, 
285, 150, 463, 149, 482, 150, 465, 149, 463, 149, 494, 150, 486, 
290, 150, 464, 149, 483, 150, 466, 150, 464, 149, 496, 150, 488, 
295, 150, 466, 150, 485, 150, 467, 149, 465, 149, 496, 150, 489, 
300, 149, 467, 150, 486, 150, 467, 149, 466, 150, 498, 150, 490, 
305, 150, 469, 150, 487, 150, 469, 149, 467, 149, 497, 150, 492, 
310, 149, 469, 149, 487, 150, 469, 149, 468, 149, 497, 150, 493, 
315, 149, 470, 150, 488, 150, 470, 149, 468, 149, 498, 150, 494, 
320, 150, 471, 150, 489, 150, 471, 149, 469, 149, 497, 150, 496, 
325, 150, 472, 149, 489, 150, 471, 149, 470, 149, 498, 150, 498, 
330, 150, 472, 149, 489, 150, 471, 149, 471, 149, 497, 150, 498, 
