t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 415, 150, 415, 149, 412, 149, 418, 150, 409, 150, 419, 
10, 150, 414, 150, 414, 149, 412, 149, 419, 150, 409, 150, 418, 
15, 150, 414, 150, 414, 150, 412, 150, 419, 150, 409, 150, 418, 
20, 150, 414, 150, 414, 149, 412, 149, 418, 150, 408, 150, 417, 
25, 150, 413, 150, 413, 149, 412, 149, 418, 150, 408, 150, 417, 
30, 150, 413, 150, 413, 150, 412, 150, 418, 150, 408, 150, 417, 
35, 150, 413, 150, 413, 149, 411, 149, 417, 150, 407, 150, 417, 
40, 150, 412, 150, 413, 149, 411, 149, 416, 150, 407, 150, 417, 
45, 150, 411, 150, 413, 149, 411, 149, 416, 150, 406, 150, 416, 
50, 150, 410, 150, 412, 149, 409, 150, 415, 150, 405, 150, 415, 
55, 150, 410, 150, 411, 149, 409, 150, 414, 150, 403, 150, 414, 
60, 150, 409, 150, 410, 149, 408, 150, 414, 150, 403, 150, 414, 
65, 150, 409, 150, 410, 149, 406, 149, 410, 150, 402, 150, 414, 
70, 150, 410, 150, 408, 149, 405, 149, 410, 149, 400, 150, 413, 
75, 150, 410, 150, 407, 149, 405, 149, 410, 150, 401, 150, 412, 
80, 150, 411, 150, 406, 149, 404, 149, 410, 150, 401, 150, 410, 
85, 150, 411, 150, 405, 150, 404, 150, 410, 150, 401, 150, 410, 
90, 150, 412, 149, 405, 149, 403, 149, 409, 150, 400, 149, 407, 
95, 150, 412, 150, 404, 149, 404, 149, 410, 150, 400, 149, 407, 
100, 150, 413, 150, 404, 149, 404, 149, 410, 150, 402, 150, 406, 
105, 150, 414, 150, 404, 149, 405, 150, 411, 150, 401, 150, 406, 
110, 150, 416, 150, 405, 149, 407, 149, 411, 150, 403, 150, 405, 
115, 150, 416, 150, 405, 149, 408, 150, 412, 150, 402, 150, 405, 
120, 150, 417, 150, 406, 149, 409, 149, 412, 150, 403, 150, 404, 
125, 150, 418, 150, 407, 149, 412, 149, 413, 150, 404, 150, 404, 
130, 150, 420, 150, 409, 149, 413, 149, 415, 150, 405, 149, 405, 
135, 150, 421, 150, 410, 149, 415, 150, 416, 150, 406, 150, 405, 
140, 150, 422, 150, 412, 150, 417, 149, 418, 150, 407, 150, 405, 
145, 150, 423, 150, 413, 150, 419, 150, 420, 150, 408, 150, 406, 
150, 150, 424, 150, 415, 149, 420, 150, 422, 150, 409, 150, 407, 
155, 150, 425, 150, 417, 150, 422, 149, 422, 150, 411, 151, 410, 
160, 150, 426, 149, 419, 149, 423, 150, 424, 149, 411, 149, 406, 
165, 150, 427, 150, 420, 150, 425, 149, 424, 150, 412, 150, 409, 
170, 150, 428, 150, 422, 149, 426, 149, 426, 150, 413, 150, 410, 
175, 150, 429, 150, 423, 150, 427, 149, 428, 150, 414, 150, 412, 
180, 150, 430, 150, 425, 149, 428, 149, 429, 150, 414, 150, 412, 
185, 150, 430, 150, 426, 150, 429, 150, 430, 150, 417, 150, 413, 
190, 150, 431, 150, 427, 150, 430, 149, 431, 150, 416, 150, 414, 
195, 150, 432, 150, 429, 149, 431, 149, 432, 150, 419, 150, 417, 
200, 150, 432, 149, 430, 149, 432, 150, 434, 150, 418, 150, 416, 
205, 150, 433, 150, 431, 149, 433, 149, 435, 150, 418, 150, 417, 
210, 150, 433, 150, 432, 150, 434, 150, 437, 150, 420, 150, 418, 
215, 150, 434, 149, 433, 149, 435, 149, 436, 150, 420, 149, 419, 
220, 150, 435, 150, 434, 149, 436, 149, 437, 150, 420, 150, 420, 
225, 150, 435, 150, 435, 149, 436, 149, 438, 150, 420, 150, 421, 
230, 150, 436, 150, 436, 150, 437, 149, 439, 149, 420, 150, 422, 
235, 150, 436, 150, 437, 149, 437, 149, 439, 150, 421, 150, 423, 
240, 150, 437, 150, 437, 149, 438, 149, 439, 150, 421, 150, 423, 
245, 150, 437, 150, 438, 149, 438, 149, 440, 149, 420, 150, 425, 
250, 150, 438, 150, 439, 149, 439, 149, 440, 150, 422, 150, 425, 
255, 150, 438, 150, 440, 149, 440, 149, 441, 149, 420, 150, 426, 
260, 150, 439, 150, 440, 149, 440, 149, 442, 150, 422, 150, 427, 
265, 150, 439, 150, 440, 149, 440, 149, 443, 150, 421, 150, 427, 
270, 150, 440, 150, 441, 149, 440, 149, 443, 150, 421, 150, 429, 
275, 150, 440, 150, 441, 149, 441, 149, 444, 150, 421, 150, 429, 
280, 150, 441, 150, 442, 149, 442, 149, 444, 149, 420, 150, 430, 
285, 150, 441, 150, 442, 149, 442, 149, 444, 150, 420, 150, 430, 
290, 150, 441, 150, 442, 149, 442, 149, 444, 150, 420, 150, 431, 
295, 150, 442, 150, 443, 150, 443, 149, 445, 150, 420, 150, 431, 
300, 150, 442, 150, 443, 149, 443, 149, 446, 149, 419, 150, 432, 
305, 150, 442, 150, 444, 150, 443, 149, 446, 150, 420, 150, 433, 
310, 150, 443, 150, 444, 149, 443, 149, 446, 150, 420, 149, 433, 
315, 150, 443, 150, 445, 149, 443, 150, 446, 150, 420, 150, 434, 
320, 150, 443, 150, 445, 150, 444, 150, 447, 150, 420, 150, 434, 
325, 150, 444, 150, 445, 149, 444, 149, 447, 149, 419, 150, 435, 
330, 150, 444, 150, 445, 149, 444, 149, 448, 150, 420, 149, 435, 
