t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 491, 150, 493, 150, 488, 149, 487, 150, 492, 149, 494, 
10, 149, 492, 150, 493, 149, 489, 150, 488, 150, 493, 149, 495, 
15, 149, 492, 150, 493, 150, 489, 150, 487, 150, 492, 149, 494, 
20, 149, 492, 150, 493, 149, 489, 150, 487, 150, 492, 149, 494, 
25, 149, 492, 149, 493, 149, 489, 150, 487, 150, 492, 149, 494, 
30, 149, 492, 150, 494, 149, 489, 149, 484, 150, 492, 149, 494, 
35, 149, 492, 150, 494, 149, 488, 150, 485, 150, 492, 149, 494, 
40, 149, 492, 149, 494, 149, 487, 150, 484, 150, 491, 149, 493, 
45, 149, 490, 150, 494, 150, 487, 150, 482, 150, 492, 149, 492, 
50, 149, 489, 149, 494, 149, 486, 150, 482, 150, 491, 150, 491, 
55, 149, 489, 150, 493, 149, 486, 149, 479, 150, 491, 149, 488, 
60, 150, 489, 150, 493, 150, 485, 150, 480, 150, 490, 150, 488, 
65, 149, 488, 150, 488, 149, 483, 150, 479, 150, 491, 149, 486, 
70, 149, 489, 150, 487, 150, 483, 149, 478, 150, 490, 149, 486, 
75, 149, 491, 150, 485, 149, 483, 149, 477, 150, 489, 149, 487, 
80, 149, 493, 150, 485, 149, 484, 150, 478, 150, 488, 150, 488, 
85, 150, 496, 150, 484, 149, 486, 149, 478, 150, 487, 149, 489, 
90, 150, 500, 150, 484, 150, 488, 150, 478, 150, 487, 150, 492, 
95, 150, 503, 150, 484, 149, 490, 149, 479, 149, 487, 150, 494, 
100, 149, 506, 150, 484, 150, 492, 150, 480, 150, 487, 149, 496, 
105, 149, 510, 150, 484, 149, 495, 150, 481, 150, 488, 150, 500, 
110, 149, 514, 149, 485, 149, 498, 150, 483, 150, 489, 150, 504, 
115, 149, 517, 150, 487, 149, 501, 150, 484, 150, 490, 149, 507, 
120, 149, 521, 150, 488, 150, 504, 149, 486, 149, 492, 149, 510, 
125, 150, 524, 150, 490, 150, 507, 150, 489, 150, 493, 150, 514, 
130, 149, 528, 150, 493, 149, 511, 149, 490, 149, 495, 149, 517, 
135, 149, 532, 150, 495, 150, 514, 149, 492, 150, 497, 149, 519, 
140, 149, 535, 150, 498, 150, 517, 149, 495, 150, 499, 149, 524, 
145, 150, 539, 150, 501, 149, 521, 150, 497, 150, 501, 150, 527, 
150, 149, 543, 150, 503, 149, 524, 149, 500, 150, 503, 149, 530, 
155, 149, 547, 150, 506, 149, 527, 150, 502, 150, 506, 150, 534, 
160, 149, 550, 150, 509, 149, 530, 149, 503, 150, 508, 149, 536, 
165, 150, 553, 150, 512, 149, 534, 149, 507, 150, 510, 150, 540, 
170, 149, 556, 150, 515, 149, 537, 150, 509, 150, 512, 149, 542, 
175, 149, 559, 150, 518, 150, 540, 150, 514, 150, 513, 149, 545, 
180, 150, 562, 150, 521, 150, 543, 150, 515, 150, 516, 150, 548, 
185, 149, 565, 150, 524, 149, 546, 149, 517, 149, 518, 150, 551, 
190, 149, 568, 150, 527, 149, 549, 149, 519, 150, 520, 149, 552, 
195, 149, 570, 150, 529, 149, 552, 149, 520, 150, 522, 150, 555, 
200, 149, 572, 150, 532, 149, 553, 150, 521, 150, 524, 149, 556, 
205, 149, 575, 150, 535, 149, 557, 150, 522, 150, 526, 150, 560, 
210, 149, 577, 150, 537, 149, 560, 150, 525, 150, 528, 150, 559, 
215, 149, 579, 150, 539, 150, 563, 149, 528, 149, 530, 150, 562, 
220, 149, 581, 150, 542, 149, 565, 150, 530, 150, 533, 150, 563, 
225, 149, 582, 150, 544, 149, 567, 150, 532, 150, 534, 150, 564, 
230, 150, 583, 150, 546, 149, 570, 149, 532, 150, 537, 149, 566, 
235, 149, 584, 150, 549, 149, 573, 150, 534, 150, 539, 149, 568, 
240, 149, 585, 150, 550, 149, 578, 150, 538, 150, 541, 149, 570, 
245, 149, 586, 150, 552, 150, 583, 150, 538, 150, 543, 150, 572, 
250, 150, 588, 150, 553, 149, 587, 150, 539, 150, 545, 149, 573, 
255, 149, 590, 150, 554, 149, 591, 150, 539, 150, 547, 149, 574, 
260, 149, 591, 150, 555, 150, 594, 149, 539, 150, 549, 149, 575, 
265, 150, 592, 150, 557, 150, 597, 149, 541, 150, 550, 149, 577, 
270, 149, 593, 150, 558, 149, 599, 150, 545, 149, 551, 149, 579, 
275, 149, 594, 150, 559, 149, 601, 150, 543, 150, 553, 149, 581, 
280, 149, 595, 150, 559, 149, 602, 149, 542, 150, 554, 149, 582, 
285, 149, 596, 150, 560, 150, 604, 150, 544, 150, 554, 149, 583, 
290, 149, 597, 150, 561, 149, 605, 150, 546, 150, 555, 150, 585, 
295, 149, 597, 150, 563, 149, 606, 150, 546, 149, 555, 150, 584, 
300, 149, 598, 150, 565, 150, 607, 150, 539, 150, 555, 149, 583, 
305, 150, 599, 150, 566, 149, 608, 150, 540, 150, 556, 150, 584, 
310, 150, 599, 150, 566, 149, 608, 149, 540, 150, 556, 149, 583, 
315, 149, 600, 150, 567, 150, 609, 150, 537, 150, 556, 150, 584, 
320, 150, 601, 150, 568, 149, 610, 150, 535, 150, 555, 149, 584, 
325, 150, 602, 150, 568, 150, 611, 150, 535, 150, 554, 149, 584, 
330, 149, 602, 150, 567, 150, 611, 150, 529, 150, 554, 150, 586, 
