t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 470, 150, 471, 149, 469, 150, 476, 150, 483, 149, 474, 
10, 150, 470, 150, 472, 149, 469, 150, 476, 150, 482, 149, 474, 
15, 150, 469, 149, 469, 149, 468, 149, 474, 150, 482, 149, 473, 
20, 149, 468, 150, 469, 149, 467, 150, 472, 150, 481, 149, 472, 
25, 150, 467, 150, 468, 149, 465, 150, 472, 150, 481, 149, 472, 
30, 149, 465, 149, 468, 149, 465, 149, 472, 150, 481, 149, 471, 
35, 149, 464, 150, 468, 149, 465, 150, 471, 150, 481, 149, 470, 
40, 150, 463, 150, 467, 149, 466, 149, 471, 149, 481, 150, 470, 
45, 150, 463, 150, 466, 149, 467, 149, 470, 150, 481, 149, 467, 
50, 150, 463, 149, 464, 149, 469, 149, 469, 150, 481, 150, 467, 
55, 150, 465, 150, 463, 149, 471, 150, 468, 150, 480, 149, 465, 
60, 149, 467, 150, 463, 150, 473, 149, 468, 150, 480, 149, 465, 
65, 149, 470, 150, 463, 149, 476, 150, 469, 150, 479, 149, 467, 
70, 150, 473, 150, 463, 149, 480, 149, 469, 150, 478, 150, 471, 
75, 150, 477, 150, 463, 150, 484, 150, 471, 150, 477, 149, 472, 
80, 150, 482, 150, 465, 150, 488, 150, 473, 150, 476, 149, 476, 
85, 149, 487, 149, 467, 150, 493, 149, 476, 149, 475, 149, 480, 
90, 149, 492, 150, 470, 149, 497, 150, 479, 150, 475, 149, 484, 
95, 149, 497, 150, 474, 149, 501, 150, 482, 150, 475, 150, 491, 
100, 150, 503, 150, 477, 149, 506, 149, 486, 150, 476, 150, 495, 
105, 149, 509, 150, 481, 149, 510, 150, 490, 150, 477, 149, 500, 
110, 150, 515, 150, 484, 149, 515, 149, 494, 149, 478, 149, 504, 
115, 149, 520, 150, 488, 149, 519, 149, 498, 150, 480, 149, 509, 
120, 150, 525, 149, 492, 150, 523, 149, 503, 150, 483, 149, 512, 
125, 149, 529, 150, 496, 149, 527, 149, 507, 150, 486, 149, 517, 
130, 150, 534, 149, 499, 149, 530, 150, 512, 149, 488, 150, 521, 
135, 149, 538, 150, 503, 149, 533, 150, 515, 150, 492, 149, 525, 
140, 150, 542, 150, 506, 149, 536, 150, 518, 150, 495, 150, 529, 
145, 149, 546, 149, 510, 149, 539, 149, 522, 150, 498, 149, 531, 
150, 149, 550, 150, 513, 149, 542, 150, 525, 150, 502, 149, 533, 
155, 149, 553, 150, 516, 149, 544, 150, 528, 150, 506, 149, 536, 
160, 150, 556, 150, 519, 149, 546, 149, 530, 150, 510, 149, 538, 
165, 149, 559, 149, 521, 149, 549, 150, 534, 150, 513, 149, 541, 
170, 149, 562, 150, 524, 149, 551, 150, 537, 150, 516, 150, 544, 
175, 149, 564, 150, 528, 149, 553, 150, 539, 150, 519, 149, 546, 
180, 149, 567, 149, 530, 149, 554, 149, 541, 150, 522, 149, 549, 
185, 150, 569, 150, 533, 149, 556, 150, 544, 150, 525, 150, 552, 
190, 149, 570, 150, 535, 149, 557, 150, 546, 150, 528, 149, 554, 
195, 149, 572, 150, 538, 149, 559, 149, 548, 150, 531, 149, 556, 
200, 149, 574, 149, 539, 149, 560, 150, 550, 150, 533, 149, 558, 
205, 149, 575, 149, 542, 149, 561, 149, 551, 150, 536, 150, 561, 
210, 150, 576, 150, 545, 149, 561, 149, 554, 149, 538, 149, 563, 
215, 149, 577, 150, 547, 149, 563, 149, 555, 150, 541, 149, 564, 
220, 150, 578, 150, 549, 149, 565, 149, 557, 150, 543, 149, 567, 
225, 149, 579, 149, 550, 150, 566, 150, 559, 150, 545, 149, 569, 
230, 150, 580, 149, 552, 150, 567, 149, 560, 150, 547, 149, 572, 
235, 149, 581, 150, 554, 149, 568, 149, 561, 150, 548, 150, 574, 
240, 150, 582, 149, 556, 149, 569, 149, 564, 150, 549, 149, 574, 
245, 149, 583, 150, 558, 149, 569, 150, 566, 150, 550, 149, 575, 
250, 150, 584, 150, 559, 149, 570, 149, 567, 150, 551, 149, 577, 
255, 149, 584, 150, 561, 149, 569, 150, 568, 149, 553, 150, 579, 
260, 150, 585, 150, 562, 150, 569, 150, 565, 150, 554, 150, 581, 
265, 149, 585, 149, 563, 150, 572, 149, 566, 149, 555, 150, 581, 
270, 149, 585, 149, 564, 149, 573, 149, 569, 150, 557, 150, 583, 
275, 149, 586, 150, 567, 149, 572, 149, 571, 150, 558, 149, 583, 
280, 149, 586, 150, 568, 150, 568, 150, 573, 150, 559, 150, 585, 
285, 149, 586, 149, 567, 149, 564, 150, 573, 150, 560, 150, 587, 
290, 149, 586, 150, 570, 150, 561, 149, 574, 149, 561, 149, 585, 
295, 149, 586, 149, 571, 149, 559, 150, 575, 150, 562, 149, 587, 
300, 149, 586, 150, 573, 149, 557, 150, 576, 150, 563, 149, 588, 
305, 149, 586, 149, 573, 149, 556, 150, 577, 150, 564, 150, 589, 
310, 149, 586, 149, 574, 149, 555, 150, 577, 150, 565, 149, 589, 
315, 149, 586, 149, 575, 150, 555, 150, 577, 150, 565, 149, 589, 
320, 149, 586, 149, 575, 149, 555, 150, 576, 150, 566, 149, 590, 
325, 149, 586, 150, 578, 150, 556, 149, 575, 150, 566, 149, 591, 
330, 149, 586, 149, 577, 149, 557, 150, 574, 150, 567, 149, 592, 
