t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 443, 150, 421, 149, 419, 149, 432, 150, 429, 150, 437, 
10, 150, 443, 150, 421, 149, 419, 149, 432, 150, 429, 150, 437, 
15, 150, 443, 150, 421, 149, 419, 150, 432, 150, 429, 150, 437, 
20, 150, 442, 150, 420, 149, 419, 149, 431, 150, 428, 150, 437, 
25, 150, 443, 149, 420, 149, 419, 149, 431, 150, 429, 150, 437, 
30, 150, 443, 150, 420, 150, 419, 150, 432, 150, 428, 150, 437, 
35, 150, 442, 150, 420, 149, 418, 150, 431, 150, 428, 150, 437, 
40, 150, 442, 150, 420, 150, 418, 150, 432, 150, 428, 150, 436, 
45, 150, 442, 150, 419, 149, 418, 149, 431, 150, 428, 150, 437, 
50, 150, 442, 150, 419, 149, 418, 149, 431, 150, 428, 150, 437, 
55, 150, 441, 150, 419, 149, 418, 150, 431, 150, 428, 150, 436, 
60, 150, 441, 150, 419, 149, 417, 150, 430, 150, 428, 150, 435, 
65, 150, 440, 150, 418, 149, 416, 150, 430, 150, 427, 150, 435, 
70, 150, 439, 150, 417, 149, 415, 149, 429, 150, 426, 150, 434, 
75, 150, 438, 150, 417, 149, 413, 150, 429, 150, 424, 150, 434, 
80, 150, 436, 150, 416, 150, 411, 149, 427, 150, 423, 150, 432, 
85, 150, 435, 150, 415, 149, 409, 149, 426, 150, 422, 150, 430, 
90, 150, 433, 150, 414, 150, 408, 150, 425, 150, 421, 150, 429, 
95, 150, 432, 150, 413, 150, 407, 149, 424, 150, 420, 150, 429, 
100, 150, 431, 150, 413, 149, 406, 149, 424, 150, 419, 150, 427, 
105, 150, 430, 150, 412, 149, 406, 149, 422, 150, 418, 150, 426, 
110, 150, 430, 150, 411, 149, 405, 149, 421, 150, 417, 150, 425, 
115, 150, 429, 150, 410, 150, 404, 150, 420, 150, 417, 150, 425, 
120, 150, 429, 150, 409, 149, 404, 149, 418, 150, 416, 150, 424, 
125, 150, 428, 150, 409, 149, 403, 150, 418, 150, 416, 150, 424, 
130, 150, 428, 150, 408, 150, 403, 149, 416, 150, 415, 150, 423, 
135, 150, 428, 150, 408, 150, 403, 149, 416, 150, 416, 150, 423, 
140, 150, 428, 150, 407, 149, 402, 149, 414, 150, 415, 150, 423, 
145, 150, 428, 150, 407, 149, 402, 150, 414, 150, 415, 150, 423, 
150, 150, 427, 150, 406, 150, 402, 150, 414, 150, 415, 149, 423, 
155, 150, 427, 150, 406, 149, 402, 149, 414, 150, 415, 150, 423, 
160, 150, 427, 150, 406, 149, 403, 149, 413, 150, 414, 150, 423, 
165, 150, 427, 149, 405, 150, 403, 149, 414, 150, 415, 150, 423, 
170, 150, 427, 150, 405, 149, 403, 150, 414, 150, 414, 150, 423, 
175, 150, 428, 150, 405, 149, 403, 149, 414, 150, 415, 149, 423, 
180, 150, 428, 150, 405, 149, 404, 150, 415, 150, 415, 150, 423, 
185, 150, 428, 150, 405, 149, 404, 150, 414, 150, 415, 150, 423, 
190, 150, 428, 150, 404, 150, 404, 149, 414, 150, 415, 150, 423, 
195, 150, 429, 150, 404, 149, 405, 149, 415, 150, 415, 149, 424, 
200, 150, 428, 150, 405, 149, 405, 149, 415, 150, 416, 150, 424, 
205, 150, 429, 150, 405, 150, 406, 149, 415, 150, 416, 149, 424, 
210, 150, 430, 150, 405, 149, 406, 149, 416, 150, 416, 150, 425, 
215, 150, 430, 150, 405, 149, 406, 149, 416, 150, 416, 150, 425, 
220, 150, 430, 150, 405, 149, 407, 149, 416, 150, 417, 150, 425, 
225, 150, 431, 150, 405, 149, 407, 149, 416, 150, 418, 150, 426, 
230, 150, 431, 150, 405, 149, 407, 149, 417, 150, 417, 150, 425, 
235, 150, 432, 150, 405, 149, 408, 150, 417, 150, 417, 150, 426, 
240, 149, 431, 150, 405, 149, 406, 149, 417, 149, 416, 150, 426, 
245, 149, 430, 149, 404, 149, 408, 149, 417, 150, 417, 150, 426, 
250, 149, 432, 150, 406, 149, 408, 149, 418, 149, 417, 150, 426, 
255, 150, 433, 149, 405, 149, 409, 149, 418, 150, 418, 150, 427, 
260, 149, 433, 150, 406, 150, 409, 149, 418, 150, 418, 150, 427, 
265, 150, 435, 149, 406, 149, 409, 149, 418, 150, 418, 150, 427, 
270, 150, 435, 150, 407, 149, 410, 149, 419, 150, 418, 150, 428, 
275, 150, 435, 150, 407, 149, 410, 150, 418, 150, 418, 150, 428, 
280, 150, 436, 150, 407, 150, 410, 150, 419, 150, 418, 150, 428, 
285, 150, 436, 150, 407, 150, 411, 149, 419, 150, 418, 150, 428, 
290, 150, 437, 150, 408, 150, 411, 149, 419, 150, 419, 150, 428, 
295, 150, 437, 150, 408, 150, 411, 149, 419, 150, 419, 150, 428, 
300, 150, 440, 150, 408, 150, 413, 149, 418, 150, 421, 150, 428, 
305, 150, 440, 150, 409, 149, 412, 150, 419, 150, 419, 150, 428, 
310, 150, 438, 149, 407, 149, 411, 149, 419, 150, 419, 150, 428, 
315, 150, 439, 150, 409, 149, 412, 150, 419, 150, 419, 150, 428, 
320, 150, 439, 149, 408, 149, 412, 149, 418, 150, 420, 150, 428, 
325, 150, 439, 150, 409, 149, 413, 150, 419, 150, 419, 150, 428, 
330, 150, 440, 149, 409, 149, 413, 149, 419, 150, 420, 151, 432, 
