t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 472, 150, 479, 150, 468, 149, 469, 150, 462, 150, 462, 
10, 150, 476, 150, 484, 149, 471, 149, 473, 150, 463, 150, 463, 
15, 150, 479, 150, 486, 150, 473, 149, 474, 150, 464, 150, 463, 
20, 150, 480, 150, 488, 149, 475, 149, 476, 150, 465, 150, 463, 
25, 150, 481, 150, 489, 149, 475, 150, 476, 150, 465, 150, 462, 
30, 150, 481, 150, 490, 149, 476, 149, 477, 150, 465, 150, 463, 
35, 150, 482, 150, 490, 149, 476, 150, 476, 150, 465, 150, 462, 
40, 150, 481, 150, 490, 149, 476, 150, 476, 149, 464, 150, 463, 
45, 150, 481, 150, 489, 150, 476, 149, 475, 150, 465, 150, 463, 
50, 150, 481, 150, 488, 149, 476, 150, 474, 149, 464, 150, 462, 
55, 150, 481, 150, 487, 149, 476, 150, 474, 150, 465, 150, 461, 
60, 150, 480, 150, 486, 149, 476, 150, 474, 149, 463, 150, 460, 
65, 150, 480, 150, 482, 150, 475, 149, 473, 150, 465, 150, 459, 
70, 150, 479, 150, 479, 150, 475, 150, 472, 150, 464, 150, 458, 
75, 150, 477, 150, 478, 149, 474, 149, 472, 150, 463, 150, 457, 
80, 150, 477, 150, 475, 150, 474, 149, 471, 150, 462, 150, 457, 
85, 150, 475, 150, 473, 150, 474, 150, 470, 150, 462, 150, 457, 
90, 150, 474, 150, 473, 150, 473, 149, 468, 150, 460, 150, 457, 
95, 150, 472, 150, 472, 149, 472, 149, 466, 150, 459, 150, 455, 
100, 150, 471, 150, 471, 149, 472, 149, 464, 150, 458, 150, 456, 
105, 150, 470, 150, 470, 149, 471, 149, 462, 150, 457, 150, 455, 
110, 150, 470, 150, 469, 149, 470, 150, 461, 150, 456, 150, 455, 
115, 150, 469, 150, 469, 150, 469, 149, 460, 150, 455, 150, 455, 
120, 150, 469, 150, 469, 149, 468, 149, 460, 150, 455, 150, 454, 
125, 150, 469, 150, 469, 149, 467, 149, 459, 149, 454, 150, 454, 
130, 150, 469, 150, 469, 150, 466, 150, 459, 150, 454, 150, 454, 
135, 150, 469, 150, 469, 149, 465, 149, 459, 150, 454, 150, 454, 
140, 150, 470, 150, 469, 150, 466, 150, 458, 150, 454, 150, 454, 
145, 150, 470, 150, 470, 149, 465, 150, 458, 150, 455, 150, 454, 
150, 150, 471, 150, 470, 149, 464, 149, 458, 150, 455, 150, 454, 
155, 150, 471, 150, 471, 150, 464, 150, 457, 150, 457, 150, 453, 
160, 150, 472, 150, 471, 149, 464, 149, 458, 150, 456, 150, 453, 
165, 150, 473, 150, 472, 149, 463, 149, 458, 150, 456, 150, 453, 
170, 150, 474, 150, 472, 150, 463, 150, 458, 150, 457, 150, 453, 
175, 150, 475, 150, 473, 149, 464, 149, 458, 150, 457, 149, 452, 
180, 150, 476, 150, 474, 149, 463, 149, 459, 150, 458, 150, 453, 
185, 150, 477, 149, 473, 149, 462, 150, 460, 150, 458, 150, 453, 
190, 150, 478, 149, 472, 149, 462, 150, 460, 150, 459, 150, 453, 
195, 150, 479, 149, 471, 149, 462, 149, 461, 149, 459, 150, 453, 
200, 150, 481, 149, 473, 149, 462, 149, 461, 150, 460, 150, 454, 
205, 150, 482, 150, 474, 150, 461, 149, 461, 150, 461, 150, 455, 
210, 150, 483, 150, 474, 149, 461, 149, 462, 150, 462, 150, 455, 
215, 150, 485, 150, 475, 150, 461, 149, 463, 150, 463, 150, 455, 
220, 150, 486, 149, 475, 150, 461, 149, 464, 150, 463, 150, 456, 
225, 150, 487, 150, 474, 149, 461, 149, 464, 150, 463, 150, 457, 
230, 150, 489, 150, 474, 149, 460, 149, 465, 150, 463, 150, 458, 
235, 150, 490, 150, 474, 149, 460, 149, 465, 150, 464, 150, 459, 
240, 150, 492, 150, 474, 149, 460, 149, 466, 150, 464, 150, 459, 
245, 150, 494, 150, 475, 149, 461, 149, 466, 150, 466, 150, 460, 
250, 150, 495, 150, 476, 149, 461, 150, 467, 150, 464, 150, 460, 
255, 150, 497, 150, 475, 149, 461, 149, 466, 150, 465, 150, 461, 
260, 150, 499, 150, 476, 150, 461, 150, 467, 150, 465, 150, 461, 
265, 150, 500, 150, 476, 149, 461, 149, 467, 150, 466, 150, 462, 
270, 150, 501, 150, 475, 149, 461, 149, 467, 150, 465, 150, 464, 
275, 150, 502, 150, 476, 149, 461, 150, 468, 150, 466, 150, 464, 
280, 150, 504, 150, 476, 149, 461, 149, 469, 150, 466, 150, 466, 
285, 150, 505, 149, 475, 149, 461, 149, 470, 150, 465, 151, 470, 
290, 150, 506, 149, 475, 149, 461, 149, 470, 150, 465, 150, 468, 
295, 150, 508, 150, 476, 149, 461, 149, 472, 150, 465, 150, 470, 
300, 150, 510, 150, 477, 149, 462, 149, 473, 150, 466, 150, 469, 
305, 150, 511, 150, 478, 150, 462, 149, 473, 150, 466, 150, 472, 
310, 150, 513, 150, 477, 150, 462, 149, 474, 150, 466, 150, 470, 
315, 150, 515, 150, 478, 149, 462, 150, 476, 150, 467, 150, 471, 
320, 150, 517, 150, 480, 149, 462, 150, 477, 150, 467, 150, 473, 
325, 150, 518, 150, 478, 150, 461, 150, 476, 150, 468, 150, 473, 
330, 150, 520, 150, 479, 150, 462, 150, 477, 150, 468, 150, 474, 
