t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 447, 150, 441, 149, 433, 149, 440, 150, 438, 150, 433, 
10, 150, 449, 150, 444, 149, 436, 149, 441, 150, 439, 150, 433, 
15, 150, 451, 150, 446, 150, 437, 149, 443, 150, 440, 150, 434, 
20, 150, 452, 150, 448, 149, 439, 149, 443, 150, 440, 150, 434, 
25, 150, 453, 150, 448, 150, 440, 149, 445, 150, 439, 150, 434, 
30, 150, 454, 150, 449, 149, 440, 149, 445, 150, 439, 150, 434, 
35, 150, 454, 150, 450, 149, 441, 149, 446, 150, 439, 150, 433, 
40, 150, 454, 150, 450, 149, 441, 150, 446, 150, 440, 150, 432, 
45, 150, 453, 150, 450, 149, 439, 149, 446, 150, 440, 149, 431, 
50, 150, 452, 150, 450, 149, 438, 149, 446, 150, 439, 150, 429, 
55, 149, 450, 150, 450, 150, 438, 149, 446, 150, 438, 150, 428, 
60, 150, 449, 150, 449, 150, 435, 149, 446, 150, 437, 150, 426, 
65, 150, 447, 150, 449, 149, 433, 149, 446, 150, 436, 150, 424, 
70, 150, 445, 150, 449, 149, 432, 149, 446, 150, 436, 150, 423, 
75, 150, 444, 150, 448, 150, 430, 150, 446, 150, 435, 150, 422, 
80, 150, 443, 150, 447, 149, 429, 150, 446, 150, 434, 150, 421, 
85, 149, 441, 150, 445, 150, 429, 149, 445, 150, 434, 149, 420, 
90, 150, 441, 150, 445, 149, 428, 149, 443, 150, 434, 150, 420, 
95, 149, 439, 150, 443, 149, 427, 149, 443, 150, 433, 149, 419, 
100, 150, 439, 150, 442, 149, 427, 149, 441, 150, 434, 150, 419, 
105, 150, 439, 150, 441, 149, 427, 149, 440, 150, 433, 150, 419, 
110, 150, 438, 150, 440, 150, 426, 149, 440, 150, 433, 150, 420, 
115, 150, 437, 150, 439, 149, 426, 149, 438, 150, 433, 150, 419, 
120, 150, 437, 150, 439, 149, 426, 149, 437, 150, 433, 149, 418, 
125, 150, 436, 150, 438, 149, 425, 149, 437, 150, 433, 150, 419, 
130, 150, 436, 150, 438, 149, 426, 149, 437, 150, 433, 150, 419, 
135, 150, 436, 150, 438, 150, 426, 150, 436, 150, 432, 150, 420, 
140, 150, 436, 150, 438, 150, 426, 150, 436, 150, 432, 150, 420, 
145, 150, 436, 150, 437, 149, 427, 149, 435, 150, 432, 150, 420, 
150, 150, 437, 150, 437, 150, 426, 149, 434, 150, 432, 150, 420, 
155, 150, 436, 150, 437, 149, 426, 150, 434, 150, 432, 150, 421, 
160, 150, 436, 150, 437, 149, 427, 149, 433, 150, 431, 150, 421, 
165, 150, 437, 150, 437, 149, 428, 149, 432, 150, 431, 150, 422, 
170, 150, 437, 150, 437, 149, 428, 149, 432, 150, 431, 149, 421, 
175, 150, 437, 150, 437, 149, 428, 149, 432, 150, 430, 150, 422, 
180, 150, 438, 150, 437, 150, 429, 150, 432, 150, 430, 150, 423, 
185, 150, 438, 150, 436, 149, 429, 150, 431, 150, 430, 149, 424, 
190, 150, 438, 150, 436, 149, 429, 149, 430, 150, 430, 150, 424, 
195, 150, 440, 150, 435, 149, 430, 150, 430, 150, 430, 150, 425, 
200, 150, 439, 150, 435, 150, 432, 149, 430, 150, 430, 150, 425, 
205, 150, 440, 150, 435, 149, 430, 149, 430, 150, 429, 150, 426, 
210, 150, 441, 150, 434, 149, 430, 150, 430, 150, 429, 150, 426, 
215, 150, 441, 150, 434, 150, 430, 150, 429, 150, 429, 149, 426, 
220, 148, 438, 150, 433, 149, 428, 150, 429, 150, 429, 149, 427, 
225, 150, 442, 150, 432, 149, 431, 149, 428, 150, 428, 149, 428, 
230, 150, 443, 150, 432, 150, 431, 149, 428, 150, 428, 150, 428, 
235, 150, 443, 150, 432, 149, 431, 149, 427, 150, 427, 150, 429, 
240, 150, 444, 150, 432, 150, 431, 149, 427, 150, 427, 150, 429, 
245, 150, 444, 150, 431, 149, 431, 149, 426, 150, 427, 149, 429, 
250, 150, 445, 150, 431, 149, 432, 149, 427, 150, 426, 150, 430, 
255, 150, 445, 150, 430, 150, 432, 149, 425, 150, 426, 150, 430, 
260, 150, 445, 150, 430, 150, 433, 149, 425, 150, 426, 150, 432, 
265, 150, 446, 150, 429, 150, 432, 150, 425, 150, 427, 150, 431, 
270, 150, 446, 150, 428, 150, 432, 149, 425, 150, 426, 150, 431, 
275, 150, 447, 150, 428, 149, 432, 149, 424, 150, 426, 150, 431, 
280, 150, 447, 150, 427, 150, 432, 150, 425, 149, 425, 150, 430, 
285, 150, 447, 150, 427, 150, 433, 149, 424, 150, 426, 150, 429, 
290, 150, 448, 150, 426, 149, 434, 149, 424, 150, 425, 150, 429, 
295, 150, 449, 150, 425, 150, 435, 149, 424, 150, 426, 150, 429, 
300, 150, 450, 150, 425, 150, 434, 149, 423, 150, 426, 150, 428, 
305, 150, 450, 150, 424, 150, 434, 149, 422, 150, 426, 150, 428, 
310, 150, 451, 150, 424, 149, 434, 150, 423, 150, 425, 150, 428, 
315, 150, 452, 150, 424, 149, 434, 149, 423, 150, 425, 150, 427, 
320, 150, 452, 150, 423, 150, 434, 149, 423, 150, 426, 150, 427, 
325, 150, 453, 150, 423, 149, 434, 150, 424, 150, 426, 150, 428, 
330, 150, 454, 150, 422, 149, 435, 150, 423, 150, 426, 149, 428, 
