t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 433, 150, 437, 150, 425, 149, 432, 150, 428, 150, 425, 
10, 150, 436, 150, 440, 150, 428, 149, 435, 150, 428, 150, 425, 
15, 150, 437, 150, 442, 150, 431, 149, 436, 150, 429, 150, 426, 
20, 150, 438, 150, 444, 149, 432, 149, 437, 150, 428, 149, 425, 
25, 150, 439, 150, 446, 149, 432, 150, 438, 150, 428, 150, 426, 
30, 150, 438, 150, 447, 150, 432, 149, 438, 150, 427, 150, 426, 
35, 150, 437, 150, 448, 149, 431, 150, 439, 150, 428, 150, 427, 
40, 150, 437, 150, 448, 149, 429, 149, 439, 150, 428, 150, 424, 
45, 150, 435, 150, 448, 149, 428, 149, 438, 150, 427, 150, 421, 
50, 150, 434, 150, 448, 149, 426, 150, 438, 150, 426, 150, 419, 
55, 150, 433, 150, 446, 149, 425, 150, 438, 150, 425, 149, 417, 
60, 150, 432, 150, 445, 150, 426, 149, 437, 150, 424, 150, 415, 
65, 150, 430, 150, 444, 149, 422, 149, 437, 150, 423, 150, 413, 
70, 150, 429, 150, 442, 149, 420, 150, 437, 150, 421, 150, 411, 
75, 150, 428, 150, 441, 149, 419, 149, 436, 150, 420, 149, 410, 
80, 150, 427, 150, 440, 149, 418, 149, 435, 150, 419, 149, 408, 
85, 150, 426, 150, 439, 149, 418, 149, 433, 150, 418, 150, 408, 
90, 150, 426, 150, 437, 149, 417, 150, 432, 150, 417, 150, 407, 
95, 150, 424, 150, 435, 150, 418, 150, 431, 150, 417, 150, 406, 
100, 150, 423, 150, 433, 149, 416, 149, 429, 150, 416, 150, 405, 
105, 150, 423, 150, 432, 150, 415, 149, 428, 150, 416, 150, 405, 
110, 150, 423, 150, 431, 149, 415, 149, 427, 150, 416, 150, 404, 
115, 150, 422, 150, 430, 150, 414, 149, 426, 150, 415, 150, 404, 
120, 150, 422, 150, 430, 149, 414, 149, 425, 150, 415, 150, 404, 
125, 150, 421, 150, 430, 148, 411, 149, 424, 150, 415, 150, 403, 
130, 150, 421, 150, 430, 150, 415, 149, 424, 150, 415, 150, 403, 
135, 150, 421, 150, 430, 149, 415, 150, 423, 150, 415, 150, 403, 
140, 150, 421, 150, 430, 149, 415, 149, 422, 149, 414, 150, 403, 
145, 150, 421, 150, 430, 149, 415, 149, 421, 150, 415, 150, 403, 
150, 150, 421, 150, 430, 150, 416, 150, 421, 150, 414, 150, 403, 
155, 150, 421, 150, 430, 149, 417, 150, 421, 150, 414, 150, 403, 
160, 150, 422, 150, 430, 149, 417, 149, 420, 150, 415, 149, 402, 
165, 150, 422, 150, 430, 149, 418, 150, 420, 150, 415, 150, 405, 
170, 150, 422, 150, 430, 149, 419, 149, 420, 150, 415, 150, 404, 
175, 150, 423, 150, 430, 149, 420, 149, 419, 150, 415, 149, 404, 
180, 150, 425, 150, 430, 149, 421, 150, 420, 150, 415, 150, 404, 
185, 150, 425, 150, 431, 149, 421, 149, 419, 150, 415, 150, 404, 
190, 150, 427, 150, 431, 149, 422, 149, 418, 150, 415, 150, 405, 
195, 150, 427, 150, 431, 149, 423, 150, 418, 150, 415, 150, 405, 
200, 150, 428, 150, 431, 150, 424, 149, 418, 150, 415, 150, 405, 
205, 150, 429, 150, 431, 149, 424, 150, 418, 150, 416, 150, 406, 
210, 150, 430, 150, 432, 149, 425, 150, 418, 149, 415, 150, 406, 
215, 150, 430, 150, 432, 149, 426, 149, 418, 150, 416, 150, 407, 
220, 150, 431, 150, 431, 149, 427, 149, 417, 150, 416, 148, 403, 
225, 150, 431, 150, 432, 149, 427, 149, 418, 150, 417, 150, 407, 
230, 150, 432, 150, 432, 149, 429, 150, 419, 150, 416, 150, 408, 
235, 150, 432, 150, 432, 150, 430, 150, 418, 150, 417, 150, 408, 
240, 150, 433, 150, 432, 149, 430, 149, 418, 149, 416, 150, 409, 
245, 150, 434, 150, 432, 149, 432, 150, 418, 150, 417, 150, 409, 
250, 150, 434, 150, 432, 150, 432, 149, 418, 150, 418, 150, 410, 
255, 150, 435, 150, 432, 150, 433, 150, 418, 150, 418, 149, 410, 
260, 150, 436, 150, 431, 150, 434, 149, 418, 150, 418, 150, 411, 
265, 150, 436, 150, 431, 150, 435, 149, 418, 150, 418, 150, 412, 
270, 150, 437, 150, 431, 149, 434, 149, 418, 150, 418, 150, 412, 
275, 150, 438, 150, 431, 150, 434, 150, 417, 150, 419, 150, 412, 
280, 150, 436, 150, 430, 149, 433, 150, 418, 150, 419, 150, 412, 
285, 150, 435, 150, 431, 149, 433, 150, 419, 150, 420, 150, 413, 
290, 150, 434, 150, 430, 150, 432, 149, 418, 150, 419, 150, 413, 
295, 150, 433, 150, 430, 149, 432, 149, 418, 149, 418, 150, 413, 
300, 150, 433, 150, 431, 149, 433, 149, 418, 150, 419, 150, 414, 
305, 150, 433, 150, 432, 149, 434, 149, 418, 149, 419, 150, 414, 
310, 150, 433, 150, 432, 149, 434, 149, 419, 150, 419, 150, 414, 
315, 150, 433, 150, 431, 149, 435, 150, 419, 150, 419, 150, 415, 
320, 150, 432, 150, 432, 149, 435, 150, 419, 150, 420, 150, 415, 
325, 150, 432, 150, 431, 149, 435, 149, 419, 150, 420, 150, 415, 
330, 150, 432, 150, 430, 150, 436, 149, 419, 150, 420, 149, 414, 
