t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 424, 150, 413, 149, 407, 149, 415, 150, 411, 150, 413, 
10, 150, 424, 150, 413, 149, 407, 149, 416, 150, 411, 150, 413, 
15, 150, 423, 150, 413, 150, 407, 149, 416, 150, 411, 150, 413, 
20, 150, 423, 149, 412, 150, 407, 149, 416, 150, 411, 150, 413, 
25, 150, 423, 150, 413, 149, 407, 149, 415, 150, 411, 150, 413, 
30, 150, 423, 150, 413, 149, 405, 150, 415, 150, 411, 150, 413, 
35, 150, 423, 150, 413, 150, 407, 149, 416, 150, 411, 150, 413, 
40, 150, 423, 150, 413, 149, 407, 149, 416, 150, 411, 150, 413, 
45, 150, 422, 150, 413, 149, 407, 149, 416, 150, 411, 150, 413, 
50, 150, 422, 150, 413, 149, 406, 150, 416, 150, 411, 150, 413, 
55, 150, 422, 150, 413, 149, 406, 150, 416, 150, 411, 149, 413, 
60, 150, 418, 150, 409, 149, 402, 149, 410, 150, 407, 150, 409, 
65, 150, 415, 150, 407, 150, 399, 150, 409, 150, 404, 150, 408, 
70, 150, 413, 150, 404, 149, 396, 149, 406, 149, 402, 150, 406, 
75, 150, 405, 150, 395, 149, 387, 149, 399, 150, 395, 150, 400, 
80, 150, 402, 150, 391, 149, 385, 149, 396, 150, 392, 150, 396, 
85, 150, 398, 150, 387, 149, 381, 150, 394, 150, 388, 150, 393, 
90, 150, 395, 150, 385, 149, 378, 150, 391, 150, 385, 149, 389, 
95, 150, 393, 150, 383, 149, 375, 150, 389, 150, 383, 150, 387, 
100, 150, 392, 150, 382, 149, 373, 149, 387, 150, 381, 150, 385, 
105, 150, 390, 150, 381, 149, 371, 149, 386, 150, 381, 150, 385, 
110, 150, 388, 150, 380, 149, 370, 150, 384, 150, 381, 150, 384, 
115, 150, 387, 150, 379, 149, 369, 149, 382, 150, 380, 150, 383, 
120, 150, 385, 150, 379, 149, 369, 149, 381, 150, 379, 150, 383, 
125, 150, 384, 150, 379, 149, 368, 150, 380, 150, 378, 150, 382, 
130, 150, 384, 150, 378, 149, 367, 149, 379, 150, 378, 149, 381, 
135, 150, 383, 150, 378, 149, 367, 149, 379, 150, 377, 150, 381, 
140, 150, 383, 150, 377, 149, 367, 149, 378, 150, 377, 150, 380, 
145, 150, 383, 150, 377, 149, 367, 149, 378, 150, 377, 150, 379, 
150, 150, 383, 150, 377, 149, 367, 150, 377, 150, 377, 150, 380, 
155, 150, 383, 150, 377, 149, 368, 149, 377, 150, 377, 150, 378, 
160, 150, 383, 150, 377, 149, 368, 150, 377, 150, 376, 150, 378, 
165, 150, 383, 150, 377, 149, 369, 149, 376, 150, 376, 149, 377, 
170, 150, 384, 150, 377, 149, 370, 149, 378, 150, 377, 149, 377, 
175, 150, 384, 150, 377, 149, 371, 149, 378, 150, 377, 150, 378, 
180, 150, 385, 150, 378, 149, 372, 150, 378, 150, 377, 150, 378, 
185, 150, 385, 150, 378, 149, 373, 149, 378, 150, 377, 149, 378, 
190, 150, 385, 150, 378, 149, 374, 150, 379, 150, 377, 150, 378, 
195, 150, 386, 150, 379, 149, 375, 150, 380, 150, 377, 150, 379, 
200, 150, 387, 150, 379, 149, 376, 149, 380, 150, 377, 150, 379, 
205, 150, 387, 150, 379, 149, 377, 149, 380, 150, 378, 150, 380, 
210, 150, 387, 150, 380, 149, 377, 150, 381, 150, 378, 149, 380, 
215, 150, 388, 150, 380, 149, 378, 149, 382, 150, 378, 149, 380, 
220, 150, 389, 150, 380, 149, 379, 149, 383, 150, 378, 150, 381, 
225, 150, 388, 150, 381, 149, 380, 149, 383, 150, 378, 150, 381, 
230, 150, 390, 150, 381, 150, 380, 149, 384, 150, 379, 150, 382, 
235, 150, 391, 150, 381, 149, 381, 150, 384, 150, 379, 150, 382, 
240, 150, 390, 150, 382, 149, 381, 150, 386, 150, 379, 150, 383, 
245, 150, 392, 150, 382, 149, 382, 150, 385, 150, 381, 150, 384, 
250, 150, 391, 150, 382, 149, 382, 149, 385, 150, 379, 150, 385, 
255, 150, 391, 150, 382, 149, 383, 150, 387, 150, 379, 150, 385, 
260, 150, 391, 150, 382, 150, 383, 150, 387, 150, 380, 150, 386, 
265, 150, 391, 150, 382, 149, 383, 149, 387, 150, 380, 150, 386, 
270, 150, 392, 150, 382, 150, 383, 149, 387, 150, 380, 150, 387, 
275, 150, 392, 150, 382, 149, 384, 149, 387, 150, 379, 149, 385, 
280, 150, 392, 150, 382, 149, 384, 149, 387, 150, 379, 150, 388, 
285, 150, 392, 150, 382, 150, 384, 149, 388, 150, 380, 150, 388, 
290, 150, 393, 150, 382, 149, 384, 149, 387, 150, 379, 150, 389, 
295, 150, 393, 150, 382, 149, 384, 149, 388, 150, 379, 150, 389, 
300, 150, 393, 150, 382, 149, 384, 149, 388, 150, 379, 150, 389, 
305, 150, 393, 150, 382, 150, 384, 150, 388, 150, 379, 150, 390, 
310, 150, 393, 150, 382, 149, 384, 149, 388, 150, 379, 150, 390, 
315, 150, 394, 150, 382, 149, 384, 149, 388, 150, 379, 150, 390, 
320, 150, 393, 150, 383, 149, 384, 150, 388, 150, 379, 150, 390, 
325, 150, 393, 150, 382, 149, 385, 149, 387, 150, 378, 150, 390, 
330, 150, 393, 150, 382, 149, 385, 149, 388, 150, 378, 150, 391, 
