t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 443, 150, 461, 150, 438, 149, 450, 150, 438, 150, 449, 
10, 149, 445, 150, 467, 150, 441, 150, 454, 150, 440, 150, 450, 
15, 150, 448, 150, 469, 149, 443, 150, 456, 150, 441, 150, 450, 
20, 150, 450, 150, 471, 149, 445, 149, 457, 150, 443, 150, 450, 
25, 150, 450, 150, 471, 149, 446, 149, 456, 150, 442, 150, 450, 
30, 150, 451, 149, 471, 150, 447, 149, 459, 150, 442, 150, 453, 
35, 150, 453, 150, 473, 150, 449, 149, 460, 150, 442, 150, 450, 
40, 150, 457, 150, 479, 150, 451, 149, 467, 150, 446, 150, 455, 
45, 150, 464, 150, 487, 149, 456, 149, 472, 150, 452, 150, 462, 
50, 150, 468, 150, 492, 149, 460, 150, 475, 150, 453, 150, 466, 
55, 150, 472, 150, 494, 149, 464, 149, 477, 150, 455, 150, 469, 
60, 150, 473, 150, 494, 149, 465, 150, 479, 150, 457, 150, 469, 
65, 150, 475, 150, 493, 149, 466, 150, 478, 150, 456, 150, 469, 
70, 150, 474, 150, 492, 150, 466, 150, 478, 150, 457, 150, 468, 
75, 150, 473, 150, 491, 149, 466, 149, 478, 150, 457, 150, 468, 
80, 150, 475, 150, 491, 150, 466, 150, 477, 150, 457, 150, 467, 
85, 150, 471, 150, 490, 149, 465, 149, 476, 150, 457, 150, 467, 
90, 150, 471, 150, 489, 149, 463, 149, 475, 150, 456, 150, 465, 
95, 150, 468, 150, 488, 149, 462, 150, 474, 150, 455, 150, 464, 
100, 150, 469, 150, 487, 149, 461, 149, 472, 150, 454, 150, 463, 
105, 150, 468, 150, 486, 150, 459, 150, 471, 150, 453, 150, 463, 
110, 150, 465, 150, 485, 149, 458, 150, 469, 150, 453, 150, 462, 
115, 150, 463, 150, 484, 149, 457, 149, 469, 150, 452, 150, 462, 
120, 150, 462, 150, 484, 149, 456, 149, 468, 150, 451, 150, 460, 
125, 150, 461, 150, 483, 150, 456, 149, 467, 150, 450, 150, 460, 
130, 150, 461, 150, 483, 149, 455, 150, 466, 150, 450, 150, 458, 
135, 150, 460, 150, 482, 149, 454, 150, 467, 150, 449, 150, 458, 
140, 150, 460, 150, 480, 149, 454, 149, 464, 150, 449, 150, 457, 
145, 150, 459, 150, 480, 149, 453, 149, 464, 150, 448, 150, 457, 
150, 150, 459, 150, 479, 150, 452, 150, 465, 150, 448, 150, 457, 
155, 150, 458, 150, 478, 149, 452, 149, 463, 150, 448, 150, 456, 
160, 150, 458, 150, 477, 149, 451, 149, 462, 150, 447, 150, 456, 
165, 150, 457, 150, 476, 149, 451, 149, 461, 150, 447, 150, 455, 
170, 149, 456, 150, 476, 149, 450, 150, 462, 150, 447, 149, 454, 
175, 150, 457, 150, 476, 149, 450, 150, 463, 150, 446, 150, 455, 
180, 149, 454, 150, 476, 149, 449, 149, 461, 150, 446, 150, 455, 
185, 150, 456, 150, 475, 150, 448, 149, 460, 150, 446, 150, 454, 
190, 149, 453, 150, 475, 150, 448, 149, 460, 150, 445, 150, 454, 
195, 150, 455, 150, 475, 149, 447, 150, 460, 150, 445, 150, 454, 
200, 150, 457, 150, 475, 149, 447, 150, 459, 150, 444, 150, 455, 
205, 150, 455, 150, 475, 149, 447, 150, 459, 150, 444, 150, 454, 
210, 150, 455, 150, 475, 149, 446, 149, 458, 150, 443, 150, 453, 
215, 150, 454, 150, 475, 149, 445, 149, 458, 150, 443, 150, 453, 
220, 150, 454, 150, 475, 149, 445, 149, 457, 150, 442, 150, 453, 
225, 149, 453, 150, 475, 149, 445, 149, 458, 150, 442, 150, 453, 
230, 150, 453, 150, 474, 149, 445, 150, 458, 150, 442, 150, 452, 
235, 150, 453, 150, 475, 149, 444, 149, 457, 150, 441, 150, 452, 
240, 150, 453, 150, 474, 149, 443, 149, 456, 150, 441, 150, 452, 
245, 150, 452, 150, 474, 149, 443, 150, 457, 150, 440, 150, 451, 
250, 150, 452, 150, 473, 149, 442, 150, 456, 150, 440, 150, 451, 
255, 150, 451, 150, 474, 149, 442, 149, 455, 150, 440, 150, 451, 
260, 150, 450, 150, 473, 149, 442, 150, 455, 150, 439, 150, 450, 
265, 150, 450, 150, 473, 149, 441, 150, 454, 150, 438, 150, 450, 
270, 150, 450, 150, 472, 149, 441, 150, 453, 150, 438, 150, 450, 
275, 150, 449, 150, 472, 149, 441, 150, 453, 150, 440, 150, 450, 
280, 150, 449, 150, 472, 149, 440, 150, 452, 150, 437, 149, 449, 
285, 150, 448, 150, 472, 149, 441, 150, 452, 149, 436, 150, 449, 
290, 150, 447, 150, 471, 149, 440, 150, 451, 150, 436, 150, 449, 
295, 150, 447, 150, 471, 149, 440, 150, 450, 150, 436, 150, 449, 
300, 150, 446, 150, 470, 150, 440, 150, 450, 150, 435, 150, 449, 
305, 150, 446, 150, 470, 150, 439, 150, 448, 149, 433, 150, 448, 
310, 150, 445, 150, 469, 150, 439, 150, 448, 149, 433, 150, 448, 
315, 150, 444, 150, 468, 149, 439, 149, 447, 150, 433, 150, 448, 
320, 150, 444, 150, 467, 149, 438, 149, 446, 150, 432, 150, 448, 
325, 150, 443, 150, 467, 149, 438, 149, 445, 150, 432, 150, 448, 
330, 150, 442, 150, 465, 149, 437, 150, 445, 150, 431, 150, 448, 
