t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 443, 149, 439, 150, 433, 149, 437, 150, 435, 150, 431, 
10, 150, 447, 150, 444, 150, 436, 150, 440, 150, 436, 150, 432, 
15, 150, 449, 150, 445, 149, 437, 150, 441, 150, 437, 150, 432, 
20, 150, 450, 150, 446, 149, 438, 150, 442, 150, 437, 150, 432, 
25, 150, 450, 150, 446, 149, 439, 149, 441, 150, 437, 149, 432, 
30, 150, 451, 150, 446, 149, 439, 149, 442, 150, 436, 149, 431, 
35, 150, 448, 150, 444, 149, 437, 149, 441, 150, 434, 150, 430, 
40, 150, 446, 150, 441, 150, 435, 149, 438, 150, 432, 150, 430, 
45, 150, 443, 150, 438, 150, 432, 150, 435, 150, 429, 150, 427, 
50, 150, 440, 150, 435, 150, 429, 150, 433, 150, 426, 150, 425, 
55, 150, 439, 150, 434, 149, 428, 149, 430, 150, 424, 150, 424, 
60, 150, 438, 150, 434, 149, 427, 149, 430, 150, 422, 150, 423, 
65, 150, 438, 150, 433, 150, 427, 149, 431, 150, 421, 150, 421, 
70, 150, 437, 150, 435, 150, 426, 150, 430, 150, 421, 150, 419, 
75, 150, 436, 150, 434, 149, 426, 149, 429, 150, 420, 150, 418, 
80, 150, 435, 149, 434, 149, 424, 149, 428, 150, 419, 150, 416, 
85, 150, 434, 150, 434, 149, 423, 149, 427, 150, 418, 150, 414, 
90, 150, 432, 150, 435, 149, 423, 150, 427, 150, 417, 150, 412, 
95, 149, 431, 150, 434, 149, 421, 150, 424, 150, 415, 150, 411, 
100, 150, 430, 150, 433, 150, 420, 149, 422, 150, 415, 150, 410, 
105, 149, 428, 149, 430, 150, 420, 149, 420, 150, 414, 150, 409, 
110, 150, 427, 150, 430, 150, 419, 150, 422, 150, 414, 150, 408, 
115, 150, 427, 149, 429, 149, 418, 150, 420, 150, 413, 150, 408, 
120, 150, 426, 150, 429, 149, 417, 150, 421, 150, 413, 150, 407, 
125, 150, 425, 150, 427, 150, 416, 150, 420, 150, 413, 150, 407, 
130, 150, 425, 150, 426, 149, 417, 150, 419, 150, 413, 150, 407, 
135, 150, 424, 150, 426, 149, 416, 149, 419, 150, 413, 149, 407, 
140, 150, 424, 150, 426, 150, 416, 150, 418, 150, 413, 150, 407, 
145, 150, 424, 149, 425, 149, 414, 149, 418, 150, 414, 150, 407, 
150, 150, 424, 150, 424, 149, 415, 150, 418, 150, 414, 150, 407, 
155, 150, 424, 150, 424, 150, 418, 150, 418, 150, 414, 150, 408, 
160, 150, 423, 150, 424, 150, 415, 150, 417, 150, 414, 150, 407, 
165, 150, 424, 150, 423, 149, 415, 149, 417, 150, 414, 150, 407, 
170, 149, 423, 149, 420, 149, 415, 150, 417, 150, 414, 150, 408, 
175, 150, 423, 150, 422, 150, 415, 150, 418, 150, 414, 150, 408, 
180, 150, 424, 149, 421, 149, 415, 150, 418, 150, 414, 150, 408, 
185, 150, 424, 150, 421, 149, 415, 150, 418, 150, 414, 150, 408, 
190, 150, 425, 150, 421, 149, 415, 149, 418, 150, 415, 150, 408, 
195, 150, 424, 150, 421, 150, 416, 150, 418, 150, 415, 149, 408, 
200, 149, 423, 150, 421, 149, 415, 149, 417, 150, 415, 150, 408, 
205, 150, 424, 150, 420, 150, 415, 149, 417, 150, 416, 150, 408, 
210, 150, 424, 150, 421, 149, 415, 149, 417, 150, 415, 150, 409, 
215, 150, 425, 150, 420, 149, 415, 149, 417, 150, 416, 150, 408, 
220, 150, 426, 150, 420, 149, 415, 149, 417, 150, 416, 150, 408, 
225, 150, 425, 150, 420, 150, 415, 150, 417, 150, 416, 150, 409, 
230, 150, 425, 150, 420, 149, 415, 150, 417, 150, 416, 150, 409, 
235, 150, 425, 150, 420, 149, 415, 149, 416, 150, 416, 150, 409, 
240, 150, 425, 150, 419, 149, 414, 149, 417, 150, 416, 150, 409, 
245, 150, 425, 150, 419, 149, 414, 150, 417, 150, 417, 150, 408, 
250, 150, 425, 150, 419, 149, 414, 150, 418, 150, 417, 150, 408, 
255, 150, 425, 150, 419, 150, 413, 150, 418, 150, 417, 150, 408, 
260, 150, 425, 150, 419, 149, 413, 149, 417, 150, 417, 150, 408, 
265, 149, 424, 150, 418, 149, 413, 149, 416, 150, 417, 150, 408, 
270, 150, 425, 150, 418, 150, 413, 150, 418, 150, 416, 150, 409, 
275, 150, 425, 150, 418, 149, 412, 150, 416, 150, 416, 150, 408, 
280, 150, 425, 150, 417, 150, 412, 150, 416, 150, 416, 150, 408, 
285, 150, 425, 150, 417, 149, 411, 149, 415, 150, 416, 150, 408, 
290, 150, 424, 150, 416, 149, 410, 149, 415, 150, 415, 150, 408, 
295, 150, 423, 150, 416, 149, 410, 149, 415, 150, 415, 150, 408, 
300, 150, 422, 150, 415, 150, 409, 149, 415, 150, 414, 150, 408, 
305, 150, 421, 150, 415, 149, 408, 149, 414, 150, 413, 150, 407, 
310, 150, 420, 150, 414, 149, 408, 149, 414, 150, 413, 150, 407, 
315, 150, 420, 150, 414, 149, 407, 149, 413, 150, 412, 150, 407, 
320, 150, 419, 150, 413, 149, 406, 149, 413, 150, 412, 150, 407, 
325, 149, 418, 150, 413, 149, 405, 150, 412, 150, 411, 149, 407, 
330, 150, 418, 150, 413, 149, 405, 150, 412, 150, 410, 150, 407, 
