t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 231, 150, 475, 149, 453, 149, 457, 150, 455, 150, 460, 
10, 150, 233, 150, 480, 150, 456, 149, 460, 150, 457, 150, 460, 
15, 150, 234, 150, 483, 149, 458, 149, 462, 150, 458, 150, 461, 
20, 150, 234, 150, 484, 150, 459, 149, 463, 150, 458, 150, 461, 
25, 150, 234, 150, 485, 149, 459, 150, 463, 150, 459, 150, 461, 
30, 150, 235, 150, 485, 149, 460, 149, 463, 150, 459, 150, 461, 
35, 150, 453, 150, 482, 149, 457, 149, 460, 150, 455, 150, 459, 
40, 150, 460, 150, 480, 149, 453, 150, 457, 150, 453, 149, 456, 
45, 150, 459, 150, 474, 150, 450, 149, 454, 150, 449, 150, 452, 
50, 150, 456, 150, 470, 149, 445, 149, 451, 150, 445, 150, 450, 
55, 150, 455, 150, 468, 149, 442, 150, 449, 150, 443, 150, 446, 
60, 150, 454, 150, 465, 150, 442, 149, 447, 150, 441, 150, 444, 
65, 150, 454, 150, 464, 149, 441, 149, 446, 150, 441, 150, 443, 
70, 150, 455, 150, 464, 149, 441, 149, 446, 150, 440, 150, 443, 
75, 150, 454, 150, 462, 149, 440, 150, 445, 150, 439, 150, 442, 
80, 150, 453, 150, 461, 149, 440, 150, 444, 150, 438, 150, 441, 
85, 150, 453, 150, 459, 149, 438, 149, 442, 150, 437, 150, 440, 
90, 150, 452, 150, 457, 149, 437, 149, 441, 150, 436, 150, 439, 
95, 150, 451, 149, 454, 149, 437, 149, 440, 150, 434, 150, 438, 
100, 150, 450, 150, 454, 149, 435, 149, 439, 150, 433, 150, 438, 
105, 150, 449, 150, 455, 149, 434, 149, 437, 150, 432, 150, 437, 
110, 150, 448, 150, 454, 150, 434, 149, 437, 150, 432, 150, 438, 
115, 150, 447, 150, 455, 149, 433, 150, 436, 150, 432, 150, 438, 
120, 150, 446, 150, 457, 150, 433, 150, 436, 150, 432, 150, 439, 
125, 150, 445, 150, 457, 149, 434, 149, 435, 150, 433, 150, 440, 
130, 150, 445, 150, 459, 150, 434, 150, 434, 150, 433, 150, 441, 
135, 150, 444, 150, 459, 149, 434, 149, 434, 150, 434, 150, 443, 
140, 150, 444, 150, 460, 150, 437, 150, 434, 150, 435, 150, 443, 
145, 150, 444, 150, 460, 149, 434, 150, 434, 150, 435, 150, 443, 
150, 150, 444, 150, 460, 150, 434, 149, 434, 150, 435, 150, 444, 
155, 150, 445, 150, 460, 149, 434, 149, 433, 150, 435, 150, 444, 
160, 150, 445, 150, 459, 149, 433, 149, 434, 150, 436, 150, 445, 
165, 150, 445, 150, 460, 150, 434, 149, 433, 150, 436, 149, 444, 
170, 150, 445, 150, 458, 149, 431, 150, 434, 150, 436, 150, 446, 
175, 150, 445, 150, 459, 150, 432, 149, 433, 150, 436, 150, 444, 
180, 150, 445, 150, 458, 149, 432, 149, 433, 150, 436, 150, 444, 
185, 150, 446, 150, 457, 149, 431, 149, 433, 150, 436, 150, 444, 
190, 150, 446, 150, 457, 150, 430, 150, 433, 150, 436, 150, 445, 
195, 150, 446, 150, 458, 150, 429, 149, 433, 150, 436, 150, 446, 
200, 150, 445, 150, 457, 150, 429, 149, 433, 150, 436, 150, 444, 
205, 150, 445, 150, 457, 149, 428, 150, 433, 150, 436, 150, 444, 
210, 150, 445, 150, 458, 149, 427, 149, 432, 150, 436, 150, 444, 
215, 150, 445, 150, 457, 149, 425, 149, 433, 150, 436, 150, 444, 
220, 150, 445, 150, 457, 149, 424, 149, 433, 150, 436, 149, 444, 
225, 150, 445, 150, 458, 149, 424, 149, 433, 150, 436, 150, 444, 
230, 150, 445, 150, 458, 149, 423, 150, 433, 150, 436, 150, 444, 
235, 150, 445, 150, 458, 149, 422, 150, 433, 150, 435, 150, 443, 
240, 150, 445, 150, 458, 150, 422, 149, 433, 150, 435, 150, 443, 
245, 150, 444, 150, 458, 149, 421, 149, 433, 150, 435, 150, 443, 
250, 150, 444, 150, 458, 150, 420, 149, 433, 150, 434, 150, 442, 
255, 150, 444, 150, 457, 149, 420, 150, 432, 150, 434, 150, 443, 
260, 150, 443, 150, 457, 149, 420, 150, 432, 150, 433, 150, 442, 
265, 150, 443, 150, 457, 150, 419, 149, 432, 150, 433, 149, 442, 
270, 150, 442, 150, 457, 149, 418, 149, 432, 150, 432, 150, 441, 
275, 150, 442, 150, 456, 149, 418, 149, 432, 150, 432, 150, 441, 
280, 150, 442, 150, 456, 150, 417, 149, 431, 150, 431, 150, 441, 
285, 150, 441, 150, 455, 150, 417, 150, 431, 150, 431, 150, 440, 
290, 150, 441, 150, 455, 149, 417, 149, 430, 150, 431, 150, 441, 
295, 150, 441, 150, 454, 149, 416, 149, 430, 150, 430, 150, 440, 
300, 150, 441, 150, 454, 149, 416, 149, 429, 150, 429, 150, 439, 
305, 150, 440, 150, 453, 149, 415, 149, 429, 150, 429, 150, 439, 
310, 150, 440, 150, 452, 150, 415, 149, 430, 150, 428, 150, 439, 
315, 150, 440, 150, 452, 149, 414, 150, 428, 150, 428, 150, 441, 
320, 150, 440, 150, 451, 149, 414, 149, 428, 150, 427, 150, 438, 
325, 150, 440, 150, 451, 150, 414, 149, 428, 150, 427, 150, 438, 
330, 150, 440, 150, 450, 149, 413, 150, 428, 150, 426, 150, 437, 
