t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 452, 150, 472, 150, 457, 149, 458, 150, 447, 150, 446, 
10, 150, 456, 150, 477, 149, 461, 149, 461, 150, 450, 150, 447, 
15, 150, 457, 150, 478, 149, 462, 150, 462, 150, 450, 150, 446, 
20, 150, 458, 150, 480, 149, 464, 149, 463, 150, 450, 150, 447, 
25, 150, 459, 150, 482, 149, 465, 150, 463, 150, 450, 150, 446, 
30, 150, 460, 150, 482, 149, 465, 149, 464, 150, 450, 150, 446, 
35, 149, 459, 150, 482, 149, 466, 150, 464, 150, 450, 150, 446, 
40, 150, 459, 150, 479, 149, 462, 149, 462, 150, 448, 150, 444, 
45, 150, 456, 150, 475, 149, 459, 149, 459, 150, 444, 150, 441, 
50, 150, 453, 150, 470, 149, 454, 149, 455, 150, 440, 150, 438, 
55, 150, 451, 150, 466, 150, 452, 150, 453, 150, 437, 150, 438, 
60, 150, 449, 150, 465, 149, 450, 150, 450, 150, 434, 150, 433, 
65, 150, 447, 150, 464, 149, 448, 149, 448, 150, 432, 150, 430, 
70, 150, 446, 150, 462, 149, 447, 150, 447, 150, 432, 150, 429, 
75, 150, 445, 150, 461, 150, 447, 149, 446, 150, 431, 150, 429, 
80, 150, 444, 150, 460, 149, 446, 149, 445, 150, 430, 150, 428, 
85, 150, 443, 150, 459, 150, 446, 149, 443, 150, 429, 150, 427, 
90, 150, 441, 150, 458, 149, 445, 149, 441, 150, 428, 150, 427, 
95, 150, 439, 150, 457, 149, 443, 149, 440, 150, 427, 149, 425, 
100, 150, 438, 150, 456, 149, 442, 149, 437, 150, 425, 150, 425, 
105, 150, 437, 150, 456, 149, 441, 150, 436, 150, 424, 150, 424, 
110, 150, 436, 150, 455, 149, 439, 149, 434, 150, 423, 150, 423, 
115, 150, 435, 150, 454, 150, 438, 150, 434, 150, 422, 150, 423, 
120, 150, 435, 150, 455, 149, 437, 150, 434, 150, 421, 150, 422, 
125, 150, 434, 150, 453, 149, 435, 149, 433, 150, 420, 150, 422, 
130, 150, 434, 150, 453, 150, 434, 149, 433, 150, 419, 150, 422, 
135, 149, 433, 150, 454, 149, 434, 150, 433, 150, 419, 150, 422, 
140, 150, 433, 150, 453, 149, 433, 150, 432, 150, 419, 150, 422, 
145, 149, 433, 150, 453, 149, 432, 149, 432, 150, 419, 150, 422, 
150, 150, 433, 150, 452, 149, 432, 149, 432, 150, 418, 150, 421, 
155, 150, 433, 150, 454, 149, 432, 149, 432, 150, 418, 150, 421, 
160, 150, 432, 150, 453, 150, 432, 150, 432, 150, 418, 150, 420, 
165, 150, 432, 150, 453, 149, 432, 149, 432, 150, 418, 150, 420, 
170, 150, 432, 150, 453, 149, 432, 150, 432, 150, 418, 150, 419, 
175, 150, 432, 150, 453, 150, 432, 149, 432, 150, 418, 150, 419, 
180, 150, 432, 150, 453, 149, 431, 150, 431, 150, 418, 150, 418, 
185, 149, 431, 150, 454, 150, 431, 149, 432, 150, 418, 150, 417, 
190, 150, 431, 150, 454, 149, 431, 150, 432, 150, 418, 150, 417, 
195, 150, 431, 150, 455, 150, 431, 149, 431, 150, 418, 150, 417, 
200, 150, 431, 150, 455, 149, 431, 149, 431, 150, 418, 150, 416, 
205, 150, 431, 150, 455, 149, 431, 149, 432, 150, 418, 150, 416, 
210, 150, 431, 150, 454, 149, 431, 150, 432, 150, 418, 150, 416, 
215, 150, 432, 150, 455, 149, 430, 150, 432, 150, 418, 150, 415, 
220, 149, 430, 150, 455, 149, 429, 149, 432, 150, 418, 149, 415, 
225, 149, 429, 150, 456, 149, 429, 150, 432, 150, 418, 150, 414, 
230, 150, 430, 150, 456, 149, 429, 149, 432, 150, 418, 150, 414, 
235, 150, 430, 150, 454, 150, 428, 149, 431, 150, 418, 150, 414, 
240, 150, 430, 150, 456, 149, 428, 149, 431, 150, 418, 150, 414, 
245, 150, 429, 150, 455, 149, 427, 149, 431, 150, 418, 149, 414, 
250, 150, 429, 150, 455, 149, 427, 150, 431, 150, 417, 150, 413, 
255, 150, 429, 150, 455, 149, 426, 149, 431, 150, 417, 150, 414, 
260, 150, 428, 150, 456, 149, 426, 149, 430, 150, 417, 150, 413, 
265, 149, 427, 150, 455, 149, 425, 149, 430, 150, 417, 150, 414, 
270, 150, 427, 150, 454, 149, 425, 150, 430, 150, 417, 150, 413, 
275, 150, 427, 150, 455, 149, 424, 150, 429, 150, 417, 150, 413, 
280, 150, 427, 150, 454, 149, 424, 149, 429, 150, 417, 149, 413, 
285, 150, 426, 150, 454, 149, 423, 150, 429, 150, 417, 150, 413, 
290, 150, 427, 150, 453, 149, 423, 150, 429, 150, 417, 150, 413, 
295, 150, 426, 150, 453, 149, 422, 149, 429, 150, 416, 149, 412, 
300, 150, 425, 150, 454, 149, 422, 149, 429, 150, 416, 150, 412, 
305, 150, 424, 150, 451, 149, 422, 149, 429, 150, 416, 150, 412, 
310, 150, 424, 150, 451, 149, 421, 149, 427, 150, 415, 150, 412, 
315, 150, 424, 150, 451, 149, 420, 150, 428, 150, 415, 150, 412, 
320, 150, 423, 150, 451, 150, 419, 149, 427, 150, 415, 150, 412, 
325, 150, 422, 150, 450, 149, 419, 150, 427, 150, 414, 150, 412, 
330, 150, 422, 150, 449, 149, 418, 149, 427, 150, 414, 149, 411, 
