t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 474, 150, 481, 150, 461, 149, 465, 149, 466, 150, 469, 
10, 150, 479, 150, 487, 150, 466, 149, 468, 149, 467, 150, 471, 
15, 150, 480, 150, 491, 149, 468, 149, 470, 150, 470, 150, 471, 
20, 150, 481, 150, 492, 150, 470, 150, 471, 150, 470, 150, 471, 
25, 150, 483, 150, 495, 150, 471, 150, 471, 150, 471, 150, 471, 
30, 150, 482, 150, 496, 150, 471, 149, 471, 150, 471, 150, 471, 
35, 149, 483, 150, 495, 149, 472, 149, 472, 150, 471, 150, 471, 
40, 149, 484, 150, 495, 150, 472, 150, 472, 150, 471, 149, 469, 
45, 150, 484, 150, 496, 150, 472, 149, 472, 150, 471, 149, 470, 
50, 150, 485, 150, 494, 150, 474, 150, 472, 150, 471, 150, 469, 
55, 149, 479, 150, 488, 150, 469, 150, 469, 150, 466, 150, 466, 
60, 149, 475, 150, 487, 149, 463, 149, 464, 150, 462, 150, 462, 
65, 150, 471, 150, 480, 149, 460, 150, 460, 150, 457, 150, 459, 
70, 150, 470, 150, 474, 149, 458, 149, 457, 150, 454, 150, 457, 
75, 150, 466, 150, 472, 149, 454, 150, 454, 150, 451, 149, 454, 
80, 149, 464, 150, 471, 150, 451, 149, 451, 150, 450, 149, 450, 
85, 150, 463, 150, 467, 149, 449, 150, 450, 150, 449, 150, 451, 
90, 150, 462, 150, 467, 150, 448, 150, 449, 150, 447, 150, 450, 
95, 150, 459, 150, 468, 149, 446, 149, 447, 150, 446, 150, 448, 
100, 150, 457, 150, 467, 150, 447, 149, 445, 150, 444, 150, 448, 
105, 150, 455, 150, 466, 150, 445, 149, 444, 150, 443, 150, 447, 
110, 150, 454, 150, 465, 150, 445, 150, 443, 150, 441, 150, 447, 
115, 150, 453, 150, 464, 150, 443, 150, 443, 150, 440, 150, 446, 
120, 150, 453, 150, 463, 150, 444, 150, 442, 150, 439, 150, 445, 
125, 150, 452, 150, 462, 150, 443, 149, 441, 150, 439, 150, 444, 
130, 150, 452, 150, 463, 149, 442, 150, 441, 150, 438, 150, 444, 
135, 150, 452, 150, 463, 149, 442, 149, 441, 150, 438, 150, 445, 
140, 150, 452, 150, 461, 149, 441, 150, 442, 150, 439, 150, 445, 
145, 149, 453, 149, 459, 149, 440, 149, 442, 150, 439, 150, 446, 
150, 150, 453, 150, 462, 150, 439, 149, 443, 150, 440, 150, 446, 
155, 150, 454, 150, 461, 150, 440, 149, 443, 150, 440, 150, 448, 
160, 150, 453, 150, 462, 150, 439, 149, 442, 150, 441, 150, 446, 
165, 150, 454, 149, 461, 150, 437, 150, 443, 150, 441, 150, 447, 
170, 150, 453, 150, 461, 150, 436, 149, 443, 150, 441, 150, 447, 
175, 150, 454, 150, 464, 150, 436, 150, 443, 150, 444, 150, 447, 
180, 150, 454, 149, 461, 150, 435, 149, 443, 150, 442, 150, 447, 
185, 150, 453, 150, 461, 149, 434, 149, 443, 150, 442, 150, 447, 
190, 150, 454, 150, 463, 150, 433, 149, 442, 150, 442, 150, 447, 
195, 150, 454, 150, 464, 150, 433, 149, 443, 150, 444, 150, 447, 
200, 150, 454, 150, 463, 150, 432, 149, 442, 150, 442, 150, 448, 
205, 150, 453, 150, 465, 149, 432, 149, 441, 150, 443, 150, 447, 
210, 150, 453, 150, 463, 149, 429, 149, 441, 150, 442, 150, 447, 
215, 150, 452, 150, 464, 150, 428, 149, 442, 150, 443, 150, 448, 
220, 150, 453, 150, 466, 149, 428, 149, 441, 150, 442, 150, 447, 
225, 150, 453, 150, 466, 149, 426, 150, 441, 150, 442, 150, 447, 
230, 150, 453, 149, 465, 149, 426, 150, 441, 150, 442, 150, 447, 
235, 150, 452, 150, 467, 150, 425, 149, 440, 150, 442, 150, 447, 
240, 150, 452, 150, 468, 149, 423, 149, 440, 150, 442, 150, 446, 
245, 150, 452, 150, 464, 149, 422, 150, 441, 150, 442, 150, 446, 
250, 150, 452, 149, 464, 150, 421, 149, 440, 149, 441, 150, 446, 
255, 150, 452, 150, 464, 150, 419, 150, 441, 150, 441, 150, 446, 
260, 150, 451, 150, 463, 150, 418, 149, 441, 150, 440, 150, 445, 
265, 150, 452, 150, 466, 150, 419, 149, 440, 150, 440, 150, 446, 
270, 150, 451, 149, 463, 149, 418, 149, 440, 150, 440, 150, 446, 
275, 150, 450, 149, 464, 149, 416, 150, 440, 150, 440, 150, 445, 
280, 149, 448, 150, 466, 150, 415, 150, 440, 150, 439, 150, 445, 
285, 150, 450, 150, 466, 149, 413, 149, 439, 150, 439, 150, 444, 
290, 150, 449, 150, 464, 150, 413, 150, 439, 150, 439, 150, 445, 
295, 150, 450, 150, 464, 150, 413, 150, 439, 150, 438, 150, 444, 
300, 150, 449, 150, 464, 150, 412, 150, 438, 150, 438, 150, 444, 
305, 150, 449, 150, 465, 149, 411, 150, 437, 150, 437, 150, 444, 
310, 150, 448, 150, 464, 150, 411, 149, 436, 150, 437, 150, 443, 
315, 150, 448, 150, 462, 149, 409, 150, 437, 150, 436, 150, 444, 
320, 150, 448, 149, 463, 150, 409, 150, 435, 150, 436, 150, 443, 
325, 150, 448, 150, 461, 149, 407, 149, 436, 150, 435, 150, 444, 
330, 150, 447, 150, 462, 150, 407, 149, 435, 150, 435, 150, 442, 
