t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 452, 150, 447, 151, 449, 150, 449, 150, 429, 150, 439, 
10, 150, 456, 150, 452, 149, 448, 149, 451, 150, 431, 150, 439, 
15, 150, 457, 150, 454, 149, 450, 149, 451, 150, 431, 150, 439, 
20, 150, 458, 150, 455, 149, 451, 150, 452, 150, 431, 150, 439, 
25, 150, 459, 150, 456, 149, 452, 149, 452, 150, 431, 150, 438, 
30, 150, 460, 150, 456, 149, 452, 150, 452, 150, 431, 150, 439, 
35, 150, 459, 150, 456, 149, 452, 149, 452, 150, 431, 150, 439, 
40, 150, 459, 150, 455, 150, 451, 149, 451, 150, 429, 149, 438, 
45, 150, 458, 150, 454, 150, 450, 150, 450, 150, 428, 150, 440, 
50, 150, 456, 150, 453, 150, 449, 149, 450, 150, 427, 149, 436, 
55, 150, 455, 150, 451, 149, 449, 150, 449, 150, 426, 150, 435, 
60, 150, 454, 150, 450, 149, 448, 150, 448, 150, 426, 150, 434, 
65, 150, 454, 150, 448, 149, 447, 149, 447, 150, 425, 150, 434, 
70, 150, 453, 150, 447, 149, 447, 149, 447, 150, 425, 150, 436, 
75, 150, 452, 150, 445, 150, 447, 149, 446, 150, 425, 150, 433, 
80, 150, 451, 150, 443, 149, 445, 150, 445, 150, 425, 150, 433, 
85, 150, 449, 150, 441, 150, 444, 150, 444, 150, 424, 150, 432, 
90, 150, 448, 150, 440, 150, 442, 149, 442, 150, 423, 150, 432, 
95, 150, 446, 150, 441, 149, 441, 149, 440, 150, 422, 150, 430, 
100, 150, 445, 150, 440, 149, 440, 150, 439, 150, 421, 150, 430, 
105, 150, 443, 150, 439, 149, 439, 149, 438, 150, 420, 150, 430, 
110, 150, 443, 150, 438, 149, 437, 149, 438, 150, 418, 150, 429, 
115, 150, 442, 150, 438, 149, 438, 149, 437, 150, 418, 150, 429, 
120, 150, 442, 150, 438, 149, 438, 150, 437, 150, 417, 149, 428, 
125, 150, 442, 150, 438, 149, 437, 150, 436, 150, 416, 150, 427, 
130, 150, 442, 150, 438, 150, 436, 149, 436, 150, 416, 150, 427, 
135, 150, 441, 150, 438, 150, 436, 149, 436, 150, 416, 150, 427, 
140, 150, 441, 150, 438, 149, 435, 149, 435, 150, 415, 150, 427, 
145, 150, 441, 150, 438, 149, 434, 149, 434, 150, 415, 149, 427, 
150, 150, 441, 150, 438, 149, 435, 150, 435, 150, 415, 150, 427, 
155, 150, 442, 150, 438, 150, 434, 149, 434, 150, 415, 149, 428, 
160, 150, 442, 150, 439, 149, 434, 150, 434, 150, 415, 150, 429, 
165, 150, 442, 150, 438, 150, 434, 150, 434, 150, 415, 150, 430, 
170, 150, 442, 150, 439, 149, 434, 149, 434, 150, 415, 150, 429, 
175, 150, 442, 150, 438, 149, 433, 150, 434, 150, 415, 150, 429, 
180, 150, 443, 150, 439, 149, 433, 149, 434, 150, 415, 150, 429, 
185, 150, 443, 150, 438, 149, 433, 149, 434, 150, 415, 150, 429, 
190, 150, 443, 150, 439, 150, 433, 149, 434, 150, 415, 150, 429, 
195, 150, 443, 150, 438, 150, 432, 150, 434, 150, 415, 150, 429, 
200, 150, 443, 150, 438, 150, 432, 149, 434, 150, 415, 150, 428, 
205, 150, 443, 150, 437, 149, 431, 150, 434, 150, 415, 150, 429, 
210, 150, 443, 150, 437, 149, 431, 149, 434, 150, 415, 149, 427, 
215, 150, 443, 150, 437, 149, 430, 149, 434, 150, 415, 150, 428, 
220, 150, 443, 150, 437, 149, 429, 149, 435, 150, 415, 150, 428, 
225, 150, 443, 150, 437, 150, 430, 149, 435, 150, 415, 150, 428, 
230, 150, 443, 150, 436, 149, 428, 149, 435, 150, 415, 150, 428, 
235, 150, 442, 150, 436, 149, 427, 149, 435, 150, 415, 150, 428, 
240, 150, 442, 150, 436, 150, 427, 150, 434, 150, 414, 150, 427, 
245, 150, 442, 150, 436, 149, 426, 150, 435, 150, 414, 150, 427, 
250, 150, 442, 150, 435, 149, 425, 150, 435, 150, 415, 150, 427, 
255, 150, 442, 150, 435, 149, 424, 150, 435, 150, 414, 150, 427, 
260, 150, 442, 150, 434, 150, 427, 149, 435, 150, 414, 150, 427, 
265, 150, 441, 150, 434, 149, 423, 150, 435, 150, 413, 150, 427, 
270, 150, 441, 150, 434, 149, 422, 149, 434, 150, 413, 150, 426, 
275, 150, 441, 150, 433, 150, 421, 149, 434, 150, 413, 150, 426, 
280, 150, 441, 150, 433, 149, 421, 149, 434, 150, 413, 150, 425, 
285, 150, 441, 150, 434, 150, 420, 150, 434, 150, 412, 150, 425, 
290, 150, 441, 150, 433, 150, 419, 150, 434, 150, 412, 150, 425, 
295, 150, 440, 150, 433, 149, 419, 149, 433, 150, 412, 149, 425, 
300, 150, 440, 150, 432, 150, 418, 150, 434, 150, 411, 150, 424, 
305, 150, 440, 150, 431, 149, 418, 149, 433, 150, 411, 150, 424, 
310, 150, 439, 150, 431, 149, 417, 150, 433, 150, 411, 148, 420, 
315, 150, 439, 150, 430, 149, 417, 150, 432, 150, 410, 150, 423, 
320, 150, 438, 150, 429, 149, 417, 150, 432, 150, 410, 150, 423, 
325, 150, 438, 150, 429, 149, 417, 149, 431, 150, 409, 150, 423, 
330, 150, 437, 150, 428, 149, 416, 149, 431, 150, 409, 150, 423, 
