t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 451, 150, 452, 149, 435, 150, 446, 150, 443, 150, 445, 
10, 150, 454, 149, 453, 149, 439, 149, 449, 150, 445, 150, 445, 
15, 150, 456, 150, 457, 149, 441, 149, 450, 150, 445, 150, 445, 
20, 150, 456, 150, 460, 150, 442, 149, 450, 149, 445, 150, 445, 
25, 150, 457, 150, 461, 150, 443, 150, 452, 150, 446, 150, 445, 
30, 150, 457, 150, 461, 149, 443, 149, 451, 150, 445, 150, 445, 
35, 150, 456, 150, 460, 150, 442, 149, 447, 150, 444, 149, 444, 
40, 150, 456, 150, 459, 149, 441, 149, 449, 150, 443, 150, 443, 
45, 150, 455, 149, 458, 149, 440, 149, 448, 150, 442, 150, 442, 
50, 150, 454, 150, 456, 149, 438, 150, 446, 150, 441, 150, 441, 
55, 150, 453, 150, 452, 149, 437, 149, 445, 150, 441, 151, 445, 
60, 149, 452, 150, 450, 149, 436, 149, 443, 149, 437, 149, 439, 
65, 150, 452, 150, 447, 150, 436, 149, 443, 150, 436, 150, 437, 
70, 150, 451, 150, 447, 149, 435, 149, 442, 150, 435, 150, 436, 
75, 150, 451, 150, 446, 149, 435, 150, 441, 150, 436, 150, 436, 
80, 150, 449, 150, 444, 149, 434, 150, 440, 150, 434, 151, 437, 
85, 150, 447, 150, 444, 149, 433, 149, 439, 150, 432, 150, 433, 
90, 150, 445, 149, 442, 149, 431, 149, 437, 150, 431, 150, 433, 
95, 149, 442, 149, 440, 150, 430, 149, 436, 150, 430, 149, 432, 
100, 149, 441, 150, 441, 149, 429, 149, 435, 149, 429, 149, 429, 
105, 150, 442, 150, 442, 149, 429, 149, 434, 150, 428, 150, 431, 
110, 150, 441, 150, 442, 149, 427, 149, 433, 150, 427, 150, 430, 
115, 150, 441, 150, 442, 149, 427, 150, 432, 150, 427, 150, 429, 
120, 150, 441, 150, 443, 150, 426, 150, 432, 150, 426, 150, 432, 
125, 150, 441, 150, 444, 149, 425, 149, 431, 149, 425, 149, 428, 
130, 150, 440, 150, 444, 149, 425, 149, 431, 150, 425, 149, 429, 
135, 150, 440, 150, 445, 150, 425, 150, 432, 150, 425, 150, 430, 
140, 150, 439, 150, 445, 149, 425, 149, 431, 150, 425, 150, 430, 
145, 150, 439, 149, 445, 149, 425, 149, 431, 150, 425, 150, 430, 
150, 150, 439, 150, 446, 150, 425, 150, 432, 150, 426, 150, 430, 
155, 150, 438, 150, 446, 149, 425, 149, 432, 150, 426, 150, 431, 
160, 150, 439, 150, 446, 149, 425, 149, 431, 150, 427, 150, 431, 
165, 150, 438, 150, 446, 149, 425, 149, 432, 149, 427, 150, 431, 
170, 150, 438, 150, 446, 149, 425, 150, 431, 150, 427, 150, 431, 
175, 150, 438, 149, 447, 149, 425, 150, 432, 150, 429, 150, 434, 
180, 150, 439, 150, 446, 149, 425, 149, 431, 150, 429, 150, 431, 
185, 150, 439, 150, 446, 149, 425, 149, 432, 150, 429, 150, 431, 
190, 150, 439, 150, 446, 150, 425, 149, 432, 150, 430, 150, 431, 
195, 150, 439, 150, 447, 150, 425, 150, 432, 150, 430, 150, 431, 
200, 150, 440, 150, 446, 149, 425, 150, 432, 150, 431, 150, 431, 
205, 150, 440, 150, 447, 149, 424, 150, 433, 150, 431, 150, 431, 
210, 150, 440, 150, 447, 150, 424, 150, 433, 150, 431, 150, 431, 
215, 150, 440, 150, 446, 149, 424, 149, 432, 150, 432, 150, 432, 
220, 150, 440, 149, 446, 149, 423, 149, 433, 150, 432, 150, 431, 
225, 150, 440, 150, 446, 150, 425, 149, 434, 150, 432, 150, 431, 
230, 150, 441, 150, 445, 149, 423, 149, 433, 150, 432, 150, 431, 
235, 150, 440, 150, 445, 149, 422, 149, 433, 150, 433, 150, 431, 
240, 150, 440, 150, 445, 149, 422, 150, 434, 150, 433, 150, 431, 
245, 150, 441, 150, 445, 149, 421, 149, 434, 150, 433, 150, 431, 
250, 150, 441, 150, 445, 150, 421, 150, 433, 150, 433, 150, 430, 
255, 150, 441, 150, 446, 149, 421, 150, 434, 150, 433, 150, 430, 
260, 150, 441, 150, 444, 149, 420, 149, 434, 150, 433, 150, 430, 
265, 150, 440, 149, 445, 150, 420, 149, 434, 150, 432, 150, 430, 
270, 150, 440, 149, 444, 149, 420, 150, 434, 150, 432, 150, 431, 
275, 150, 440, 150, 446, 149, 420, 150, 434, 150, 432, 150, 430, 
280, 150, 440, 150, 445, 149, 419, 149, 433, 150, 432, 150, 430, 
285, 150, 440, 150, 445, 151, 422, 150, 433, 150, 432, 150, 433, 
290, 150, 440, 150, 444, 149, 417, 149, 433, 150, 431, 150, 429, 
295, 150, 440, 150, 445, 149, 418, 149, 433, 150, 431, 150, 429, 
300, 150, 439, 150, 445, 150, 418, 149, 433, 150, 431, 150, 429, 
305, 150, 439, 150, 445, 150, 418, 149, 433, 150, 431, 149, 429, 
310, 150, 439, 149, 444, 149, 418, 149, 432, 150, 431, 150, 428, 
315, 150, 439, 150, 444, 149, 417, 149, 433, 150, 430, 150, 429, 
320, 150, 439, 150, 444, 149, 417, 150, 433, 150, 430, 149, 428, 
325, 150, 438, 150, 444, 149, 416, 150, 433, 150, 430, 150, 428, 
330, 150, 438, 150, 443, 149, 416, 149, 432, 150, 429, 150, 428, 
