t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 461, 150, 460, 150, 444, 150, 462, 150, 455, 150, 456, 
10, 150, 465, 150, 466, 149, 447, 149, 464, 150, 457, 150, 457, 
15, 150, 466, 150, 469, 149, 450, 149, 466, 150, 458, 150, 456, 
20, 150, 468, 150, 471, 150, 451, 150, 467, 150, 459, 150, 456, 
25, 150, 469, 150, 472, 149, 452, 149, 467, 150, 459, 150, 457, 
30, 150, 470, 150, 471, 149, 453, 149, 468, 150, 459, 150, 457, 
35, 150, 471, 150, 472, 149, 454, 149, 468, 150, 459, 150, 457, 
40, 149, 470, 150, 472, 149, 454, 149, 469, 150, 460, 150, 457, 
45, 150, 471, 150, 471, 150, 457, 150, 469, 150, 460, 150, 456, 
50, 150, 472, 150, 470, 150, 456, 149, 469, 150, 460, 150, 456, 
55, 149, 472, 150, 468, 149, 456, 149, 469, 150, 460, 150, 456, 
60, 150, 472, 150, 466, 149, 455, 149, 469, 150, 461, 150, 455, 
65, 149, 472, 150, 466, 150, 456, 149, 468, 150, 460, 150, 455, 
70, 150, 471, 150, 468, 149, 455, 149, 467, 150, 460, 150, 454, 
75, 150, 470, 150, 471, 149, 454, 150, 467, 150, 459, 150, 454, 
80, 150, 469, 150, 475, 150, 453, 149, 467, 150, 458, 149, 453, 
85, 150, 468, 150, 480, 149, 453, 149, 467, 150, 458, 150, 454, 
90, 150, 465, 150, 477, 148, 449, 149, 461, 150, 456, 149, 450, 
95, 150, 463, 150, 473, 149, 450, 150, 461, 150, 454, 150, 448, 
100, 150, 459, 150, 461, 149, 446, 149, 457, 150, 450, 150, 445, 
105, 150, 456, 150, 450, 150, 441, 150, 455, 150, 446, 150, 441, 
110, 150, 455, 150, 445, 149, 439, 149, 452, 150, 443, 150, 439, 
115, 150, 454, 150, 443, 149, 437, 150, 450, 150, 441, 150, 436, 
120, 150, 453, 150, 442, 149, 436, 149, 447, 150, 439, 150, 435, 
125, 150, 451, 150, 442, 149, 435, 149, 446, 150, 438, 149, 434, 
130, 150, 449, 150, 442, 149, 435, 149, 444, 150, 436, 150, 435, 
135, 150, 448, 150, 441, 150, 435, 149, 443, 150, 437, 150, 437, 
140, 150, 446, 150, 440, 149, 432, 150, 443, 150, 434, 150, 438, 
145, 150, 445, 150, 439, 149, 431, 149, 443, 150, 433, 150, 440, 
150, 150, 445, 150, 439, 149, 429, 149, 443, 150, 432, 149, 440, 
155, 150, 446, 150, 438, 149, 429, 150, 443, 150, 432, 150, 440, 
160, 150, 447, 150, 438, 149, 428, 149, 442, 150, 432, 150, 440, 
165, 150, 448, 150, 438, 150, 428, 150, 442, 150, 433, 150, 441, 
170, 150, 449, 150, 438, 149, 428, 149, 442, 150, 433, 150, 442, 
175, 150, 449, 150, 438, 149, 428, 149, 443, 150, 434, 150, 442, 
180, 150, 448, 150, 438, 149, 428, 150, 445, 150, 435, 150, 442, 
185, 150, 448, 150, 438, 149, 428, 149, 445, 150, 435, 150, 443, 
190, 149, 446, 149, 438, 150, 427, 150, 446, 150, 436, 150, 443, 
195, 149, 445, 150, 438, 149, 427, 149, 446, 150, 436, 150, 444, 
200, 150, 445, 150, 439, 149, 427, 149, 447, 150, 436, 150, 443, 
205, 150, 445, 150, 439, 150, 426, 149, 447, 150, 436, 150, 443, 
210, 150, 444, 150, 439, 150, 425, 149, 448, 150, 436, 150, 443, 
215, 150, 444, 150, 439, 149, 425, 149, 448, 150, 437, 150, 443, 
220, 150, 444, 150, 439, 149, 425, 149, 448, 150, 436, 150, 442, 
225, 150, 444, 150, 440, 149, 424, 149, 448, 150, 437, 150, 441, 
230, 150, 443, 150, 439, 149, 424, 149, 448, 150, 437, 150, 440, 
235, 150, 443, 150, 440, 150, 423, 149, 447, 150, 437, 150, 440, 
240, 150, 444, 150, 439, 149, 423, 150, 448, 150, 436, 150, 439, 
245, 150, 443, 150, 439, 149, 422, 149, 447, 150, 436, 150, 439, 
250, 149, 442, 150, 440, 149, 422, 149, 446, 150, 436, 150, 438, 
255, 149, 442, 150, 439, 149, 421, 149, 445, 150, 436, 150, 437, 
260, 150, 443, 149, 438, 149, 421, 149, 445, 149, 435, 150, 437, 
265, 150, 443, 150, 439, 149, 421, 149, 445, 150, 436, 150, 436, 
270, 150, 443, 150, 438, 149, 421, 149, 444, 150, 435, 150, 436, 
275, 150, 442, 150, 438, 150, 421, 149, 444, 149, 435, 150, 436, 
280, 150, 442, 150, 438, 150, 421, 149, 443, 150, 435, 150, 435, 
285, 150, 442, 150, 438, 149, 421, 150, 443, 150, 436, 150, 435, 
290, 150, 441, 150, 438, 149, 421, 149, 442, 150, 434, 150, 434, 
295, 150, 444, 150, 437, 150, 421, 150, 443, 150, 434, 150, 433, 
300, 150, 441, 150, 437, 149, 421, 150, 441, 150, 434, 150, 433, 
305, 150, 440, 149, 436, 149, 421, 149, 441, 150, 433, 150, 433, 
310, 149, 439, 149, 434, 150, 421, 149, 439, 150, 433, 149, 432, 
315, 149, 439, 150, 434, 149, 421, 149, 439, 150, 433, 150, 432, 
320, 150, 439, 150, 434, 149, 421, 150, 439, 150, 433, 150, 432, 
325, 150, 438, 150, 433, 150, 420, 150, 438, 150, 432, 150, 431, 
330, 150, 438, 150, 433, 149, 420, 149, 438, 150, 431, 150, 431, 
