t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 454, 150, 454, 149, 442, 149, 455, 150, 451, 150, 444, 
10, 150, 458, 150, 458, 149, 446, 150, 458, 150, 451, 150, 445, 
15, 150, 460, 150, 461, 149, 448, 149, 459, 150, 452, 150, 448, 
20, 149, 460, 150, 462, 149, 449, 149, 460, 150, 452, 150, 444, 
25, 150, 462, 150, 463, 150, 450, 149, 462, 150, 453, 149, 445, 
30, 150, 462, 150, 465, 150, 450, 149, 461, 150, 453, 150, 447, 
35, 150, 462, 150, 464, 149, 449, 150, 461, 149, 451, 150, 444, 
40, 148, 457, 150, 462, 149, 448, 149, 459, 149, 448, 150, 442, 
45, 150, 460, 150, 460, 149, 447, 149, 458, 150, 447, 150, 442, 
50, 150, 457, 149, 456, 150, 445, 149, 456, 150, 445, 150, 440, 
55, 150, 457, 150, 457, 149, 445, 150, 455, 150, 443, 149, 439, 
60, 150, 456, 150, 455, 149, 444, 150, 455, 150, 442, 150, 438, 
65, 150, 456, 150, 455, 149, 443, 149, 453, 150, 441, 150, 437, 
70, 150, 456, 150, 453, 149, 442, 149, 454, 150, 441, 150, 436, 
75, 150, 455, 150, 452, 149, 442, 149, 452, 150, 440, 150, 435, 
80, 150, 454, 150, 450, 149, 441, 149, 453, 150, 440, 150, 433, 
85, 150, 453, 150, 448, 150, 440, 150, 450, 150, 439, 150, 433, 
90, 150, 452, 150, 447, 150, 438, 149, 449, 150, 438, 150, 432, 
95, 150, 449, 150, 445, 150, 437, 149, 449, 150, 437, 150, 432, 
100, 150, 447, 150, 444, 150, 436, 150, 448, 150, 436, 150, 431, 
105, 150, 445, 150, 443, 149, 435, 150, 448, 150, 435, 150, 430, 
110, 150, 444, 150, 443, 149, 434, 149, 447, 149, 434, 150, 430, 
115, 150, 443, 150, 444, 150, 433, 149, 447, 150, 433, 151, 433, 
120, 150, 443, 149, 443, 149, 433, 149, 446, 150, 433, 149, 429, 
125, 149, 442, 150, 444, 149, 432, 150, 446, 150, 432, 150, 430, 
130, 150, 441, 150, 444, 149, 432, 149, 445, 150, 431, 150, 430, 
135, 150, 441, 150, 444, 149, 432, 149, 445, 150, 431, 150, 430, 
140, 150, 441, 150, 444, 149, 431, 149, 444, 150, 430, 150, 430, 
145, 150, 441, 150, 444, 149, 431, 149, 444, 150, 430, 149, 426, 
150, 150, 441, 150, 443, 149, 431, 149, 445, 150, 429, 150, 429, 
155, 150, 441, 150, 443, 149, 431, 149, 445, 150, 428, 150, 428, 
160, 150, 441, 150, 444, 150, 431, 149, 445, 150, 428, 150, 427, 
165, 150, 441, 150, 443, 149, 431, 150, 445, 150, 428, 150, 426, 
170, 150, 441, 150, 442, 149, 430, 149, 445, 150, 427, 150, 426, 
175, 149, 442, 150, 442, 149, 430, 149, 446, 150, 427, 150, 426, 
180, 150, 442, 150, 442, 149, 430, 150, 446, 150, 427, 150, 425, 
185, 150, 442, 150, 442, 149, 430, 149, 446, 150, 427, 150, 424, 
190, 150, 442, 149, 440, 149, 430, 149, 446, 150, 426, 150, 424, 
195, 150, 442, 150, 441, 150, 430, 149, 447, 150, 426, 150, 426, 
200, 150, 443, 150, 441, 149, 430, 149, 447, 150, 426, 150, 424, 
205, 150, 442, 150, 441, 149, 430, 150, 447, 150, 426, 150, 423, 
210, 150, 443, 150, 441, 149, 430, 149, 447, 150, 428, 150, 424, 
215, 150, 442, 150, 441, 149, 429, 150, 447, 150, 426, 150, 423, 
220, 150, 442, 150, 441, 149, 429, 149, 447, 149, 426, 150, 423, 
225, 150, 442, 150, 441, 149, 428, 149, 446, 150, 426, 150, 422, 
230, 150, 442, 150, 441, 149, 428, 150, 446, 149, 424, 150, 422, 
235, 150, 442, 150, 442, 149, 427, 149, 446, 150, 426, 150, 422, 
240, 150, 442, 150, 441, 149, 427, 149, 446, 150, 425, 150, 421, 
245, 149, 442, 150, 442, 149, 426, 149, 446, 150, 425, 150, 421, 
250, 150, 442, 150, 442, 150, 426, 149, 446, 150, 425, 150, 422, 
255, 150, 442, 150, 441, 149, 425, 149, 446, 150, 425, 150, 422, 
260, 150, 442, 150, 441, 149, 424, 149, 445, 150, 426, 150, 421, 
265, 150, 442, 150, 441, 150, 424, 149, 445, 150, 425, 150, 421, 
270, 149, 441, 150, 442, 149, 424, 149, 444, 150, 425, 150, 421, 
275, 150, 441, 150, 441, 149, 423, 150, 444, 150, 425, 149, 420, 
280, 150, 441, 150, 441, 150, 422, 150, 444, 150, 424, 150, 420, 
285, 150, 440, 150, 441, 149, 422, 150, 443, 150, 424, 150, 420, 
290, 150, 440, 150, 441, 150, 421, 149, 442, 150, 424, 150, 420, 
295, 150, 440, 150, 441, 149, 420, 149, 443, 150, 423, 150, 420, 
300, 149, 439, 150, 440, 149, 420, 149, 442, 150, 423, 150, 420, 
305, 150, 439, 150, 440, 150, 419, 149, 442, 150, 423, 150, 419, 
310, 150, 438, 150, 439, 149, 419, 149, 441, 150, 423, 150, 419, 
315, 150, 437, 150, 440, 150, 418, 150, 441, 150, 422, 150, 419, 
320, 150, 437, 150, 439, 150, 418, 150, 442, 150, 421, 150, 419, 
325, 150, 436, 150, 438, 149, 417, 150, 440, 150, 421, 150, 419, 
330, 150, 436, 150, 438, 149, 417, 150, 440, 150, 420, 150, 418, 
