t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 516, 150, 506, 150, 488, 149, 515, 150, 502, 150, 502, 
10, 150, 520, 150, 512, 150, 493, 149, 519, 150, 505, 150, 503, 
15, 150, 522, 150, 515, 149, 496, 149, 521, 150, 506, 150, 503, 
20, 150, 524, 150, 517, 149, 497, 149, 522, 150, 507, 151, 508, 
25, 150, 525, 150, 518, 149, 499, 150, 523, 150, 507, 150, 503, 
30, 150, 526, 150, 519, 149, 499, 150, 523, 150, 507, 149, 503, 
35, 150, 526, 150, 519, 150, 500, 150, 523, 150, 506, 150, 503, 
40, 150, 527, 150, 520, 149, 501, 149, 524, 150, 507, 150, 503, 
45, 150, 528, 150, 520, 149, 501, 149, 523, 150, 507, 150, 503, 
50, 150, 528, 150, 519, 149, 501, 149, 524, 150, 507, 150, 502, 
55, 150, 523, 150, 513, 149, 497, 149, 520, 150, 503, 150, 500, 
60, 150, 520, 150, 510, 149, 495, 150, 519, 150, 500, 150, 498, 
65, 150, 516, 150, 504, 150, 491, 149, 514, 150, 496, 150, 495, 
70, 150, 514, 150, 503, 150, 490, 150, 512, 150, 494, 150, 494, 
75, 150, 513, 150, 501, 150, 486, 149, 509, 149, 491, 150, 493, 
80, 150, 511, 150, 499, 149, 485, 149, 508, 150, 491, 150, 492, 
85, 150, 510, 150, 499, 150, 486, 149, 507, 150, 489, 150, 491, 
90, 150, 508, 150, 497, 149, 482, 149, 506, 150, 489, 150, 490, 
95, 150, 506, 150, 496, 149, 481, 149, 504, 150, 486, 150, 488, 
100, 150, 507, 150, 494, 149, 479, 149, 505, 150, 485, 150, 488, 
105, 150, 508, 150, 493, 150, 478, 149, 505, 150, 484, 150, 488, 
110, 150, 508, 150, 493, 149, 477, 150, 504, 150, 483, 150, 488, 
115, 150, 509, 150, 495, 149, 476, 149, 503, 150, 482, 150, 489, 
120, 150, 509, 150, 497, 149, 475, 149, 503, 150, 481, 149, 489, 
125, 150, 507, 150, 499, 149, 475, 149, 501, 150, 480, 150, 490, 
130, 150, 506, 150, 500, 149, 474, 150, 499, 150, 479, 150, 490, 
135, 150, 503, 150, 502, 149, 474, 150, 499, 150, 478, 150, 490, 
140, 150, 502, 150, 502, 149, 475, 149, 496, 150, 478, 150, 489, 
145, 150, 501, 150, 503, 149, 475, 150, 497, 150, 477, 150, 490, 
150, 150, 500, 150, 504, 150, 475, 149, 496, 150, 477, 149, 489, 
155, 150, 500, 150, 504, 150, 475, 149, 496, 150, 479, 150, 488, 
160, 150, 499, 150, 504, 149, 475, 149, 496, 150, 477, 150, 488, 
165, 150, 499, 150, 504, 150, 476, 149, 496, 150, 477, 150, 487, 
170, 150, 497, 150, 504, 149, 475, 150, 496, 150, 477, 150, 487, 
175, 150, 497, 150, 504, 150, 476, 149, 494, 150, 477, 149, 487, 
180, 150, 496, 150, 504, 149, 476, 149, 495, 150, 477, 150, 486, 
185, 150, 496, 150, 503, 150, 475, 149, 495, 150, 477, 148, 482, 
190, 150, 495, 150, 503, 149, 475, 149, 495, 150, 478, 150, 485, 
195, 150, 495, 150, 502, 149, 475, 150, 495, 150, 477, 149, 484, 
200, 150, 494, 150, 501, 149, 475, 150, 494, 150, 477, 150, 484, 
205, 150, 494, 150, 500, 149, 474, 149, 492, 150, 478, 150, 483, 
210, 150, 494, 150, 499, 149, 474, 149, 492, 150, 477, 150, 483, 
215, 150, 493, 150, 498, 149, 473, 150, 494, 150, 477, 150, 482, 
220, 150, 493, 150, 498, 149, 473, 149, 493, 150, 477, 150, 482, 
225, 150, 493, 150, 497, 149, 472, 150, 494, 150, 476, 150, 481, 
230, 150, 493, 150, 496, 149, 471, 150, 494, 150, 476, 150, 480, 
235, 150, 493, 150, 496, 149, 471, 150, 493, 150, 476, 150, 479, 
240, 150, 492, 150, 495, 149, 470, 150, 494, 150, 475, 150, 479, 
245, 150, 492, 150, 494, 149, 469, 150, 494, 150, 474, 150, 478, 
250, 150, 492, 150, 493, 149, 469, 149, 493, 150, 474, 149, 477, 
255, 150, 491, 150, 493, 149, 468, 150, 493, 150, 473, 150, 477, 
260, 150, 491, 150, 492, 149, 467, 149, 492, 150, 473, 150, 476, 
265, 150, 491, 150, 491, 149, 467, 149, 492, 150, 472, 150, 475, 
270, 150, 491, 150, 491, 150, 466, 150, 491, 150, 472, 150, 475, 
275, 150, 490, 150, 491, 149, 465, 149, 491, 150, 471, 150, 474, 
280, 150, 490, 150, 490, 149, 465, 149, 490, 150, 471, 150, 473, 
285, 150, 489, 150, 490, 149, 465, 150, 489, 150, 470, 150, 473, 
290, 150, 489, 150, 490, 149, 464, 150, 489, 150, 470, 150, 472, 
295, 150, 488, 150, 489, 150, 463, 150, 488, 150, 470, 150, 472, 
300, 150, 488, 150, 489, 149, 462, 149, 488, 150, 469, 150, 471, 
305, 150, 487, 150, 488, 149, 461, 150, 488, 150, 469, 150, 471, 
310, 150, 486, 150, 488, 150, 460, 150, 487, 150, 468, 150, 470, 
315, 150, 486, 150, 488, 149, 459, 150, 486, 150, 468, 149, 470, 
320, 150, 485, 150, 487, 149, 459, 150, 485, 150, 468, 150, 469, 
325, 150, 484, 150, 487, 149, 458, 149, 484, 150, 468, 150, 469, 
330, 150, 484, 150, 486, 149, 458, 149, 484, 150, 467, 150, 469, 
