t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 384, 150, 375, 149, 370, 150, 379, 150, 385, 150, 380, 
10, 150, 384, 149, 375, 149, 370, 149, 379, 150, 385, 150, 380, 
15, 150, 384, 150, 376, 149, 370, 150, 379, 150, 386, 150, 380, 
20, 150, 384, 150, 376, 149, 370, 149, 379, 150, 385, 150, 380, 
25, 150, 384, 150, 376, 150, 370, 149, 379, 150, 386, 150, 380, 
30, 150, 384, 150, 376, 149, 370, 150, 379, 150, 386, 149, 379, 
35, 150, 384, 150, 376, 149, 370, 149, 379, 150, 386, 150, 379, 
40, 150, 384, 150, 376, 149, 370, 149, 379, 150, 387, 150, 380, 
45, 150, 384, 150, 378, 150, 370, 149, 379, 150, 386, 149, 379, 
50, 150, 384, 150, 376, 149, 370, 150, 380, 150, 387, 150, 379, 
55, 150, 384, 150, 376, 149, 369, 150, 379, 150, 385, 149, 379, 
60, 150, 384, 150, 376, 150, 369, 149, 379, 150, 385, 150, 379, 
65, 150, 383, 150, 375, 150, 368, 150, 379, 150, 384, 150, 379, 
70, 150, 382, 150, 375, 150, 367, 150, 379, 150, 384, 150, 378, 
75, 150, 382, 149, 374, 149, 366, 150, 377, 150, 383, 150, 378, 
80, 150, 381, 150, 374, 149, 365, 149, 377, 150, 383, 149, 377, 
85, 150, 380, 149, 373, 149, 365, 149, 376, 150, 382, 150, 378, 
90, 150, 379, 150, 373, 149, 365, 150, 374, 150, 382, 150, 377, 
95, 150, 379, 150, 373, 149, 364, 150, 373, 150, 381, 150, 375, 
100, 150, 377, 150, 373, 149, 364, 149, 372, 150, 380, 150, 375, 
105, 150, 376, 150, 371, 149, 363, 150, 372, 150, 379, 150, 375, 
110, 150, 375, 150, 370, 150, 363, 150, 371, 149, 378, 150, 374, 
115, 150, 374, 150, 369, 149, 362, 149, 371, 149, 377, 150, 373, 
120, 150, 373, 150, 367, 149, 361, 149, 371, 150, 378, 149, 372, 
125, 150, 372, 150, 366, 149, 361, 149, 369, 150, 377, 150, 372, 
130, 150, 372, 150, 365, 149, 361, 149, 369, 150, 377, 150, 373, 
135, 150, 370, 150, 365, 149, 359, 150, 367, 150, 376, 150, 370, 
140, 150, 369, 150, 363, 149, 355, 150, 364, 150, 372, 150, 366, 
145, 150, 367, 150, 361, 149, 353, 149, 363, 150, 370, 150, 364, 
150, 150, 366, 150, 360, 149, 352, 150, 361, 150, 367, 150, 362, 
155, 150, 366, 150, 359, 149, 351, 149, 360, 150, 366, 150, 360, 
160, 150, 365, 150, 358, 150, 350, 150, 358, 150, 366, 150, 360, 
165, 150, 364, 150, 358, 150, 349, 149, 358, 150, 365, 150, 359, 
170, 150, 364, 150, 358, 150, 349, 149, 358, 150, 366, 150, 358, 
175, 150, 364, 150, 357, 150, 348, 150, 358, 150, 366, 150, 358, 
180, 150, 364, 150, 357, 150, 348, 149, 358, 150, 364, 150, 357, 
185, 150, 364, 150, 356, 150, 347, 149, 357, 150, 364, 150, 357, 
190, 150, 364, 150, 356, 150, 347, 149, 357, 150, 364, 150, 357, 
195, 150, 364, 150, 356, 149, 346, 149, 357, 150, 363, 150, 356, 
200, 150, 364, 150, 355, 150, 346, 150, 357, 149, 363, 150, 356, 
205, 150, 365, 150, 355, 150, 346, 150, 357, 149, 362, 150, 356, 
210, 150, 365, 150, 355, 149, 346, 149, 358, 150, 363, 150, 357, 
215, 150, 365, 150, 355, 150, 346, 150, 357, 150, 363, 150, 357, 
220, 150, 366, 150, 354, 149, 346, 150, 357, 150, 363, 150, 357, 
225, 150, 366, 150, 355, 149, 346, 150, 357, 150, 363, 150, 358, 
230, 150, 366, 150, 355, 149, 346, 149, 357, 150, 363, 150, 358, 
235, 150, 367, 150, 354, 149, 345, 149, 357, 150, 363, 150, 359, 
240, 150, 367, 150, 354, 149, 346, 150, 357, 150, 363, 150, 359, 
245, 150, 368, 150, 354, 150, 346, 149, 357, 150, 363, 150, 360, 
250, 150, 368, 150, 355, 149, 346, 149, 357, 150, 363, 150, 362, 
255, 150, 368, 150, 354, 150, 346, 149, 357, 150, 363, 150, 360, 
260, 150, 369, 150, 354, 150, 346, 149, 357, 150, 365, 150, 361, 
265, 150, 369, 150, 354, 149, 345, 149, 357, 150, 363, 150, 361, 
270, 150, 369, 150, 354, 149, 346, 149, 357, 149, 362, 150, 361, 
275, 150, 370, 150, 354, 150, 346, 149, 358, 150, 362, 150, 361, 
280, 149, 370, 149, 354, 149, 344, 149, 358, 150, 362, 150, 362, 
285, 150, 370, 150, 353, 149, 346, 150, 358, 150, 363, 150, 362, 
290, 150, 371, 149, 353, 149, 345, 150, 357, 149, 361, 150, 362, 
295, 150, 371, 149, 353, 149, 346, 149, 357, 150, 363, 150, 362, 
300, 150, 371, 149, 352, 149, 346, 149, 358, 149, 361, 150, 362, 
305, 150, 371, 149, 353, 149, 345, 149, 358, 149, 361, 150, 362, 
310, 150, 372, 149, 353, 149, 346, 149, 358, 150, 363, 150, 363, 
315, 150, 372, 150, 354, 150, 347, 149, 358, 150, 363, 150, 363, 
320, 150, 372, 149, 353, 149, 346, 150, 359, 150, 363, 150, 364, 
325, 150, 373, 150, 354, 149, 346, 149, 358, 150, 363, 150, 363, 
330, 150, 373, 149, 353, 150, 347, 150, 358, 150, 363, 150, 363, 
