t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 193, 150, 378, 149, 367, 149, 371, 150, 381, 150, 376, 
10, 150, 193, 150, 377, 149, 366, 149, 371, 150, 381, 150, 376, 
15, 150, 193, 150, 377, 149, 366, 149, 371, 150, 381, 150, 377, 
20, 150, 193, 150, 377, 149, 366, 150, 370, 150, 380, 150, 377, 
25, 150, 193, 150, 377, 149, 366, 150, 370, 150, 380, 150, 376, 
30, 150, 193, 150, 377, 150, 366, 149, 370, 150, 380, 150, 375, 
35, 150, 192, 150, 377, 150, 366, 149, 370, 150, 380, 150, 375, 
40, 150, 193, 150, 374, 149, 363, 149, 367, 150, 377, 150, 373, 
45, 150, 192, 150, 374, 149, 363, 149, 367, 150, 377, 150, 374, 
50, 150, 192, 150, 373, 149, 362, 150, 367, 150, 377, 150, 373, 
55, 150, 192, 150, 373, 150, 362, 149, 365, 149, 375, 150, 373, 
60, 150, 190, 150, 371, 149, 360, 149, 365, 150, 374, 150, 371, 
65, 150, 190, 150, 371, 150, 358, 150, 364, 150, 373, 150, 370, 
70, 150, 189, 150, 369, 149, 357, 149, 363, 150, 372, 150, 369, 
75, 150, 188, 150, 369, 150, 355, 149, 362, 150, 372, 150, 368, 
80, 150, 187, 150, 368, 149, 354, 149, 361, 150, 371, 150, 368, 
85, 150, 186, 150, 368, 149, 353, 150, 361, 150, 370, 150, 367, 
90, 150, 185, 150, 368, 150, 353, 150, 361, 150, 370, 150, 367, 
95, 150, 185, 150, 367, 149, 353, 150, 360, 150, 369, 149, 366, 
100, 150, 184, 150, 367, 149, 352, 149, 360, 150, 368, 150, 365, 
105, 150, 183, 150, 366, 149, 351, 149, 360, 150, 367, 149, 365, 
110, 150, 183, 150, 366, 150, 350, 149, 359, 150, 366, 150, 365, 
115, 150, 182, 150, 365, 149, 349, 149, 358, 150, 366, 150, 364, 
120, 150, 182, 150, 364, 150, 349, 149, 357, 150, 365, 150, 364, 
125, 150, 181, 150, 364, 149, 348, 149, 356, 150, 364, 149, 362, 
130, 150, 181, 150, 363, 149, 347, 149, 355, 150, 363, 150, 361, 
135, 150, 180, 150, 362, 149, 347, 149, 354, 150, 362, 150, 361, 
140, 150, 181, 150, 362, 150, 347, 149, 353, 150, 362, 150, 360, 
145, 150, 180, 150, 361, 149, 346, 150, 353, 150, 362, 150, 360, 
150, 150, 180, 150, 360, 149, 346, 149, 352, 150, 361, 150, 359, 
155, 150, 180, 150, 360, 149, 345, 150, 352, 150, 361, 149, 359, 
160, 150, 180, 150, 359, 150, 346, 149, 352, 150, 360, 150, 358, 
165, 150, 180, 149, 359, 149, 346, 149, 351, 150, 360, 150, 358, 
170, 150, 180, 150, 358, 149, 345, 149, 351, 150, 360, 150, 358, 
175, 150, 180, 150, 359, 149, 345, 149, 350, 150, 360, 150, 358, 
180, 150, 180, 150, 358, 149, 345, 149, 350, 150, 360, 150, 357, 
185, 150, 180, 150, 358, 149, 344, 149, 351, 150, 360, 150, 358, 
190, 150, 180, 150, 358, 149, 344, 149, 351, 150, 360, 150, 357, 
195, 150, 180, 149, 358, 150, 344, 150, 351, 150, 360, 150, 357, 
200, 150, 180, 150, 358, 149, 344, 149, 351, 150, 360, 150, 358, 
205, 150, 180, 150, 358, 150, 345, 149, 350, 150, 360, 150, 358, 
210, 150, 181, 150, 358, 149, 344, 149, 351, 150, 360, 150, 358, 
215, 150, 181, 150, 358, 149, 344, 149, 352, 150, 360, 150, 358, 
220, 150, 181, 150, 358, 149, 344, 149, 351, 150, 360, 150, 358, 
225, 150, 181, 150, 359, 149, 344, 149, 351, 150, 360, 150, 358, 
230, 150, 181, 150, 359, 150, 345, 149, 352, 150, 360, 150, 358, 
235, 150, 181, 150, 359, 149, 344, 149, 352, 150, 360, 150, 359, 
240, 150, 181, 150, 359, 149, 344, 149, 352, 150, 360, 150, 359, 
245, 150, 181, 150, 359, 149, 344, 150, 352, 150, 360, 150, 359, 
250, 149, 181, 150, 359, 150, 344, 150, 353, 150, 360, 150, 359, 
255, 149, 181, 150, 360, 149, 344, 149, 352, 150, 360, 150, 360, 
260, 150, 181, 150, 360, 149, 345, 149, 352, 150, 360, 149, 360, 
265, 150, 181, 150, 359, 148, 342, 149, 352, 150, 360, 150, 360, 
270, 150, 182, 150, 360, 150, 345, 149, 352, 150, 360, 150, 361, 
275, 150, 182, 150, 360, 149, 344, 149, 352, 150, 360, 150, 361, 
280, 150, 182, 150, 360, 149, 344, 149, 352, 150, 360, 150, 361, 
285, 150, 182, 150, 360, 149, 344, 149, 353, 150, 360, 150, 361, 
290, 150, 182, 149, 360, 150, 345, 149, 353, 150, 360, 150, 361, 
295, 150, 182, 150, 360, 150, 345, 149, 353, 150, 360, 150, 362, 
300, 150, 183, 150, 360, 149, 345, 149, 353, 150, 360, 150, 361, 
305, 150, 183, 150, 360, 150, 345, 149, 353, 150, 360, 150, 361, 
310, 150, 183, 150, 360, 150, 345, 149, 354, 150, 360, 150, 361, 
315, 150, 183, 150, 360, 150, 345, 149, 354, 150, 359, 150, 361, 
320, 150, 183, 150, 360, 150, 345, 149, 354, 150, 360, 150, 361, 
325, 150, 183, 150, 360, 149, 345, 149, 354, 150, 359, 150, 362, 
330, 150, 183, 150, 360, 149, 345, 149, 354, 150, 359, 150, 362, 
